bloco;genotipo;condicao;data;chl_total;predito_cv;residuo_cv
B1;BR16;IRRIG;23/02;41.61666666666667;43.505927968871056;-1.889261302204389
B2;BR16;IRRIG;23/02;38.13333333333333;42.47070836380823;-4.337375030474895
B3;BR16;IRRIG;23/02;41.199999999999996;41.85149373702821;-0.6514937370282112
B4;BR16;IRRIG;23/02;39.96666666666667;40.92452362471979;-0.9578569580531209
B1;BR16;NIRRIG;23/02;42.13333333333333;44.35563811085008;-2.2223047775167473
B2;BR16;NIRRIG;23/02;40.88333333333333;41.52696881485041;-0.6436354815170802
B3;BR16;NIRRIG;23/02;37.78333333333333;39.78064902755865;-1.9973156942253212
B4;BR16;NIRRIG;23/02;41.199999999999996;41.73954658737448;-0.5395465873744811
B1;EMB48;IRRIG;23/02;37.96666666666667;40.601858883486535;-2.635192216819867
B2;EMB48;IRRIG;23/02;35.25;39.543928713416044;-4.293928713416044
B3;EMB48;IRRIG;23/02;35.449999999999996;39.628293659389136;-4.178293659389141
B4;EMB48;IRRIG;23/02;38.78;39.395834580114155;-0.6158345801141536
B1;EMB48;NIRRIG;23/02;35.699999999999996;38.71385485382702;-3.013854853827027
B2;EMB48;NIRRIG;23/02;39.84;40.1967833803987;-0.3567833803986957
B3;EMB48;NIRRIG;23/02;39.949999999999996;39.35145251855514;0.5985474814448537
B4;EMB48;NIRRIG;23/02;37.63333333333333;37.12831494310898;0.5050183902243504
B1;CD202;IRRIG;23/02;38.06666666666666;39.97879035832039;-1.9121236916537256
B2;CD202;IRRIG;23/02;36.400000000000006;40.463749650232636;-4.06374965023263
B3;CD202;IRRIG;23/02;33.02;38.06756711085654;-5.047567110856534
B4;CD202;IRRIG;23/02;35.45;40.708634406565935;-5.258634406565932
B1;CD202;NIRRIG;23/02;36.76666666666667;39.973680807837184;-3.207014141170511
B2;CD202;NIRRIG;23/02;38.43333333333333;40.568950855175856;-2.1356175218425264
B3;CD202;NIRRIG;23/02;38.61666666666667;39.118113455498225;-0.5014467888315579
B4;CD202;NIRRIG;23/02;38.95;39.26784057721574;-0.31784057721574044
B1;BR16;IRRIG;24/02;44.38333333333333;42.12115229963754;2.2621810336957964
B2;BR16;IRRIG;24/02;42.0;41.70704825402948;0.29295174597051954
B3;BR16;IRRIG;24/02;46.01666666666667;41.065238883494295;4.951427783172377
B4;BR16;IRRIG;24/02;42.13333333333333;40.72205386714713;1.4112794661862011
B1;BR16;NIRRIG;24/02;43.475;43.07677414421336;0.3982258557866416
B2;BR16;NIRRIG;24/02;43.76666666666666;41.39040895330223;2.3762577133644314
B3;BR16;NIRRIG;24/02;40.25;39.556341636724824;0.6936583632751763
B4;BR16;NIRRIG;24/02;41.550000000000004;42.160970822290004;-0.6109708222899997
B1;EMB48;IRRIG;24/02;42.199999999999996;38.810533489143175;3.3894665108568205
B2;EMB48;IRRIG;24/02;38.1;38.22195642773084;-0.12195642773083648
B3;EMB48;IRRIG;24/02;40.25;38.19095620687421;2.059043793125788
B4;EMB48;IRRIG;24/02;40.98333333333333;38.574293387472665;2.4090399458606626
B1;EMB48;NIRRIG;24/02;36.28333333333333;38.78925758592673;-2.5059242525933954
B2;EMB48;NIRRIG;24/02;40.739999999999995;40.00357053049844;0.7364294695015516
B3;EMB48;NIRRIG;24/02;41.839999999999996;37.98052587228345;3.8594741277165454
B4;EMB48;NIRRIG;24/02;38.62;37.567348777180115;1.0526512228198825
B1;CD202;IRRIG;24/02;40.51666666666667;39.19656549303334;1.3201011736333328
B2;CD202;IRRIG;24/02;38.85;38.857653176196536;-0.007653176196534162
B3;CD202;IRRIG;24/02;36.85;38.010198314833055;-1.1601983148330532
B4;CD202;IRRIG;24/02;39.38;40.35518946022241;-0.9751894602224098
B1;CD202;NIRRIG;24/02;37.18333333333334;39.94828890966313;-2.7649555763297897
B2;CD202;NIRRIG;24/02;39.216666666666676;39.84333710061022;-0.6266704339435449
B3;CD202;NIRRIG;24/02;39.519999999999996;38.645848671255976;0.8741513287440199
B4;CD202;NIRRIG;24/02;38.516666666666666;38.40659588854357;0.11007077812309518
B1;BR16;IRRIG;25/02;42.93333333333334;41.457031281033665;1.4763020522996726
B2;BR16;IRRIG;25/02;41.88333333333333;41.63571988918347;0.24761344414986297
B3;BR16;IRRIG;25/02;44.300000000000004;41.887246451624634;2.4127535483753704
B4;BR16;IRRIG;25/02;42.75;40.26881516196098;2.4811848380390202
B1;BR16;NIRRIG;25/02;45.22;43.316344362045896;1.9036556379541025
B2;BR16;NIRRIG;25/02;44.68333333333334;41.549945470228295;3.1333878631050425
B3;BR16;NIRRIG;25/02;40.016666666666666;39.85348362256436;0.1631830441023041
B4;BR16;NIRRIG;25/02;42.24;41.32973842200152;0.9102615779984831
B1;EMB48;IRRIG;25/02;42.73333333333333;38.937122322877116;3.7962110104562115
B2;EMB48;IRRIG;25/02;38.166666666666664;38.32888381111337;-0.1622171444467071
B3;EMB48;IRRIG;25/02;40.03333333333333;38.80670775679258;1.2266255765407479
B4;EMB48;IRRIG;25/02;40.24999999999999;37.937691644135946;2.3123083558640474
B1;EMB48;NIRRIG;25/02;37.06666666666667;38.61796924075918;-1.5513025740925102
B2;EMB48;NIRRIG;25/02;41.18333333333334;39.727190764245236;1.456142569088101
B3;EMB48;NIRRIG;25/02;39.3;38.69262950352994;0.6073704964700539
B4;EMB48;NIRRIG;25/02;38.483333333333334;37.65076240198132;0.8325709313520164
B1;CD202;IRRIG;25/02;40.150000000000006;38.55067368409155;1.5993263159084563
B2;CD202;IRRIG;25/02;39.26666666666667;39.22313668655567;0.0435299801110034
B3;CD202;IRRIG;25/02;36.266666666666666;38.266194770898196;-1.9995281042315298
B4;CD202;IRRIG;25/02;39.416666666666664;40.90279220505534;-1.4861255383886771
B1;CD202;NIRRIG;25/02;38.08;38.6535610426294;-0.5735610426294002
