intervalo_inicio_nm;intervalo_fim_nm;n_bandas_spearman_significativas;banda_representante_nm;rho_spearman_etr;p_spearman_etr
350;359;2;355;0.695368574820608;0.00016193490352465616
360;369;1;360;0.6327462641425795;0.0009063359690742674
370;379;2;370;0.6527506133869497;0.0005452033480911967
380;389;2;387;0.6410089301348193;0.0007378749411439359
390;399;7;396;0.6523157362294634;0.0005514726809660541
400;409;9;408;0.6627527880091348;0.0004170494928981449
410;419;5;415;0.6497064732845457;0.0005904134158680545
420;429;5;422;0.6397042986623603;0.0007625251905965477
430;439;3;436;0.640574052977333;0.000746014220845983
440;449;3;444;0.6570993849618127;0.000485821638187457
450;459;2;455;0.6347618161933603;0.0008624592290706467
490;499;1;499;0.6310067555126343;0.0009457338374243611
720;729;6;728;-0.6514459819144908;0.0005641985257312819
730;739;10;737;-0.6723200854738336;0.000319773595956836
740;749;10;749;-0.7136334154350329;9.026040198096869e-05
750;759;10;759;-0.7266797301596222;5.7834981197493036e-05
760;769;10;760;-0.7266797301596222;5.7834981197493036e-05
770;779;10;770;-0.7184170641673823;7.688471460061752e-05
780;789;10;780;-0.6949336976631216;0.00016412023179056428
790;799;10;790;-0.6949336976631216;0.00016412023179056428
800;809;10;800;-0.6949336976631216;0.00016412023179056428
810;819;10;810;-0.6949336976631216;0.00016412023179056428
820;829;10;821;-0.6992824692379849;0.00014338210129112558
830;839;10;830;-0.6992824692379849;0.00014338210129112558
840;849;10;840;-0.6992824692379849;0.00014338210129112558
850;859;10;850;-0.6992824692379849;0.00014338210129112558
860;869;10;860;-0.6992824692379849;0.00014338210129112558
870;879;10;870;-0.6992824692379849;0.00014338210129112558
880;889;10;880;-0.6992824692379849;0.00014338210129112558
890;899;10;891;-0.7036312408128479;0.00012497071904839948
900;909;10;900;-0.6992824692379849;0.00014338210129112558
910;919;10;910;-0.6992824692379849;0.00014338210129112558
920;929;10;920;-0.6992824692379849;0.00014338210129112558
930;939;10;930;-0.6992824692379849;0.00014338210129112558
940;949;10;944;-0.7058056266002793;0.00011656642129055513
950;959;10;950;-0.7058056266002793;0.00011656642129055513
960;969;10;963;-0.7153729240649782;8.51778700662793e-05
970;979;10;970;-0.7153729240649782;8.51778700662793e-05
980;989;10;980;-0.7153729240649782;8.51778700662793e-05
990;999;10;990;-0.7153729240649782;8.51778700662793e-05
1000;1009;10;1000;-0.7058056266002793;0.00011656642129055513
1010;1019;10;1018;-0.7071102580727384;0.00011176482281294238
1020;1029;10;1027;-0.7071102580727384;0.00011176482281294238
1030;1039;10;1039;-0.7071102580727384;0.00011176482281294238
1040;1049;10;1049;-0.6988475920804984;0.0001453473308167379
1050;1059;10;1050;-0.6988475920804984;0.0001453473308167379
1060;1069;10;1060;-0.6901500489307723;0.00018991188915961542
1070;1079;10;1070;-0.6901500489307723;0.00018991188915961542
1080;1089;10;1080;-0.6901500489307723;0.00018991188915961542
1090;1099;10;1093;-0.6918895575607177;0.00018015142902865115
1100;1109;10;1102;-0.6918895575607177;0.00018015142902865115
1110;1119;10;1110;-0.6918895575607177;0.00018015142902865115
1120;1129;10;1126;-0.6910198032457449;0.00018497552501238696
1130;1139;10;1139;-0.7053707494427931;0.0001182065613023784
1140;1149;10;1140;-0.7053707494427931;0.0001182065613023784
1150;1159;10;1150;-0.7053707494427931;0.0001182065613023784
1160;1169;10;1160;-0.6975429606080396;0.00015138489515006254
1170;1179;10;1170;-0.694063943348149;0.0001685682288070846
1180;1189;10;1188;-0.7045009951278206;0.00012154749823656407
1190;1199;10;1190;-0.7045009951278206;0.00012154749823656407
1200;1209;10;1200;-0.7045009951278206;0.00012154749823656407
1210;1219;10;1210;-0.7001522235529575;0.00013952116383092675
1220;1229;10;1220;-0.7001522235529575;0.00013952116383092675
1230;1239;10;1230;-0.6984127149230122;0.00014733604765777863
1240;1249;10;1240;-0.6984127149230122;0.00014733604765777863
1250;1259;10;1255;-0.7053707494427931;0.0001182065613023784
1260;1269;10;1260;-0.7053707494427931;0.0001182065613023784
1270;1279;10;1270;-0.7053707494427931;0.0001182065613023784
1280;1289;10;1281;-0.6966732062930668;0.00015553056685700125
1290;1299;10;1299;-0.6879756631433407;0.0002027584967460016
1300;1309;10;1301;-0.6958034519780943;0.00015977501709886057
1310;1319;10;1316;-0.688410540300827;0.00020013025742214772
1320;1329;10;1320;-0.688410540300827;0.00020013025742214772
1330;1339;10;1330;-0.688410540300827;0.00020013025742214772
1340;1349;10;1345;-0.6849315230409366;0.00022201334888184972
1350;1359;10;1350;-0.695368574820608;0.00016193490352465616
1360;1369;10;1364;-0.6775386113636693;0.00027553892866133563
1370;1379;10;1370;-0.6723200854738336;0.000319773595956836
1380;1389;10;1383;-0.6731898397888063;0.0003119990429262692
1390;1399;8;1390;-0.6653620509540528;0.0003882670554853683
1400;1409;3;1400;-0.6323113869850931;0.0009160506186994531
1410;1419;8;1413;-0.6379647900324151;0.0007964938788656804
1420;1429;1;1429;-0.6344857727725247;0.0008683582050114691
1430;1439;10;1430;-0.6492715961270592;0.0005971291946547507
1440;1449;10;1440;-0.6492715961270592;0.0005971291946547507
1450;1459;10;1453;-0.6610132793791895;0.0004372491547191156
1460;1469;10;1460;-0.66449229663908;0.00039766354294567044
1470;1479;10;1476;-0.6871059088283681;0.00020810535319031327
1480;1489;10;1480;-0.6871059088283681;0.00020810535319031327
1490;1499;10;1494;-0.6975429606080396;0.00015138489515006254
1500;1509;10;1503;-0.6992824692379849;0.00014338210129112558
1510;1519;10;1518;-0.6997173463954711;0.00014144012351540523
1520;1529;10;1520;-0.6997173463954711;0.00014144012351540523
1530;1539;10;1530;-0.6997173463954711;0.00014144012351540523
1540;1549;10;1547;-0.6962383291355806;0.00015764032128615557
1550;1559;10;1556;-0.7031963636553615;0.00012671372056299857
1560;1569;10;1563;-0.7075451352302247;0.00011020321500541205
1570;1579;10;1570;-0.7040661179703341;0.00012324871667273956
1580;1589;10;1580;-0.695368574820608;0.00016193490352465616
1590;1599;10;1590;-0.6827571372535051;0.0002367239790104418
1600;1609;10;1607;-0.6849315230409366;0.00022201334888184972
1610;1619;10;1610;-0.6740595941037788;0.000304389213117866
1620;1629;10;1621;-0.6723200854738336;0.000319773595956836
1630;1639;10;1630;-0.6723200854738336;0.000319773595956836
1640;1649;10;1640;-0.6723200854738336;0.000319773595956836
1650;1659;10;1650;-0.6649271737965664;0.0003929409470605732
1660;1669;10;1660;-0.6610132793791895;0.0004372491547191156
1670;1679;10;1670;-0.6610132793791895;0.0004372491547191156
1680;1689;10;1680;-0.66449229663908;0.00039766354294567044
1690;1699;10;1690;-0.6627527880091348;0.0004170494928981449
1700;1709;10;1702;-0.6501413504420319;0.0005837629876363063
1710;1719;10;1710;-0.6501413504420319;0.0005837629876363063
1720;1729;10;1724;-0.6575342621192992;0.00048020379921081494
1730;1739;10;1735;-0.66449229663908;0.00039766354294567044
1740;1749;10;1748;-0.6753642255762378;0.00029327690239996446
