bloco;genotipo;condicao;ETR (02/03);predito_ajuste;predito_cv_bloco;residuo_cv_bloco
B1;BR16;IRRIG;150.06666666666666;133.18927349026848;131.71795828741148;18.348708379255186
B2;BR16;IRRIG;170.01666666666668;153.92173501033673;151.66985669646283;18.34680997020385
B3;BR16;IRRIG;161.35;147.3981099521975;149.23850019458277;12.111499805417225
B4;BR16;IRRIG;118.02000000000001;159.76912742411997;159.47380095780431;-41.453800957804305
B1;BR16;NIRRIG;120.41999999999999;102.71691886469888;98.3520341318889;22.067965868111088
B2;BR16;NIRRIG;99.96000000000001;109.22231814427533;112.29285264456911;-12.332852644569101
B3;BR16;NIRRIG;96.9;122.9722104596299;123.19591198089061;-26.295911980890608
B4;BR16;NIRRIG;82.62;116.10159274447454;117.43136226964855;-34.81136226964854
B1;EMB48;IRRIG;137.85;158.61616085644224;159.3430840850335;-21.4930840850335
B2;EMB48;IRRIG;152.04;158.4274480669282;155.64199420701328;-3.6019942070132913
B3;EMB48;IRRIG;151.5;173.21088880042254;176.74881385486026;-25.24881385486026
B4;EMB48;IRRIG;185.06;160.26089826577694;159.94998602122425;25.110013978775754
B1;EMB48;NIRRIG;125.2333333333333;141.95859948773375;141.30732900677444;-16.073995673441132
B2;EMB48;NIRRIG;125.81666666666666;125.51838106286235;126.64452598049769;-0.8278593138310271
B3;EMB48;NIRRIG;144.92000000000002;118.3316108607033;118.22454448561794;26.695455514382076
B4;EMB48;NIRRIG;144.78000000000003;116.04181205476345;117.37625610328521;27.403743896714815
B1;CD202;IRRIG;181.14000000000001;164.10134850055033;165.47877925227348;15.661220747726531
B2;CD202;IRRIG;166.82;148.98369860560132;147.32406757790483;19.495932422095166
B3;CD202;IRRIG;171.33333333333334;165.8282631934768;168.88106364978714;2.4522696835462057
B4;CD202;IRRIG;161.35;124.70928588728499;125.67941025028912;35.67058974971087
B1;CD202;NIRRIG;130.20000000000002;120.70810924041344;117.93686574460943;12.263134255390582
B2;CD202;NIRRIG;88.9;104.81336305986025;108.40739932577108;-19.507399325771075
B3;CD202;NIRRIG;115.92;131.04940842857093;131.89460086467582;-15.974600864675821
B4;CD202;NIRRIG;70.35;94.71610420527439;96.83853841846087;-26.488538418460877
