data_etr;coleta_espectral;banda_nm;vip_selecao;vip_modelo_final;rho_spearman_etr;p_spearman_etr;indice_X
02/03;D09M;1556;1.0886182840609624;1.0215047691787296;-0.7031963636553615;0.00012671372056299857;1206
02/03;D09M;1563;1.0884741413453147;1.0213695128876747;-0.7075451352302247;0.00011020321500541205;1213
02/03;D09M;1570;1.0880928073375045;1.021011688190688;-0.7040661179703341;0.00012324871667273956;1220
02/03;D09M;980;1.0879006872499937;1.0208314123414575;-0.7153729240649782;8.51778700662793e-05;630
02/03;D09M;990;1.08785517580276;1.0207887066832093;-0.7153729240649782;8.51778700662793e-05;640
02/03;D09M;1547;1.087774363813115;1.0207128767673996;-0.6962383291355806;0.00015764032128615557;1197
02/03;D09M;970;1.0874709991157536;1.0204282145587154;-0.7153729240649782;8.51778700662793e-05;620
02/03;D09M;1530;1.0871322041992095;1.0201103064102939;-0.6997173463954711;0.00014144012351540523;1180
02/03;D09M;963;1.0866623245692426;1.0196693949448348;-0.7153729240649782;8.51778700662793e-05;613
02/03;D09M;1000;1.0859915435617722;1.0190399677082742;-0.7058056266002793;0.00011656642129055513;650
02/03;D09M;1580;1.0859399970063146;1.0189915990073206;-0.695368574820608;0.00016193490352465616;1230
02/03;D09M;1520;1.0846948663227685;1.017823230856504;-0.6997173463954711;0.00014144012351540523;1170
02/03;D09M;1590;1.084688171418545;1.0178169486943418;-0.6827571372535051;0.0002367239790104418;1240
02/03;D09M;1518;1.084186807340544;1.0173464938027865;-0.6997173463954711;0.00014144012351540523;1168
02/03;D09M;944;1.0839955973410724;1.017167071934502;-0.7058056266002793;0.00011656642129055513;594
02/03;D09M;950;1.0839856358470568;1.0171577245684011;-0.7058056266002793;0.00011656642129055513;600
02/03;D09M;891;1.083879931127047;1.0170585365635738;-0.7036312408128479;0.00012497071904839948;541
02/03;D09M;900;1.0832538040178188;1.0164710103043209;-0.6992824692379849;0.00014338210129112558;550
02/03;D09M;930;1.0832409641004044;1.0164589619701465;-0.6992824692379849;0.00014338210129112558;580
02/03;D09M;910;1.0829027574049181;1.0161416057788482;-0.6992824692379849;0.00014338210129112558;560
02/03;D09M;880;1.0828286435249979;1.0160720610330827;-0.6992824692379849;0.00014338210129112558;530
02/03;D09M;920;1.0827746912902083;1.0160214349633645;-0.6992824692379849;0.00014338210129112558;570
02/03;D09M;870;1.0824889233550479;1.0157532846732957;-0.6992824692379849;0.00014338210129112558;520
02/03;D09M;860;1.081900381251948;1.015201026297719;-0.6992824692379849;0.00014338210129112558;510
02/03;D09M;1607;1.0803834197671467;1.0137775857639033;-0.6849315230409366;0.00022201334888184972;1257
02/03;D09M;850;1.080363862145045;1.0137592338727557;-0.6992824692379849;0.00014338210129112558;500
02/03;D09M;1503;1.0795875547539875;1.0130307859733174;-0.6992824692379849;0.00014338210129112558;1153
02/03;D09M;1610;1.079572823133155;1.0130169625595844;-0.6740595941037788;0.000304389213117866;1260
02/03;D09M;840;1.0794541023978956;1.0129055609792108;-0.6992824692379849;0.00014338210129112558;490
02/03;D09M;830;1.0779436041711044;1.0114881852423754;-0.6992824692379849;0.00014338210129112558;480
02/03;D09M;780;1.077843491603218;1.0113942446324777;-0.6949336976631216;0.00016412023179056428;430
02/03;D09M;800;1.0776508244961067;1.011213455487504;-0.6949336976631216;0.00016412023179056428;450
02/03;D09M;790;1.0773897977639144;1.0109685211007482;-0.6949336976631216;0.00016412023179056428;440
02/03;D09M;770;1.0767790512461444;1.0103954272166973;-0.7184170641673823;7.688471460061752e-05;420
02/03;D09M;810;1.0767597645599543;1.0103773295582128;-0.6949336976631216;0.00016412023179056428;460
02/03;D09M;1621;1.076716662576756;1.010336884820105;-0.6723200854738336;0.000319773595956836;1271
02/03;D09M;821;1.076423656754683;1.0100619428601665;-0.6992824692379849;0.00014338210129112558;471
02/03;D09M;1630;1.0749468731801095;1.008676203261118;-0.6723200854738336;0.000319773595956836;1280
02/03;D09M;1494;1.0748232547167027;1.0085602058984267;-0.6975429606080396;0.00015138489515006254;1144
02/03;D09M;759;1.073639813678161;1.0074497242147986;-0.7266797301596222;5.7834981197493036e-05;409
02/03;D09M;760;1.0736042887474886;1.0074163894025525;-0.7266797301596222;5.7834981197493036e-05;410
02/03;D09M;1345;1.0718007681942114;1.005724056218866;-0.6849315230409366;0.00022201334888184972;995
02/03;D09M;1018;1.071150021292323;1.005113427981641;-0.7071102580727384;0.00011176482281294238;668
02/03;D09M;1039;1.0709106162212396;1.0048887822766606;-0.7071102580727384;0.00011176482281294238;689
02/03;D09M;1330;1.0705433512090257;1.004544159219137;-0.688410540300827;0.00020013025742214772;980
02/03;D09M;1640;1.0705431899842448;1.0045440079338934;-0.6723200854738336;0.000319773595956836;1290
02/03;D09M;1027;1.0704963538665189;1.0045000592713296;-0.7071102580727384;0.00011176482281294238;677
02/03;D09M;1200;1.0699644027411976;1.0040009030294754;-0.7045009951278206;0.00012154749823656407;850
02/03;D09M;1190;1.0699441086480206;1.0039818600708277;-0.7045009951278206;0.00012154749823656407;840
02/03;D09M;1188;1.0696453879165606;1.0037015555267035;-0.7045009951278206;0.00012154749823656407;838
02/03;D09M;1350;1.0696271764694072;1.0036844668185738;-0.695368574820608;0.00016193490352465616;1000
02/03;D09M;1210;1.0684079872296477;1.0025404408168246;-0.7001522235529575;0.00013952116383092675;860
02/03;D09M;1650;1.067778581869845;1.0019498384117402;-0.6649271737965664;0.0003929409470605732;1300
02/03;D09M;1170;1.067459996684491;1.0016508940609117;-0.694063943348149;0.0001685682288070846;820
02/03;D09M;1320;1.067211825469664;1.0014180226465412;-0.688410540300827;0.00020013025742214772;970
02/03;D09M;1050;1.0671956362100654;1.0014028314577363;-0.6988475920804984;0.0001453473308167379;700
02/03;D09M;1220;1.0670674130833595;1.001282513310075;-0.7001522235529575;0.00013952116383092675;870
02/03;D09M;1316;1.0667839865753224;1.001016560097722;-0.688410540300827;0.00020013025742214772;966
02/03;D09M;1049;1.0666054454218574;1.0008490260387874;-0.6988475920804984;0.0001453473308167379;699
02/03;D09M;1230;1.0665982515039587;1.0008422756272337;-0.6984127149230122;0.00014733604765777863;880
02/03;D09M;1150;1.0665661697245428;1.0008121716953442;-0.7053707494427931;0.0001182065613023784;800
02/03;D09M;749;1.0662314192295186;1.0004980586291217;-0.7136334154350329;9.026040198096869e-05;399
