bloco;genotipo;condicao;ETR (02/03);predito_ajuste;predito_cv_bloco;residuo_cv_bloco
B1;BR16;IRRIG;150.06666666666666;133.24381167994073;131.69997222002092;18.366694446645738
B2;BR16;IRRIG;170.01666666666668;153.02256575740415;150.77834120511247;19.23832546155421
B3;BR16;IRRIG;161.35;147.45233274416384;149.36402603425262;11.985973965747377
B4;BR16;IRRIG;118.02000000000001;159.77820078605697;159.47098934862248;-41.45098934862247
B1;BR16;NIRRIG;120.41999999999999;101.8725970026681;97.03595325988063;23.38404674011936
B2;BR16;NIRRIG;99.96000000000001;110.0408643652679;112.95885410825449;-12.998854108254477
B3;BR16;NIRRIG;96.9;124.34511543487662;124.77742971048606;-27.877429710486055
B4;BR16;NIRRIG;82.62;116.75459707161893;118.12807494042094;-35.50807494042094
B1;EMB48;IRRIG;137.85;157.974936463471;158.75050027296055;-20.900500272960556
B2;EMB48;IRRIG;152.04;157.93382246539755;155.10167702872945;-3.061677028729463
B3;EMB48;IRRIG;151.5;173.20499266734996;176.72611343761417;-25.226113437614174
B4;EMB48;IRRIG;185.06;159.7048901298565;159.42107096621783;25.638929033782176
B1;EMB48;NIRRIG;125.2333333333333;142.83802645591928;142.34449320265452;-17.111159869321213
B2;EMB48;NIRRIG;125.81666666666666;125.59313068873662;126.63819608727;-0.8215294206033406
B3;EMB48;NIRRIG;144.92000000000002;119.57071096595504;119.68349299810578;25.23650700189424
B4;EMB48;NIRRIG;144.78000000000003;115.8100492877859;117.24136599192327;27.538634008076755
B1;CD202;IRRIG;181.14000000000001;164.64440670967053;166.29860467302385;14.84139532697617
B2;CD202;IRRIG;166.82;149.0325272776;147.2738550004456;19.5461449995544
B3;CD202;IRRIG;171.33333333333334;166.0732139022891;169.1426046358094;2.1907286975239515
B4;CD202;IRRIG;161.35;125.6241241095841;126.59401584745153;34.755984152548464
B1;CD202;NIRRIG;130.20000000000002;119.74582884009584;116.65359929548161;13.546400704518405
B2;CD202;NIRRIG;88.9;103.61558852371131;107.30002515367254;-18.40002515367253
B3;CD202;NIRRIG;115.92;130.03961718072307;130.95721205253122;-15.037212052531217
B4;CD202;NIRRIG;70.35;94.65071615652349;96.90579722959927;-26.55579722959928
