seed;fold;n_treino;n_teste;accuracy;f1;kappa;auc_roc
42;1;144;48;1.0;1.0;1.0;1.0
42;2;144;48;1.0;1.0;1.0;1.0
42;3;144;48;1.0;1.0;1.0;1.0
42;4;144;48;1.0;1.0;1.0;1.0
43;1;144;48;1.0;1.0;1.0;1.0
43;2;144;48;1.0;1.0;1.0;1.0
43;3;144;48;1.0;1.0;1.0;1.0
43;4;144;48;1.0;1.0;1.0;1.0
44;1;144;48;1.0;1.0;1.0;1.0
44;2;144;48;1.0;1.0;1.0;1.0
44;3;144;48;0.9375;0.9333333333333333;0.875;1.0
44;4;144;48;1.0;1.0;1.0;1.0
45;1;144;48;1.0;1.0;1.0;1.0
45;2;144;48;1.0;1.0;1.0;1.0
45;3;144;48;1.0;1.0;1.0;1.0
45;4;144;48;1.0;1.0;1.0;1.0
46;1;144;48;1.0;1.0;1.0;1.0
46;2;144;48;1.0;1.0;1.0;1.0
46;3;144;48;1.0;1.0;1.0;1.0
46;4;144;48;1.0;1.0;1.0;1.0
