genotipo;dia;posicao;banda_nm;importancia_gini
todos;D02;1;1965;0.031970071451605915
todos;D02;2;1915;0.024184751003441165
todos;D02;3;1365;0.020455833763317256
todos;D02;4;1575;0.019869079293981243
todos;D02;5;1375;0.01916498632849668
todos;D03;1;415;0.0817221131701944
todos;D03;2;405;0.07911532436799638
todos;D03;3;1965;0.06106249737511375
todos;D03;4;1955;0.04515950785850663
todos;D03;5;425;0.03948831573421427
todos;D04;1;1945;0.056764414392857766
todos;D04;2;1955;0.05070669083958649
todos;D04;3;1365;0.04885649879839534
todos;D04;4;1965;0.045557830542481005
todos;D04;5;405;0.04533915344881937
todos;D05;1;415;0.06812127914530076
todos;D05;2;1965;0.0646196065850486
todos;D05;3;405;0.06173525483095609
todos;D05;4;1955;0.05584174241656119
todos;D05;5;1905;0.05243488269632001
todos;D06;1;755;0.11121075835504646
todos;D06;2;1965;0.07138899848346317
todos;D06;3;2450;0.07061482914248872
todos;D06;4;1955;0.05938876791748383
todos;D06;5;415;0.05856996075731165
todos;D09;1;415;0.06696273308907512
todos;D09;2;405;0.0545693772787373
todos;D09;3;1955;0.048863395537537435
todos;D09;4;1535;0.04605375730793942
todos;D09;5;1525;0.041834997962490295
todos;D10;1;715;0.06391522644124924
todos;D10;2;1965;0.03824619448448796
todos;D10;3;725;0.03661421822793253
todos;D10;4;405;0.03433203738102534
todos;D10;5;1375;0.03387261677438768
