seed;fold;classe_real_nirrig;classe_predita_nirrig;score_plsda
42;1;1;1;0.8131673063027544
42;1;1;1;0.8064458969415779
42;1;1;1;0.5943175322034051
42;1;0;0;-0.1533671842834936
42;1;0;0;-0.20168157646991736
42;1;0;0;-0.12900542118691893
42;1;0;0;-0.10799156865665627
42;1;1;1;0.653419586950438
42;1;1;1;0.6489426739444688
42;1;1;1;0.5732099130831968
42;1;0;0;0.29635962729084253
42;1;0;0;0.2641909677225644
42;1;0;0;-0.04857185415171217
42;1;1;1;0.5593165640748468
42;1;0;1;1.042975781770977
42;1;0;1;1.0581610816400873
42;1;0;1;0.5571171180116856
42;1;0;0;0.3154001016519543
42;1;1;1;1.1300444894572301
42;1;1;1;1.1317064382247488
42;1;0;0;0.46903850883482695
42;1;0;0;0.42565058619596485
42;1;0;1;0.5130129499913633
42;1;1;1;0.7757128335859462
42;1;1;1;0.8007538476657624
42;1;1;1;0.7546288920302886
42;1;0;0;-0.2557610951685847
42;1;0;0;-0.24520382569470012
42;1;0;0;0.22093489770752994
42;1;0;0;0.17555032151020378
42;1;1;0;0.15869002309203756
42;1;1;1;0.7852249911567837
42;1;1;1;0.6408599049852437
42;1;1;1;0.7284538345721201
42;1;1;1;0.5579565341897311
42;1;1;1;0.5550736508301498
42;1;1;1;0.5532454670566832
42;1;0;0;0.4956608777487391
42;1;0;0;0.4776871715695548
42;1;0;0;0.3881396867624799
42;1;0;0;0.37952253755278953
42;1;1;1;0.8235162067251036
42;1;1;1;0.9402227992349084
42;1;1;1;0.9330878853484453
42;1;0;0;0.04424167339793711
42;1;0;0;0.4489073716114101
42;1;1;1;0.8595786564407317
42;1;1;1;0.7144834506736221
42;2;0;0;0.37852185220842627
42;2;0;0;0.3903767426262032
42;2;1;0;0.44831703135098155
42;2;0;0;-0.2291569472414846
42;2;0;0;-0.11598320617485325
42;2;0;0;-0.1202125592719907
42;2;1;1;0.9735748885778375
42;2;0;0;-0.024842528584649415
42;2;1;1;1.175270506425968
42;2;0;1;0.9825303117670393
42;2;0;0;0.12256862476408437
42;2;0;0;0.07849625003337518
42;2;1;1;0.5270593886142307
42;2;0;0;0.488607357074422
42;2;0;0;0.3661406629114411
42;2;0;0;0.33409905337440593
42;2;0;0;0.32941080133053896
42;2;1;1;0.9157886636090363
42;2;1;1;0.8908283644834194
42;2;0;0;0.4175369428321115
42;2;0;0;0.4653777627071899
42;2;0;0;-0.28250596588646115
42;2;0;0;-0.28015837056262116
42;2;1;0;0.053654072675559106
42;2;1;0;0.015902229158622383
42;2;1;0;-0.0011011028439764647
42;2;1;1;0.6293067805907157
42;2;0;0;0.056418244594909794
42;2;0;0;0.028854534880901117
42;2;1;1;0.8088231833842817
42;2;1;1;0.7618686930100584
42;2;1;1;0.7540122051045008
42;2;0;0;0.12436248301775843
42;2;0;0;0.02467395598641403
42;2;1;1;0.6869785508766039
42;2;1;1;0.705150414322418
42;2;0;1;0.6435260607217056
42;2;0;0;0.357399226144735
42;2;1;1;0.5168447751006469
42;2;1;1;0.5622743346674536
42;2;1;1;0.5574160514107679
42;2;0;0;0.46317158670380937
42;2;1;1;0.9128834357458704
42;2;1;1;0.971216046081703
42;2;1;1;0.9091216521360614
42;2;1;1;0.9218479157466725
42;2;1;1;0.9166100387724122
42;2;1;1;0.8070296085380094
42;3;0;0;0.20528795437329206
42;3;1;1;0.6099920854523615
42;3;1;1;0.5873016198833344
42;3;1;0;0.24180131492300266
42;3;0;0;0.24433334744486607
42;3;1;0;0.40367825055897055
42;3;1;1;0.9975420380867398
42;3;1;1;0.9928291255916702
42;3;1;1;0.9989194929463163
42;3;0;0;0.2034813231514655
42;3;0;0;0.21922060490645345
42;3;0;0;0.25197161798744816
42;3;1;1;1.2263567527357506
42;3;0;0;0.22912590456946325
42;3;1;1;0.7435593977373898
42;3;1;1;0.5645568387820392
42;3;1;0;0.23024931730394482
42;3;0;1;0.5773810515226787
42;3;0;1;0.5712299131689268
42;3;1;1;1.063065791822733
42;3;1;1;0.9043508441826796
42;3;1;1;0.8915494306082321
42;3;1;1;0.5636085131761095
42;3;0;0;-0.0345642365903156
42;3;1;0;0.4769589967419744
42;3;0;0;0.4591576259055656
42;3;0;0;0.3117088573728333
