posicao;banda_nm;importancia_gini
1;1943;0.05760182274512617
2;405;0.05313287861067791
3;1963;0.051260715934404864
4;415;0.049633013149131516
5;1953;0.045422709499562515
6;1373;0.04240687743464244
7;1363;0.03842963988106621
8;1903;0.03453860439727652
9;425;0.033027937790341334
10;1923;0.03180195595642821
11;1383;0.02590880401328287
12;1353;0.025268280378931727
13;1343;0.021590027494491997
14;1913;0.018112238693386296
15;445;0.016286139311929564
16;435;0.015085408035913354
17;1333;0.014348398070360376
18;1933;0.013912406134940356
19;545;0.013722489808081306
20;2449;0.013497560786370988
21;1973;0.0134032845250317
22;455;0.011886551432370546
23;555;0.011573067397214256
24;713;0.010717867457170604
25;1893;0.010496479074858258
26;465;0.009076288808072416
27;1863;0.008834748347360576
28;1393;0.00880492279764443
29;723;0.0076990874550827
30;2443;0.007620681455269187
31;703;0.0076028333394521225
32;1403;0.007262640725655897
33;1413;0.007135459955306405
34;565;0.007027960376386525
35;753;0.006488666643662167
36;2003;0.006467407201397276
37;535;0.006158152069655877
38;733;0.006059446667800677
39;1693;0.0059593773213953245
40;1853;0.005441822398319594
41;575;0.005324949305394674
42;2053;0.0051445943767886824
43;803;0.0050224521560315654
44;1993;0.004685095912275846
45;1583;0.0046842936602581415
46;2433;0.004604407731422853
47;2133;0.004602852345475681
48;1713;0.004488130740210315
49;1743;0.004465806334898491
50;813;0.004443284509460894
51;1823;0.004374827612478486
52;2313;0.004366990782577904
53;2243;0.0038845719576762303
54;2383;0.0038101669865453452
55;1443;0.0036581569059256896
56;1883;0.0035523312601448876
57;1813;0.0033591438653311416
58;2013;0.0032984268780682107
59;1193;0.003263015753564106
60;525;0.002977656049724207
61;2423;0.0029640249850530235
62;2413;0.0028903534543368876
63;823;0.002816803585465972
64;1833;0.0027385447456152743
65;2023;0.0026362775736839448
66;1093;0.002625344159741644
67;1293;0.0026100037558485804
68;1323;0.002564154939665884
69;1543;0.0024710362152074983
70;1843;0.002425221604961902
71;495;0.0024237124873763066
72;2373;0.0024076133131565283
73;1513;0.0023900744890702516
74;763;0.0023844908266071984
75;2063;0.0023590804633580806
76;2393;0.0023577911362564832
77;585;0.002319305188491882
78;2193;0.00230057974617019
79;2273;0.0022945998101277605
80;645;0.0022760840180741523
81;783;0.002182764420727881
82;2033;0.002135168243542628
83;793;0.002035016907545784
84;2083;0.0019686030124389407
85;1523;0.001917023321492773
86;1723;0.001852289009278257
87;2253;0.0017755522958025054
88;1873;0.001767362383313886
89;1163;0.0017187500000000004
90;485;0.0016635878819287765
91;2203;0.0016510793541032326
92;1683;0.0015893883021433771
93;1623;0.0015493085750937843
94;605;0.0015175323224983406
95;773;0.0014435469956787903
96;2073;0.00139834338923052
97;1983;0.001384261925768236
98;1113;0.0013708457731134401
99;694;0.0013429318297123766
100;475;0.0012799034360769625
101;1703;0.001249480882470687
102;1593;0.001241061183836883
103;1453;0.0012376926563437373
104;2283;0.001208262409658536
105;1563;0.0011648113333153928
106;863;0.0011572306669454767
107;2103;0.0011388156317429883
108;2183;0.0010998052923023118
109;1753;0.0010814432884084153
110;1033;0.0010620140207434525
111;655;0.0010423491588459487
112;2213;0.0010335144808163762
113;1073;0.0010154058482074002
114;1803;0.0010090363704394363
115;843;0.001008003108003108
116;1243;0.0009958441926836367
117;1533;0.0009864759997371944
118;2113;0.000985138128199608
119;1173;0.0009652762716025262
120;2293;0.0009620978331086391
121;1253;0.0009433383337057015
122;1553;0.0009219549788187488
123;1223;0.0009212658174511749
124;635;0.0009033238233595296
125;1133;0.0008897056642423293
126;1503;0.0008344216950882458
127;923;0.0008284935945827916
128;2153;0.0007959110395543036
129;1573;0.0007424287726041794
130;833;0.0007367240916483763
131;853;0.0007050298380221656
132;873;0.00069260676695572
133;1633;0.0006619280672576613
134;953;0.0006487817240505414
135;743;0.0006311109779322717
136;2223;0.0006305418719211824
137;1643;0.000624474978653396
138;1793;0.0006126509016060225
139;505;0.0005999261133532691
140;1043;0.0005982136675205986
141;2163;0.0005963894765532157
142;993;0.0005769037013957396
143;1263;0.0005723749211757432
144;1613;0.0005653601915986508
145;883;0.0005513723274261377
146;1653;0.0005318616500415533
147;893;0.000528260680775548
148;1183;0.0005277141548327989
149;1423;0.0005272311212814648
150;1083;0.0005233105339396163
151;2353;0.0005224810447864879
152;625;0.0005217391304347828
153;1473;0.000517034705231498
154;2323;0.0005160474308300397
155;973;0.000508695652173913
156;2343;0.0004531947720300057
157;1103;0.0003916875204003917
158;2303;0.0003775430900867082
159;1463;0.0003636282997680515
160;2233;0.0003634662869551973
161;1493;0.0003612779377485261
162;2173;0.0003581693609372808
163;1203;0.0003526860534874175
164;1053;0.0003522462824167595
165;515;0.00032974316104261296
166;1013;0.0002990332463719953
167;1783;0.0002923117012967918
168;2403;0.000280824923211935
169;1603;0.00027210039437720727
170;2143;0.00025204750478712706
171;1733;0.00023664647041270396
172;943;0.00020454545454545435
173;1433;0.00019845501033619845
174;1763;0.00019546556591138503
175;1773;0.00019230769230769233
176;1213;0.00016695652173913045
177;983;0.00015832875206157234
178;963;0.00015626695604991863
179;1003;6.701503849375688e-05
180;1313;6.67318344737696e-05
181;1483;4.998992138681683e-05
182;1663;3.2470381746379766e-05
183;1023;7.327089933857913e-06
184;685;0.0
185;2363;0.0
186;675;0.0
187;1233;0.0
188;1153;0.0
189;665;0.0
190;615;0.0
191;1273;0.0
192;2333;0.0
193;1283;0.0
194;1143;0.0
195;595;0.0
196;2123;0.0
197;1673;0.0
198;1123;0.0
199;2263;0.0
200;1063;0.0
201;903;0.0
202;2043;0.0
203;913;0.0
204;933;0.0
205;2093;0.0
206;1303;0.0
