seed;fold;condicao_real;classe_real_nirrig;classe_predita_nirrig;probabilidade_nirrig
42;1;NIRRIG;1;1;0.9
42;1;NIRRIG;1;1;0.96
42;1;NIRRIG;1;1;0.84
42;1;IRRIG;0;0;0.15
42;1;IRRIG;0;0;0.13
42;1;IRRIG;0;0;0.03
42;1;IRRIG;0;0;0.02
42;1;NIRRIG;1;1;1.0
42;1;NIRRIG;1;1;1.0
42;1;NIRRIG;1;1;1.0
42;1;IRRIG;0;0;0.31
42;1;IRRIG;0;0;0.11
42;1;IRRIG;0;0;0.0
42;1;NIRRIG;1;1;1.0
42;1;IRRIG;0;0;0.0
42;1;IRRIG;0;0;0.0
42;1;IRRIG;0;0;0.03
42;1;IRRIG;0;0;0.04
42;1;NIRRIG;1;1;0.6
42;1;NIRRIG;1;1;0.76
42;1;IRRIG;0;0;0.01
42;1;IRRIG;0;0;0.0
42;1;IRRIG;0;0;0.0
42;1;NIRRIG;1;1;0.93
42;1;NIRRIG;1;1;0.96
42;1;NIRRIG;1;1;0.98
42;1;IRRIG;0;0;0.01
42;1;IRRIG;0;0;0.01
42;1;IRRIG;0;0;0.01
42;1;IRRIG;0;0;0.0
42;1;NIRRIG;1;1;1.0
42;1;NIRRIG;1;1;1.0
42;1;NIRRIG;1;1;1.0
42;1;NIRRIG;1;1;0.98
42;1;NIRRIG;1;1;0.98
42;1;NIRRIG;1;1;1.0
42;1;NIRRIG;1;1;1.0
42;1;IRRIG;0;0;0.0
42;1;IRRIG;0;0;0.0
42;1;IRRIG;0;0;0.03
42;1;IRRIG;0;0;0.03
42;1;NIRRIG;1;1;1.0
42;1;NIRRIG;1;1;1.0
42;1;NIRRIG;1;1;1.0
42;1;IRRIG;0;0;0.02
42;1;IRRIG;0;0;0.01
42;1;NIRRIG;1;1;0.99
42;1;NIRRIG;1;1;0.91
42;2;IRRIG;0;0;0.0
42;2;IRRIG;0;0;0.02
42;2;NIRRIG;1;1;0.97
42;2;IRRIG;0;0;0.01
42;2;IRRIG;0;0;0.01
42;2;IRRIG;0;0;0.01
42;2;NIRRIG;1;1;1.0
42;2;IRRIG;0;0;0.03
