genotipo;dia;banda_1;banda_2;rho_spearman;rho_abs
BR16;D02;1931;1941;0.9341575091575092;0.9341575091575092
BR16;D02;1931;1921;0.9941391941391942;0.9941391941391942
BR16;D02;1931;1951;0.8107142857142857;0.8107142857142857
BR16;D02;1931;1835;-0.4288003663003663;0.4288003663003663
BR16;D02;1941;1921;0.9122252747252747;0.9122252747252747
BR16;D02;1941;1951;0.945558608058608;0.945558608058608
BR16;D02;1941;1835;-0.22902930402930402;0.22902930402930402
BR16;D02;1921;1951;0.7804945054945055;0.7804945054945055
BR16;D02;1921;1835;-0.45947802197802196;0.45947802197802196
BR16;D02;1951;1835;-0.004120879120879121;0.004120879120879121
BR16;D03;1370;1379;0.6899267399267399;0.6899267399267399
BR16;D03;1370;1361;0.9082875457875458;0.9082875457875458
BR16;D03;1370;1351;0.6797619047619048;0.6797619047619048
BR16;D03;1370;711;-0.43301282051282053;0.43301282051282053
BR16;D03;1379;1361;0.37614468864468864;0.37614468864468864
BR16;D03;1379;1351;0.0706043956043956;0.0706043956043956
BR16;D03;1379;711;-0.596062271062271;0.596062271062271
BR16;D03;1361;1351;0.8987637362637363;0.8987637362637363
BR16;D03;1361;711;-0.3227564102564103;0.3227564102564103
BR16;D03;1351;711;-0.211996336996337;0.211996336996337
BR16;D04;714;1380;-0.711996336996337;0.711996336996337
BR16;D04;714;405;-0.5773809523809523;0.5773809523809523
BR16;D04;714;1370;-0.7932692307692307;0.7932692307692307
BR16;D04;714;1390;-0.5987637362637362;0.5987637362637362
BR16;D04;1380;405;0.3621336996336996;0.3621336996336996
BR16;D04;1380;1370;0.9350274725274725;0.9350274725274725
BR16;D04;1380;1390;0.9517857142857142;0.9517857142857142
BR16;D04;405;1370;0.34697802197802197;0.34697802197802197
BR16;D04;405;1390;0.30512820512820515;0.30512820512820515
BR16;D04;1370;1390;0.8256410256410256;0.8256410256410256
BR16;D05;1838;741;-0.6152472527472528;0.6152472527472528
BR16;D05;1838;1538;0.8091117216117216;0.8091117216117216
BR16;D05;1838;1548;0.8002747252747253;0.8002747252747253
BR16;D05;1838;1528;0.814514652014652;0.814514652014652
BR16;D05;741;1538;-0.8172619047619047;0.8172619047619047
BR16;D05;741;1548;-0.8038003663003663;0.8038003663003663
BR16;D05;741;1528;-0.8353937728937729;0.8353937728937729
BR16;D05;1538;1548;0.9972527472527473;0.9972527472527473
BR16;D05;1538;1528;0.9954212454212454;0.9954212454212454
BR16;D05;1548;1528;0.9896062271062271;0.9896062271062271
BR16;D06;1921;1931;0.9955128205128205;0.9955128205128205
BR16;D06;1921;1651;0.6488095238095238;0.6488095238095238
BR16;D06;1921;1641;0.6587912087912088;0.6587912087912088
BR16;D06;1921;1941;0.971474358974359;0.971474358974359
BR16;D06;1931;1651;0.6369505494505494;0.6369505494505494
BR16;D06;1931;1641;0.6511904761904762;0.6511904761904762
BR16;D06;1931;1941;0.9862179487179488;0.9862179487179488
BR16;D06;1651;1641;0.992445054945055;0.992445054945055
BR16;D06;1651;1941;0.6017857142857143;0.6017857142857143
BR16;D06;1641;1941;0.6263736263736264;0.6263736263736264
BR16;D09;1943;1953;0.988507326007326;0.988507326007326
BR16;D09;1943;1933;0.9894688644688645;0.9894688644688645
BR16;D09;1943;1963;0.9711538461538461;0.9711538461538461
BR16;D09;1943;2263;0.11378205128205128;0.11378205128205128
BR16;D09;1953;1933;0.9667582417582418;0.9667582417582418
BR16;D09;1953;1963;0.9907051282051282;0.9907051282051282
BR16;D09;1953;2263;0.16112637362637364;0.16112637362637364
BR16;D09;1933;1963;0.9494047619047619;0.9494047619047619
BR16;D09;1933;2263;0.1016941391941392;0.1016941391941392
BR16;D09;1963;2263;0.24661172161172162;0.24661172161172162
BR16;D10;1943;1953;0.9554029304029305;0.9554029304029305
BR16;D10;1943;1933;0.9282051282051282;0.9282051282051282
BR16;D10;1943;1963;0.8487179487179487;0.8487179487179487
BR16;D10;1943;1923;0.8796703296703297;0.8796703296703297
BR16;D10;1953;1933;0.8175824175824176;0.8175824175824176
BR16;D10;1953;1963;0.9352106227106227;0.9352106227106227
BR16;D10;1953;1923;0.7721153846153846;0.7721153846153846
BR16;D10;1933;1963;0.6720695970695971;0.6720695970695971
BR16;D10;1933;1923;0.9779761904761904;0.9779761904761904
BR16;D10;1963;1923;0.6250915750915751;0.6250915750915751
CD202;D02;1355;1365;0.890934065934066;0.890934065934066
CD202;D02;1355;1345;0.9076923076923077;0.9076923076923077
CD202;D02;1355;1375;0.6557234432234432;0.6557234432234432
CD202;D02;1355;1935;-0.7480311355311355;0.7480311355311355
CD202;D02;1365;1345;0.6582417582417582;0.6582417582417582
CD202;D02;1365;1375;0.9144230769230769;0.9144230769230769
CD202;D02;1365;1935;-0.6630494505494505;0.6630494505494505
CD202;D02;1345;1375;0.33296703296703295;0.33296703296703295
CD202;D02;1345;1935;-0.6969322344322344;0.6969322344322344
CD202;D02;1375;1935;-0.4615842490842491;0.4615842490842491
CD202;D03;1926;1936;0.9932692307692308;0.9932692307692308
CD202;D03;1926;1916;0.9969322344322344;0.9969322344322344
CD202;D03;1926;1946;0.9753205128205128;0.9753205128205128
CD202;D03;1926;1836;0.15764652014652014;0.15764652014652014
CD202;D03;1936;1916;0.9898809523809524;0.9898809523809524
CD202;D03;1936;1946;0.9886904761904762;0.9886904761904762
CD202;D03;1936;1836;0.22275641025641027;0.22275641025641027
CD202;D03;1916;1946;0.9727106227106227;0.9727106227106227
CD202;D03;1916;1836;0.1586996336996337;0.1586996336996337
CD202;D03;1946;1836;0.3162087912087912;0.3162087912087912
CD202;D04;1378;1928;-0.33264652014652013;0.33264652014652013
CD202;D04;1378;1938;-0.2943681318681319;0.2943681318681319
CD202;D04;1378;1388;0.8591117216117216;0.8591117216117216
CD202;D04;1378;1368;0.892445054945055;0.892445054945055
CD202;D04;1928;1938;0.9940476190476191;0.9940476190476191
CD202;D04;1928;1388;-0.0804945054945055;0.0804945054945055
CD202;D04;1928;1368;-0.5752289377289377;0.5752289377289377
CD202;D04;1938;1388;-0.028754578754578753;0.028754578754578753
CD202;D04;1938;1368;-0.552930402930403;0.552930402930403
CD202;D04;1388;1368;0.6366300366300366;0.6366300366300366
CD202;D05;1930;1920;0.9985347985347985;0.9985347985347985
CD202;D05;1930;1360;-0.22454212454212455;0.22454212454212455
CD202;D05;1930;1940;0.9978479853479854;0.9978479853479854
CD202;D05;1930;1950;0.9685897435897436;0.9685897435897436
CD202;D05;1920;1360;-0.22225274725274724;0.22225274725274724
CD202;D05;1920;1940;0.9960622710622711;0.9960622710622711
CD202;D05;1920;1950;0.9627747252747253;0.9627747252747253
CD202;D05;1360;1940;-0.21570512820512822;0.21570512820512822
CD202;D05;1360;1950;-0.1819139194139194;0.1819139194139194
CD202;D05;1940;1950;0.9735805860805861;0.9735805860805861
CD202;D06;1922;1932;0.9972069597069597;0.9972069597069597
CD202;D06;1922;1912;0.9938186813186813;0.9938186813186813
CD202;D06;1922;1942;0.9799450549450549;0.9799450549450549
CD202;D06;1922;1952;0.9602106227106227;0.9602106227106227
CD202;D06;1932;1912;0.9957875457875458;0.9957875457875458
CD202;D06;1932;1942;0.9885989010989011;0.9885989010989011
CD202;D06;1932;1952;0.9702838827838828;0.9702838827838828
CD202;D06;1912;1942;0.989423076923077;0.989423076923077
CD202;D06;1912;1952;0.9743589743589743;0.9743589743589743
CD202;D06;1942;1952;0.990430402930403;0.990430402930403
CD202;D09;1997;2007;0.9959537351605146;0.9959537351605146
CD202;D09;1997;1470;0.9301446730541665;0.9301446730541665
CD202;D09;1997;1987;0.9955338397526434;0.9955338397526434
CD202;D09;1997;1480;0.9214032141084857;0.9214032141084857
CD202;D09;2007;1470;0.9485818986906898;0.9485818986906898
CD202;D09;2007;1987;0.9867923808069626;0.9867923808069626
CD202;D09;2007;1480;0.9420162614039775;0.9420162614039775
CD202;D09;1470;1987;0.9030423330915753;0.9030423330915753
