genotipo;banda_nm;estatistica_u;p_valor;q_fdr;significativa_fdr
BR16;1953;45008.0;6.982813657610949e-48;1.1298796976404312e-46;True
BR16;1951;44991.0;8.369479241780972e-48;1.1298796976404312e-46;True
BR16;1963;44765.0;9.166370146325798e-47;8.249733131693218e-46;True
BR16;1943;44694.0;1.9334729713342937e-46;1.3050942556506483e-45;True
BR16;1941;44554.0;8.357731038463334e-46;4.5131747607702003e-45;True
BR16;405;5677.0;1.4811972727211447e-45;6.66538772724515e-45;True
BR16;1933;43626.0;1.0522952590368103e-41;4.058853141999125e-41;True
BR16;1931;43357.0;1.4913235589774864e-40;5.033217011549016e-40;True
BR16;1923;42385.0;1.5682152458746276e-36;4.704645737623883e-36;True
BR16;1921;42179.0;1.0468083731057964e-35;2.82638260738565e-35;True
BR16;1528;41157.0;9.245407946526906e-32;2.2693274050566044e-31;True
BR16;1538;41135.0;1.1174597028070403e-31;2.5142843313158406e-31;True
BR16;1548;40918.0;7.1467719136833885e-31;1.484329551303473e-30;True
BR16;1351;9391.0;2.201352472591343e-30;4.2454654828547326e-30;True
BR16;1361;11597.0;7.152524916635358e-23;1.2874544849943644e-22;True
BR16;741;13082.0;1.91938650333215e-18;3.238964724373003e-18;True
BR16;1370;14943.0;1.324198773816709e-13;2.1031392290030083e-13;True
BR16;1641;33389.0;1.3789109601919498e-09;2.068366440287925e-09;True
BR16;1651;32413.0;9.011215210499435e-08;1.280541108860446e-07;True
BR16;2263;30483.0;8.249035469228062e-05;0.00011136197883457883;True
BR16;1379;20810.0;0.00179729801113354;0.0023108117286002655;True
BR16;714;28761.0;0.007355914516688557;0.009027713270481411;True
BR16;1380;21602.0;0.010965098451261332;0.012872072094958954;True
BR16;711;28116.0;0.027136496211113453;0.030528558237502636;True
BR16;1838;27912.0;0.03933508723646955;0.04248189421538712;True
BR16;1835;27794.0;0.04831983859905789;0.05017829392979089;False
BR16;1390;27365.0;0.09662324670002154;0.09662324670002154;False
