genotipo;posicao;banda_nm;vip;p_valor;q_fdr
BR16;1;1963;1.263961990367389;9.166370146325798e-47;8.249733131693218e-46
BR16;2;1953;1.2620290626877275;6.982813657610949e-48;1.1298796976404312e-46
BR16;3;1951;1.2592310314129644;8.369479241780972e-48;1.1298796976404312e-46
BR16;4;405;1.2437393733193494;1.4811972727211447e-45;6.66538772724515e-45
BR16;5;1943;1.2394649090737626;1.9334729713342937e-46;1.3050942556506483e-45
CD202;1;1480;1.2105645211820315;9.59158642896481e-50;3.730061389041871e-49
CD202;2;2007;1.2032069872199451;2.793025512687078e-57;3.258529764801591e-56
CD202;3;1997;1.2028202245405912;7.542890775601521e-59;1.320005885730266e-57
CD202;4;1987;1.2017479847684231;8.747021584873783e-61;3.061457554705824e-59
CD202;5;1470;1.1772736218960074;1.2106941800712177e-47;3.5311913585410513e-47
EMB48;1;1943;1.2534334001565228;2.703509177951208e-51;8.380878451648744e-50
EMB48;2;1939;1.2532002042145833;6.601857302743274e-51;9.260202611564238e-50
EMB48;3;1938;1.2524026277622438;9.080685661634736e-51;9.260202611564238e-50
EMB48;4;1948;1.2469405596783287;1.194864853105063e-50;9.260202611564238e-50
EMB48;5;1933;1.2434308780871843;1.0495876201989224e-49;6.507443245233318e-49
