genotipo;posicao;banda_nm;vip;p_valor;q_fdr
EMB48;1;1943;1.2534334001565228;2.703509177951208e-51;8.380878451648744e-50
EMB48;2;1939;1.2532002042145833;6.601857302743274e-51;9.260202611564238e-50
EMB48;3;1938;1.2524026277622438;9.080685661634736e-51;9.260202611564238e-50
EMB48;4;1948;1.2469405596783287;1.194864853105063e-50;9.260202611564238e-50
EMB48;5;1933;1.2434308780871843;1.0495876201989224e-49;6.507443245233318e-49
EMB48;6;1953;1.232986719955058;2.0126203957583767e-49;1.039853871141828e-48
EMB48;7;1929;1.2307415360938592;2.6695875825317592e-48;1.182245929406922e-47
EMB48;8;1928;1.2269464579923348;7.85128720371476e-48;3.0423737914394693e-47
EMB48;9;405;1.2134541999606723;2.86890090563353e-47;8.893592807463943e-47
EMB48;10;1958;1.213360082242116;9.611947854495433e-48;3.310782038770649e-47
EMB48;11;1963;1.1903439663117426;2.5938287127478532e-45;7.30988091774395e-45
EMB48;12;1919;1.1837034533231403;8.877189013276624e-44;2.293273828429795e-43
EMB48;13;1918;1.1779720316893314;2.5514197759429177e-43;6.084154850325419e-43
EMB48;14;415;1.1558188055284653;2.8534710738101656e-42;6.318400234865367e-42
EMB48;15;715;1.0161941487307804;2.64542499220162e-25;4.8240102798970725e-25
EMB48;16;712;1.0062113588502868;2.4361048950331834e-24;3.974697460317299e-24
EMB48;17;711;0.9953564625884779;2.1282795955204636e-23;3.2988333730567186e-23
EMB48;18;1355;0.9752532834488653;6.127571222781499e-30;1.266364719374843e-29
EMB48;19;721;0.9378283793648701;9.311348237107861e-21;1.3120536152288349e-20
EMB48;20;1369;0.9307894537068361;5.478823837182964e-28;1.0615221184541993e-27
EMB48;21;722;0.9110214503911327;3.1702397701231494e-19;4.272931864079027e-19
EMB48;22;1372;0.874573953030111;8.042858955970899e-25;1.3851590424172104e-24
EMB48;23;1345;0.8339001961934841;4.377514422393372e-21;6.46204509972355e-21
EMB48;24;1376;0.7673532215955707;2.4082783319655967e-17;3.110692845455562e-17
EMB48;25;702;0.6747106076198324;4.4530709489834865e-08;5.112785163647707e-08
EMB48;26;1381;0.5967947769011421;9.005150247481931e-09;1.0736909910459226e-08
EMB48;27;749;0.5691040152916097;2.0328881783991517e-09;2.5207813412149482e-09
EMB48;28;731;0.47743059955828243;9.539499378059123e-05;0.00010561588597136886
EMB48;29;739;0.3179603309371219;0.01746928627625609;0.01805159581879796
EMB48;30;1719;0.22218885024824359;0.01639357724592231;0.01752416878012385
EMB48;31;1709;0.19130944427598015;0.024329941171767323;0.024329941171767323
