dia;banda_nm;p_valor;q_fdr;epsilon2;delta_cliff;significativa;grupo_spearman;vip_pls_da;vip_acima_de_1;abs_delta_cliff
D04;713;3.757708175153691e-09;5.958922853194248e-07;0.5442802031637718;0.857421875;True;31;1.94985264467984;True;0.857421875
D04;1379;5.630269350745034e-09;5.958922853194248e-07;0.5315873138957816;-0.84765625;True;98;1.9384989143927525;True;0.84765625
D04;1374;1.993662014812841e-08;1.168285940680325e-06;0.4919471153846154;-0.81640625;True;97;1.9226755655070735;True;0.81640625
D04;404;4.294830837146e-08;1.7976934789768255e-06;0.4679280397022333;-0.796875;True;0;1.9148816791012528;True;0.796875
D04;1388;8.398993224157852e-09;6.625513501056829e-07;0.5190398185483871;-0.837890625;True;99;1.8888971555514504;True;0.837890625
D04;410;3.41788294665876e-08;1.7748720338076563e-06;0.4750726969602978;-0.802734375;True;1;1.8816087202934206;True;0.802734375
D04;721;1.7063912624987695e-08;1.0293554351132285e-06;0.4968207196029777;0.8203125;True;32;1.8668337093113967;True;0.8203125
D04;1362;5.3882783467854844e-08;2.085162054576798e-06;0.4608357242555831;-0.791015625;True;96;1.8532035722922082;True;0.791015625
D04;1396;7.836135331371368e-08;2.3987930693496526e-06;0.4491315136476427;-0.78125;True;100;1.81686855505038;True;0.78125
D04;423;1.3140797886582737e-07;2.867210262274595e-06;0.4329898805831266;-0.767578125;True;2;1.7821687510972968;True;0.767578125
D04;1951;5.668857326169108e-06;7.046561439983541e-05;0.3160786290322581;0.66015625;True;156;1.760320237786012;True;0.66015625
D04;1941;3.3876888488163136e-06;4.6014237277630856e-05;0.3319905397022332;0.67578125;True;155;1.7587163330821671;True;0.67578125
D04;1938;3.3876888488163136e-06;4.6014237277630856e-05;0.3319905397022332;0.67578125;True;154;1.754020980599735;True;0.67578125
D04;703;8.398993224157852e-09;6.625513501056829e-07;0.5190398185483871;0.837890625;True;30;1.7468020097246013;True;0.837890625
D04;1353;1.635704831930318e-07;3.0778262479716357e-06;0.4261592741935484;-0.76171875;True;95;1.7351163350013759;True;0.76171875
D04;430;1.4138133590253876e-07;2.899731199361069e-06;0.4307071960297767;-0.765625;True;3;1.723051852639377;True;0.765625
D04;1408;1.054034701684782e-07;2.736487560956313e-06;0.4398728287841191;-0.7734375;True;101;1.720020442323694;True;0.7734375
D04;1964;1.7336796639612595e-05;0.0001693227138468;0.2816377171215881;0.625;True;157;1.7145206254730732;True;0.625
D04;1926;1.7336796639612595e-05;0.0001693227138468;0.2816377171215881;0.625;True;153;1.704107225179953;True;0.625
D04;1415;4.773932691857704e-07;7.531796885384732e-06;0.3927913694168735;-0.732421875;True;102;1.6354319777588355;True;0.732421875
D04;1976;1.7336796639612595e-05;0.0001693227138468;0.2816377171215881;0.625;True;158;1.6344171783676018;True;0.625
D04;441;7.247186020243136e-07;1.109252128919304e-05;0.3798106001861042;-0.720703125;True;4;1.6213663920492183;True;0.720703125
D04;1915;1.841730119528616e-05;0.0001732747006951;0.2797795828163772;0.623046875;True;152;1.5902606994609807;True;0.623046875
D04;1981;6.299759613993148e-05;0.0004715622981131;0.2421022022332506;0.58203125;True;159;1.5839242963610298;True;0.58203125
D04;450;9.98335414643639e-06;0.0001190456939205;0.2986226349255583;-0.642578125;True;5;1.5272118332906863;True;0.642578125
D04;729;4.733145720561525e-05;0.0003622269355549;0.2508403768610422;0.591796875;True;33;1.5241640160818142;True;0.591796875
D04;1865;3.5408484053770364e-05;0.0002803969142636;0.2597239454094293;-0.6015625;True;147;1.516727046747126;True;0.6015625
D04;1858;2.2057048175485678e-05;0.0001916907025759;0.2742400744416873;-0.6171875;True;146;1.5149224419848741;True;0.6171875
D04;1910;7.054576857787515e-05;0.0005185998973233;0.2386476426799007;0.578125;True;151;1.49035035739727;True;0.578125
D04;1845;1.7336796639612595e-05;0.0001693227138468;0.2816377171215881;-0.625;True;145;1.473345560693495;True;0.625
D04;1991;0.0003200858539415;0.0020515502701066;0.1927264267990074;0.5234375;True;160;1.4642480687313602;True;0.5234375
D04;1843;1.535428098057167e-05;0.0001693227138468;0.2853714330024814;-0.62890625;True;144;1.4636125930019486;True;0.62890625
D04;1344;0.00055897201678;0.003412058352428;0.1759334289702233;-0.501953125;True;94;1.4429987096200745;True;0.501953125
D04;1425;5.6218390005819214e-05;0.0004239114628747;0.2455800248138958;-0.5859375;True;103;1.434570137867068;True;0.5859375
D04;460;9.865565189658762e-05;0.0007025789654163;0.2284235421836228;-0.56640625;True;6;1.4066796526955108;True;0.56640625
D04;1834;5.3093774621496885e-05;0.0004018277924305;0.2473276597394541;-0.587890625;True;143;1.4011461721207896;True;0.587890625
D04;1878;0.000104264461287;0.0007399529761238;0.2267398805831265;-0.564453125;True;148;1.3987792836964734;True;0.564453125
D04;2001;0.0018388274453319;0.01062376081796;0.1403846153846153;0.453125;True;161;1.3383085898957163;True;0.453125
D04;698;7.463328261592615e-05;0.000542811569664;0.2369290865384615;0.576171875;True;29;1.2960748170227376;True;0.576171875
D04;470;0.0016028854871773;0.0093929089548594;0.1444585530397022;-0.458984375;True;7;1.2770351217455977;True;0.458984375
D04;2014;0.0038913442582605;0.0203082622740266;0.1182876473325062;0.419921875;True;162;1.1866432101183368;True;0.419921875
D04;1820;0.0038913442582605;0.0203082622740266;0.1182876473325062;-0.419921875;True;142;1.1762214997361329;True;0.419921875
D04;480;0.0032763360815549;0.0177771568869554;0.1233357242555831;-0.427734375;True;8;1.1651610281124305;True;0.427734375
D04;1435;0.0050117874606931;0.0230474800042191;0.1108900046526054;-0.408203125;True;104;1.146626150100839;True;0.408203125
D04;1814;0.0044194868571412;0.0216333354271999;0.1145626550868486;-0.4140625;True;141;1.1349545774299432;True;0.4140625
D04;1885;0.0009562915090964;0.0057016101312701;0.1598441377171216;-0.48046875;True;149;1.1330576984153033;True;0.48046875
D04;2024;0.0038913442582605;0.0203082622740266;0.1182876473325062;0.419921875;True;163;1.1101134881872519;True;0.419921875
D04;2031;0.0075399834195881;0.0294002015086983;0.0990258607320099;0.388671875;True;164;1.0691318205284677;True;0.388671875
D04;756;0.0050117874606931;0.0230474800042191;0.1108900046526054;-0.408203125;True;36;1.0638891975881013;True;0.408203125
D04;2450;0.0025185015985192;0.0142298809326803;0.1310823123449131;0.439453125;True;205;1.0628417633043088;True;0.439453125
D04;765;0.0064162910244277;0.0264784967627791;0.1037017292183622;-0.396484375;True;37;1.0405258162228221;True;0.396484375
D04;1800;0.0069577871797186;0.0278719170031308;0.1013521634615384;-0.392578125;True;140;1.0373352039456265;True;0.392578125
D04;490;0.0111573361887434;0.0391174299540388;0.0877432924937965;-0.369140625;True;9;1.0364726629632304;True;0.369140625
