posicao;banda_nm;importancia_permutacao_media;importancia_permutacao_dp;importancia_gini;p_valor;q_fdr;epsilon2;delta_cliff;significativa;abs_delta_cliff
1;1956;0.020833333333333332;0.036084391824351615;0.05322112815599965;1.535428098057167e-05;0.0001693227138468;0.2853714330024814;0.62890625;True;0.62890625
2;1966;0.020833333333333332;0.036084391824351615;0.017800605800605798;2.0773766351563425e-05;0.0001836508395993;0.2760807614764268;0.619140625;True;0.619140625
3;1906;0.020833333333333332;0.036084391824351615;0.013257790591123924;0.0002106459968163;0.0014072799331278;0.2053815136476427;0.5390625;True;0.5390625
4;1976;0.020833333333333332;0.036084391824351615;0.007648718746757963;1.7336796639612595e-05;0.0001693227138468;0.2816377171215881;0.625;True;0.625
5;475;0.020833333333333332;0.036084391824351615;0.0;0.0026324803420657;0.0147519595125053;0.1297766749379652;-0.4375;True;0.4375
6;714;0.015625;0.017274087449767706;0.04698439543966882;5.194701821703936e-09;5.958922853194248e-07;0.534114260235732;0.849609375;True;0.849609375
7;555;0.015625;0.027063293868263706;0.005252713636774358;0.0059130127486484;0.0251088802225215;0.1060745580024814;0.400390625;True;0.400390625
8;1380;0.010416666666666666;0.018042195912175808;0.040271748557010406;5.630269350745034e-09;5.958922853194248e-07;0.5315873138957816;-0.84765625;True;0.84765625
9;405;0.010416666666666666;0.018042195912175808;0.02141827711886635;3.980697881772413e-08;1.7748720338076563e-06;0.4703037763647643;-0.798828125;True;0.798828125
10;425;0.010416666666666666;0.018042195912175808;0.015395840754392185;1.8910981941499538e-07;3.3727325184361342e-06;0.4216346153846154;-0.7578125;True;0.7578125
