fold;bloco;condicao_real;classe_real_nirrig;classe_predita_nirrig;probabilidade_nirrig
1;B4;IRRIG;0;0;0.06
1;B4;IRRIG;0;0;0.07
1;B4;IRRIG;0;0;0.07
1;B4;IRRIG;0;0;0.06
1;B4;IRRIG;0;0;0.3
1;B4;IRRIG;0;0;0.28
1;B4;IRRIG;0;0;0.27
1;B4;IRRIG;0;0;0.26
1;B4;NIRRIG;1;1;0.89
1;B4;NIRRIG;1;1;0.89
1;B4;NIRRIG;1;1;0.9
1;B4;NIRRIG;1;1;0.86
1;B4;NIRRIG;1;1;0.83
1;B4;NIRRIG;1;1;0.87
1;B4;NIRRIG;1;1;0.87
1;B4;NIRRIG;1;1;0.89
2;B3;IRRIG;0;0;0.49
2;B3;IRRIG;0;0;0.49
2;B3;IRRIG;0;0;0.49
2;B3;IRRIG;0;0;0.48
2;B3;IRRIG;0;0;0.17
2;B3;IRRIG;0;0;0.17
2;B3;IRRIG;0;0;0.15
2;B3;IRRIG;0;0;0.2
2;B3;NIRRIG;1;1;0.84
2;B3;NIRRIG;1;1;0.83
2;B3;NIRRIG;1;1;0.85
2;B3;NIRRIG;1;1;0.85
2;B3;NIRRIG;1;1;0.54
2;B3;NIRRIG;1;1;0.54
2;B3;NIRRIG;1;1;0.55
2;B3;NIRRIG;1;1;0.54
3;B2;IRRIG;0;0;0.01
3;B2;IRRIG;0;0;0.0
3;B2;IRRIG;0;0;0.0
3;B2;IRRIG;0;0;0.04
3;B2;IRRIG;0;1;0.89
3;B2;IRRIG;0;1;0.89
3;B2;IRRIG;0;1;0.88
3;B2;IRRIG;0;1;0.89
3;B2;NIRRIG;1;1;1.0
3;B2;NIRRIG;1;1;1.0
3;B2;NIRRIG;1;1;0.99
3;B2;NIRRIG;1;1;0.99
3;B2;NIRRIG;1;1;0.64
3;B2;NIRRIG;1;1;0.62
3;B2;NIRRIG;1;1;0.61
3;B2;NIRRIG;1;0;0.45
4;B1;IRRIG;0;0;0.37
4;B1;IRRIG;0;0;0.36
4;B1;IRRIG;0;0;0.35
4;B1;IRRIG;0;0;0.36
4;B1;IRRIG;0;1;0.86
4;B1;IRRIG;0;1;0.86
4;B1;IRRIG;0;1;0.89
4;B1;IRRIG;0;1;0.88
4;B1;NIRRIG;1;1;0.59
4;B1;NIRRIG;1;1;0.66
4;B1;NIRRIG;1;1;0.59
4;B1;NIRRIG;1;1;0.58
4;B1;NIRRIG;1;0;0.48
4;B1;NIRRIG;1;0;0.48
4;B1;NIRRIG;1;0;0.48
4;B1;NIRRIG;1;0;0.48
