dia;posicao_dia;posicao;banda_nm;importancia_permutacao_media;importancia_permutacao_dp;importancia_gini;p_valor;q_fdr;epsilon2;delta_cliff;significativa;abs_delta_cliff
D02;1;1;1941;0.0208333333333333;0.0360843918243516;0.0770894957747679;7.836135331371369e-08;1.1479938260459052e-05;0.4491315136476427;0.78125;True;0.78125
D02;2;2;1951;0.0208333333333333;0.0360843918243516;0.066392435553693;2.5144297021468853e-08;6.962397561374763e-06;0.4846803272332506;0.810546875;True;0.810546875
D02;3;3;1921;0.0208333333333333;0.0360843918243516;0.0614706122385013;8.348951637883459e-05;0.0032308867564715;0.2335094215260546;0.572265625;True;0.572265625
D02;4;4;1931;0.0208333333333333;0.0360843918243516;0.0435540345449224;2.7985078347434786e-05;0.0014717280946304;0.2669354838709677;0.609375;True;0.609375
D02;5;5;1961;0.0;0.0;0.0603610392206535;7.247186020243136e-07;6.125086496367872e-05;0.3798106001861042;0.720703125;True;0.720703125
D03;1;1;1948;0.0208333333333333;0.0360843918243516;0.0236336040533245;5.527544589706613e-10;4.0927776005372795e-09;0.6045401674937965;0.90234375;True;0.90234375
D03;2;2;1341;0.0;0.0;0.0514824935904406;7.407299726217156e-11;3.412504748200997e-09;0.6678766671836229;-0.947265625;True;0.947265625
D03;3;3;2008;0.0;0.0;0.0474338313157634;4.658418529041903e-10;3.776449171171914e-09;0.609925558312655;0.90625;True;0.90625
D03;4;4;751;0.0;0.0;0.0452860538524427;1.1832237171156026e-09;7.034179257403192e-09;0.5805937887717122;-0.884765625;True;0.884765625
D03;5;5;2028;0.0;0.0;0.0402301354222632;4.658418529041903e-10;3.776449171171914e-09;0.609925558312655;0.90625;True;0.90625
D04;1;1;1956;0.0208333333333333;0.0360843918243516;0.0532211281559996;1.535428098057167e-05;0.0001693227138468;0.2853714330024814;0.62890625;True;0.62890625
D04;2;2;1966;0.0208333333333333;0.0360843918243516;0.0178006058006057;2.0773766351563425e-05;0.0001836508395993;0.2760807614764268;0.619140625;True;0.619140625
D04;3;3;1906;0.0208333333333333;0.0360843918243516;0.0132577905911239;0.0002106459968163;0.0014072799331278;0.2053815136476427;0.5390625;True;0.5390625
D04;4;4;1976;0.0208333333333333;0.0360843918243516;0.0076487187467579;1.7336796639612595e-05;0.0001693227138468;0.2816377171215881;0.625;True;0.625
D04;5;5;475;0.0208333333333333;0.0360843918243516;0.0;0.0026324803420657;0.0147519595125053;0.1297766749379652;-0.4375;True;0.4375
D05;1;1;1458;0.0;0.0;0.05;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;1.0;True;1.0
D05;2;2;821;0.0;0.0;0.04;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
D05;3;3;1121;0.0;0.0;0.04;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
D05;4;4;515;0.0;0.0;0.03;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
D05;5;5;605;0.0;0.0;0.03;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
D06;1;1;1611;0.0104166666666666;0.0180421959121758;0.0;9.041260826253434e-12;1.4612786410280373e-11;0.7342897022332507;0.9921875;True;0.9921875
D06;2;2;1621;0.0104166666666666;0.0180421959121758;0.0;1.4396425455681949e-11;2.0113806954770888e-11;0.7195903768610422;0.982421875;True;0.982421875
D06;3;3;828;0.0;0.0;0.04;6.211923275036763e-12;1.1667266151190843e-11;0.7461538461538462;-1.0;True;1.0
D06;4;4;1098;0.0;0.0;0.03;6.211923275036763e-12;1.1667266151190843e-11;0.7461538461538462;-1.0;True;1.0
D06;5;5;1128;0.0;0.0;0.03;6.211923275036763e-12;1.1667266151190843e-11;0.7461538461538462;-1.0;True;1.0
D09;1;1;2033;0.0364583333333333;0.0631476856926153;0.0140106214588973;6.749464436755784e-08;6.853045326626787e-07;0.4537957506203474;0.78515625;True;0.78515625
D09;2;2;2083;0.0364583333333333;0.0631476856926153;0.0108900294992483;3.148956441844384e-05;0.0001268862409081;0.2633180831265508;0.60546875;True;0.60546875
D09;3;3;2053;0.0364583333333333;0.0631476856926153;0.0029072508768903;5.49047958631088e-07;3.830263139974018e-06;0.3884411833126551;0.728515625;True;0.728515625
D09;4;4;2043;0.0364583333333333;0.0631476856926153;0.0;1.635704831930318e-07;1.4155403418941275e-06;0.4261592741935484;0.76171875;True;0.76171875
D09;5;5;2073;0.0260416666666666;0.0451054897804395;0.0051631686887853;1.0622076677453249e-05;4.940108676974288e-05;0.296712158808933;0.640625;True;0.640625
D10;1;2;1943;0.0416666666666666;0.0721687836487032;0.0187111580271335;0.000137117000352;0.0057568326799681;0.2184088089330025;0.5546875;True;0.5546875
D10;2;1;1783;0.0416666666666666;0.0607390822379718;0.0053075010486376;0.0013951013683914;0.0070303511217958;0.1485848325062034;-0.46484375;True;0.46484375
D10;3;3;1743;0.0364583333333333;0.0631476856926153;0.0064453016065919;0.0013315590671429;0.0070303511217958;0.1499718905086849;-0.466796875;True;0.466796875
D10;4;5;1733;0.03125;0.0666992108065921;0.0166480363453873;0.0006172382545422;0.0061753934637368;0.1729557614764268;-0.498046875;True;0.498046875
D10;5;6;1823;0.0260416666666666;0.0577632109708823;0.0310168143870482;0.0003370135191116;0.0057568326799681;0.1911707118486352;-0.521484375;True;0.521484375
