dia;banda_nm;p_valor;q_fdr;epsilon2;delta_cliff;significativa;grupo_spearman;vip_pls_da;vip_acima_de_1;abs_delta_cliff
D02;1360;0.0038913442582605;0.0047563450975521;0.1182876473325062;-0.419921875;True;96;1.810833299405502;True;0.419921875
D02;719;0.012990724604256;0.0135800082381902;0.0833931063895781;-0.361328125;True;31;1.807852219514899;True;0.361328125
D02;1929;0.0032763360815549;0.0041225554007786;0.1233357242555831;0.427734375;True;152;1.7965172430498009;True;0.427734375
D02;1919;0.0140036728836619;0.0146239985154738;0.0812529078784119;0.357421875;True;151;1.7766154625437334;True;0.357421875
D02;1370;0.3336664850829682;0.3354656671103763;0.0;-0.140625;False;97;1.7680588832810644;True;0.140625
D02;1350;3.3876888488163136e-06;6.811911596982607e-05;0.3319905397022332;-0.67578125;True;95;1.7142594808542795;True;0.67578125
D02;1939;0.0002341133989498;0.0010151513345583;0.2021828473945409;0.53515625;True;153;1.6821237647639309;True;0.53515625
D02;1835;0.0032763360815549;0.0041225554007786;0.1233357242555831;0.427734375;True;143;1.6664399525785825;True;0.427734375
D02;729;0.0015306530642673;0.0026901194814159;0.1458281637717121;-0.4609375;True;32;1.5764657190855755;True;0.4609375
D02;1342;1.0213278480687963e-06;2.9924905948415733e-05;0.3691532258064516;-0.7109375;True;94;1.555992553641931;True;0.7109375
D02;1848;0.0048068218736867;0.0057218756023978;0.112108405707196;0.41015625;True;144;1.5062101098130485;True;0.41015625
D02;1630;6.040954014140668e-06;9.49710209636566e-05;0.3141158111042184;0.658203125;True;123;1.491448336368351;True;0.658203125
D02;1640;1.535428098057167e-05;0.0001485454259016;0.2853714330024814;0.62890625;True;124;1.488980995434963;True;0.62890625
D02;1339;1.3396772779209852e-06;3.615365917126238e-05;0.3607320099255583;-0.703125;True;93;1.4861704004747656;True;0.703125
D02;1620;8.317536794035641e-07;2.546159397696582e-05;0.3755302031637717;0.716796875;True;122;1.486010396287498;True;0.716796875
D02;1949;6.856455979297887e-06;9.501750819959436e-05;0.3102076225186104;0.654296875;True;154;1.4767812642102447;True;0.654296875
D02;1610;2.184839772303521e-07;9.534268878711748e-06;0.4171332196029776;0.75390625;True;121;1.4583254418179232;True;0.75390625
D02;1650;7.054576857787515e-05;0.0004424751417529;0.2386476426799007;0.578125;True;125;1.446981743236321;True;0.578125
D02;1853;0.0038913442582605;0.0047563450975521;0.1182876473325062;0.419921875;True;145;1.4386066760992111;True;0.419921875
D02;1904;0.0007153100391853;0.0016941118826432;0.1685328784119107;0.4921875;True;150;1.4360832624228987;True;0.4921875
D02;1601;1.1346271195482785e-07;8.19899178129774e-06;0.4375726969602978;0.771484375;True;120;1.4137930956237144;True;0.771484375
D02;1389;0.1508017011713427;0.152286700690509;0.0171632676799007;0.208984375;False;98;1.4064004121165985;True;0.208984375
D02;733;0.0014614294827344;0.0026549086528683;0.1472035902605459;-0.462890625;True;33;1.4012343265004867;True;0.462890625
