posicao;banda_nm;importancia_permutacao_media;importancia_permutacao_dp;importancia_gini;p_valor;q_fdr;epsilon2;delta_cliff;significativa;abs_delta_cliff
1;1936;0.010416666666666666;0.018042195912175804;0.0823594470046083;6.211923275036763e-12;1.7452951557671782e-10;0.7461538461538462;1.0;True;1.0
2;1530;0.005208333333333333;0.009021097956087902;0.0;1.758925589356902e-07;5.281927355448032e-07;0.42389403691067;0.759765625;True;0.759765625
3;1986;0.0;0.0;0.07175824175824176;6.211923275036763e-12;1.7452951557671782e-10;0.7461538461538462;1.0;True;1.0
4;1966;0.0;0.0;0.062208038640676214;6.211923275036763e-12;1.7452951557671782e-10;0.7461538461538462;1.0;True;1.0
5;1956;0.0;0.0;0.06172043010752688;6.211923275036763e-12;1.7452951557671782e-10;0.7461538461538462;1.0;True;1.0
6;1976;0.0;0.0;0.06;6.211923275036763e-12;1.7452951557671782e-10;0.7461538461538462;1.0;True;1.0
7;1896;0.0;0.0;0.043395851658124505;1.7319186503576942e-11;3.8610490781343816e-10;0.7137513570099256;0.978515625;True;0.978515625
8;1946;0.0;0.0;0.04;6.211923275036763e-12;1.7452951557671782e-10;0.7461538461538462;1.0;True;1.0
9;2006;0.0;0.0;0.03587449090814716;2.7407301401734218e-11;5.253493007005315e-10;0.6992555831265509;0.96875;True;0.96875
10;1926;0.0;0.0;0.02931933313223529;9.041260826253434e-12;2.3179532443307238e-10;0.7342897022332507;0.9921875;True;0.9921875
11;405;0.0;0.0;0.025936959492590964;6.192161239458065e-11;1.0325303009860562e-09;0.6735295828163772;-0.951171875;True;0.951171875
12;425;0.0;0.0;0.02311028877667596;6.554203169988431e-10;8.001589703360877e-09;0.5991780397022334;-0.8984375;True;0.8984375
13;827;0.0;0.0;0.021783966774892364;2.522444148665491e-07;5.819497130385739e-07;0.4126550868486353;-0.75;True;0.75
14;1906;0.0;0.0;0.021179723502304144;6.211923275036763e-12;1.7452951557671782e-10;0.7461538461538462;1.0;True;1.0
15;1916;0.0;0.0;0.021011590559977655;3.289005542750451e-11;6.022991400161761e-10;0.6934979838709678;0.96484375;True;0.96484375
16;797;0.0;0.0;0.020146187662794746;2.522444148665491e-07;5.819497130385739e-07;0.4126550868486353;-0.75;True;0.75
17;2016;0.0;0.0;0.019392789373814043;1.6445415191184615e-10;2.480113717435268e-09;0.6427264267990075;0.9296875;True;0.9296875
18;685;0.0;0.0;0.01707798974633469;2.327660767544184e-08;1.2972913679981308e-07;0.4870967741935484;-0.8125;True;0.8125
19;2086;0.0;0.0;0.016483698464723133;2.327660767544184e-08;1.2972913679981308e-07;0.4870967741935484;0.8125;True;0.8125
20;757;0.0;0.0;0.016131200867443754;2.184839772303521e-07;5.819497130385739e-07;0.4171332196029776;-0.75390625;True;0.75390625
21;1460;0.0;0.0;0.016095349820840016;1.1346271195482785e-07;4.382523958933181e-07;0.4375726969602978;0.771484375;True;0.771484375
22;2446;0.0;0.0;0.01607977207977208;1.3985490949055454e-09;1.4560528901783116e-08;0.5753363446029777;0.880859375;True;0.880859375
23;817;0.0;0.0;0.015545868449094256;2.522444148665491e-07;5.819497130385739e-07;0.4126550868486353;-0.75;True;0.75
24;857;0.0;0.0;0.015142314990512334;2.522444148665491e-07;5.819497130385739e-07;0.4126550868486353;-0.75;True;0.75
25;1540;0.0;0.0;0.011881942815176122;1.5208503355036298e-07;4.858666726040412e-07;0.4284303272332506;0.763671875;True;0.763671875
26;1510;0.0;0.0;0.010570409982174688;1.8910981941499538e-07;5.424674680002175e-07;0.4216346153846154;0.7578125;True;0.7578125
27;777;0.0;0.0;0.01;2.522444148665491e-07;5.819497130385739e-07;0.4126550868486353;-0.75;True;0.75
28;787;0.0;0.0;0.00893410946721643;2.522444148665491e-07;5.819497130385739e-07;0.4126550868486353;-0.75;True;0.75
29;1037;0.0;0.0;0.008877480896456227;9.539318491784306e-07;1.5096560360069144e-06;0.3712730691687345;-0.712890625;True;0.712890625
