fold;bloco;condicao_real;classe_real_nirrig;classe_predita_nirrig;probabilidade_nirrig
1;B4;IRRIG;0;0;0.03
1;B4;IRRIG;0;0;0.03
1;B4;IRRIG;0;0;0.03
1;B4;IRRIG;0;0;0.03
1;B4;IRRIG;0;0;0.29
1;B4;IRRIG;0;0;0.12
1;B4;IRRIG;0;0;0.08
1;B4;IRRIG;0;0;0.03
1;B4;NIRRIG;1;1;1.0
1;B4;NIRRIG;1;1;1.0
1;B4;NIRRIG;1;1;1.0
1;B4;NIRRIG;1;1;1.0
1;B4;NIRRIG;1;1;1.0
1;B4;NIRRIG;1;1;1.0
1;B4;NIRRIG;1;1;1.0
1;B4;NIRRIG;1;1;1.0
2;B3;IRRIG;0;0;0.0
2;B3;IRRIG;0;0;0.0
2;B3;IRRIG;0;0;0.0
2;B3;IRRIG;0;0;0.0
2;B3;IRRIG;0;1;0.82
2;B3;IRRIG;0;1;0.78
2;B3;IRRIG;0;1;0.75
2;B3;IRRIG;0;1;0.77
2;B3;NIRRIG;1;1;1.0
2;B3;NIRRIG;1;1;1.0
2;B3;NIRRIG;1;1;1.0
2;B3;NIRRIG;1;1;1.0
2;B3;NIRRIG;1;1;1.0
2;B3;NIRRIG;1;1;1.0
2;B3;NIRRIG;1;1;1.0
2;B3;NIRRIG;1;1;1.0
3;B2;IRRIG;0;0;0.01
3;B2;IRRIG;0;0;0.01
3;B2;IRRIG;0;0;0.02
3;B2;IRRIG;0;0;0.0
3;B2;IRRIG;0;0;0.0
3;B2;IRRIG;0;0;0.0
3;B2;IRRIG;0;0;0.0
3;B2;IRRIG;0;0;0.0
3;B2;NIRRIG;1;1;1.0
3;B2;NIRRIG;1;1;1.0
3;B2;NIRRIG;1;1;1.0
3;B2;NIRRIG;1;1;1.0
3;B2;NIRRIG;1;1;1.0
3;B2;NIRRIG;1;1;1.0
3;B2;NIRRIG;1;1;1.0
3;B2;NIRRIG;1;1;1.0
4;B1;IRRIG;0;0;0.0
4;B1;IRRIG;0;0;0.0
4;B1;IRRIG;0;0;0.0
4;B1;IRRIG;0;0;0.0
4;B1;IRRIG;0;0;0.0
4;B1;IRRIG;0;0;0.0
4;B1;IRRIG;0;0;0.0
4;B1;IRRIG;0;0;0.0
4;B1;NIRRIG;1;1;0.95
4;B1;NIRRIG;1;1;0.94
4;B1;NIRRIG;1;1;0.95
4;B1;NIRRIG;1;1;0.96
4;B1;NIRRIG;1;0;0.17
4;B1;NIRRIG;1;0;0.22
4;B1;NIRRIG;1;0;0.27
4;B1;NIRRIG;1;0;0.39
