posicao;banda_nm;importancia_permutacao_media;importancia_permutacao_dp;importancia_gini;p_valor;q_fdr;epsilon2;delta_cliff;significativa;abs_delta_cliff
1;1347;0.08333333333333334;0.08838834764831845;0.026391772507586828;1.1557460629092276e-10;2.3704351750268263e-09;0.6538461538461539;-0.9375;True;0.9375
2;405;0.057291666666666664;0.09923207751696694;0.030223423883591984;7.496890411186199e-12;1.0167393306209838e-09;0.7402101426799007;-0.99609375;True;0.99609375
3;720;0.052083333333333336;0.05983919423477113;0.04940705691190647;1.9497641198802688e-09;1.5033707555918913e-08;0.5648912453473945;0.873046875;True;0.873046875
4;435;0.052083333333333336;0.09021097956087903;0.03693466736603991;2.0820600627050864e-11;1.0167393306209838e-09;0.7079356001861042;-0.974609375;True;0.974609375
5;1357;0.052083333333333336;0.09021097956087903;0.009261101177067564;1.6518962475870402e-09;1.3606583147795257e-08;0.5701021634615385;-0.876953125;True;0.876953125
6;2446;0.046875;0.08118988160479113;0.06643959313421272;3.6020412458034424e-11;1.3432339263896106e-09;0.690627907878412;0.962890625;True;0.962890625
7;415;0.046875;0.08118988160479113;0.041613048220335666;9.926307224638545e-12;1.0167393306209838e-09;0.7313382056451614;-0.990234375;True;0.990234375
8;710;0.046875;0.05182226234930312;0.03353383131990942;4.419717681131232e-09;2.9527169263844163e-08;0.5391856001861043;0.853515625;True;0.853515625
9;485;0.046875;0.08118988160479113;0.01605822080860343;6.01955430736702e-10;6.60219566011217e-09;0.601856195719603;-0.900390625;True;0.900390625
10;1367;0.036458333333333336;0.06314768569261532;0.04177084366118784;1.054034701684782e-07;4.532128245608989e-07;0.4398728287841191;-0.7734375;True;0.7734375
