fold;bloco;condicao_real;classe_real_nirrig;classe_predita_nirrig;probabilidade_nirrig
1;B4;IRRIG;0;0;0.12
1;B4;IRRIG;0;0;0.11
1;B4;IRRIG;0;0;0.11
1;B4;IRRIG;0;0;0.11
1;B4;IRRIG;0;1;0.76
1;B4;IRRIG;0;1;0.74
1;B4;IRRIG;0;1;0.72
1;B4;IRRIG;0;1;0.73
1;B4;NIRRIG;1;1;0.8
1;B4;NIRRIG;1;1;0.7
1;B4;NIRRIG;1;1;0.59
1;B4;NIRRIG;1;1;0.59
1;B4;NIRRIG;1;0;0.05
1;B4;NIRRIG;1;0;0.05
1;B4;NIRRIG;1;0;0.05
1;B4;NIRRIG;1;0;0.05
2;B3;IRRIG;0;0;0.47
2;B3;IRRIG;0;0;0.46
2;B3;IRRIG;0;1;0.52
2;B3;IRRIG;0;1;0.53
2;B3;IRRIG;0;0;0.03
2;B3;IRRIG;0;0;0.08
2;B3;IRRIG;0;0;0.08
2;B3;IRRIG;0;0;0.05
2;B3;NIRRIG;1;1;0.67
2;B3;NIRRIG;1;1;0.69
2;B3;NIRRIG;1;1;0.78
2;B3;NIRRIG;1;1;0.8
2;B3;NIRRIG;1;0;0.43
2;B3;NIRRIG;1;0;0.44
2;B3;NIRRIG;1;0;0.44
2;B3;NIRRIG;1;0;0.47
3;B2;IRRIG;0;0;0.09
3;B2;IRRIG;0;0;0.07
3;B2;IRRIG;0;0;0.06
3;B2;IRRIG;0;0;0.04
3;B2;IRRIG;0;0;0.39
3;B2;IRRIG;0;0;0.4
3;B2;IRRIG;0;0;0.43
3;B2;IRRIG;0;0;0.5
3;B2;NIRRIG;1;0;0.03
3;B2;NIRRIG;1;0;0.03
3;B2;NIRRIG;1;0;0.04
3;B2;NIRRIG;1;0;0.04
3;B2;NIRRIG;1;0;0.46
3;B2;NIRRIG;1;0;0.48
3;B2;NIRRIG;1;0;0.48
3;B2;NIRRIG;1;1;0.52
4;B1;IRRIG;0;1;0.94
4;B1;IRRIG;0;1;0.94
4;B1;IRRIG;0;1;0.94
4;B1;IRRIG;0;1;0.94
4;B1;IRRIG;0;0;0.01
4;B1;IRRIG;0;0;0.01
4;B1;IRRIG;0;0;0.01
4;B1;IRRIG;0;0;0.01
4;B1;NIRRIG;1;0;0.3
4;B1;NIRRIG;1;1;0.69
4;B1;NIRRIG;1;1;0.67
4;B1;NIRRIG;1;0;0.49
4;B1;NIRRIG;1;0;0.35
4;B1;NIRRIG;1;0;0.34
4;B1;NIRRIG;1;0;0.33
4;B1;NIRRIG;1;0;0.25
