posicao;banda_nm;importancia_permutacao_media;importancia_permutacao_dp;importancia_gini;p_valor;q_fdr;epsilon2;delta_cliff;significativa;abs_delta_cliff
1;405;0.020833333333333332;0.036084391824351615;0.03960152506984349;1.6518962475870402e-09;1.3559556900098416e-07;0.5701021634615385;-0.876953125;True;0.876953125
2;721;0.015625;0.027063293868263706;0.0623465402246413;1.1832237171156026e-09;1.3559556900098416e-07;0.5805937887717122;0.884765625;True;0.884765625
3;711;0.015625;0.027063293868263706;0.049805722424392185;5.630269350745034e-09;1.7765665289812406e-07;0.5315873138957816;0.84765625;True;0.84765625
4;1928;0.015625;0.017274087449767706;0.0011890218156228004;2.942002935189199e-09;1.3641764502158844e-07;0.5519657258064516;0.86328125;True;0.86328125
5;1938;0.010416666666666666;0.018042195912175808;0.03439795981804924;1.9497641198802688e-09;1.3559556900098416e-07;0.5648912453473945;0.873046875;True;0.873046875
6;1341;0.005208333333333333;0.009021097956087902;0.044163482517287404;1.2865021608031123e-09;1.3559556900098416e-07;0.5779621588089331;-0.8828125;True;0.8828125
7;1948;0.005208333333333333;0.009021097956087904;0.04401533078310824;6.101286197809811e-09;1.8960209078345335e-07;0.5290661833126551;0.845703125;True;0.845703125
8;415;0.0;0.0;0.04779086720509164;9.844018453217998e-09;2.65658971678291e-07;0.5140615307071961;-0.833984375;True;0.833984375
9;1331;0.0;0.0;0.03810602607735996;7.894407298562638e-05;0.0003958784686883;0.2352163461538461;-0.57421875;True;0.57421875
10;1918;0.0;0.0;0.03179653124348195;1.2474358573816622e-08;3.198113679362236e-07;0.5066377171215881;0.828125;True;0.828125
