posicao;banda_nm;importancia_permutacao_media;importancia_permutacao_dp;importancia_gini;p_valor;q_fdr;epsilon2;delta_cliff;significativa;abs_delta_cliff
1;1355;0.03645833333333333;0.03719493973199401;0.040393155772643616;9.041260826253434e-12;7.726510814435746e-10;0.7342897022332507;-0.9921875;True;0.9921875
2;715;0.015625;0.027063293868263706;0.09644995727838096;6.211923275036763e-12;6.066978398619239e-10;0.7461538461538462;1.0;True;1.0
3;725;0.015625;0.027063293868263706;0.08306537937046514;6.211923275036763e-12;6.066978398619239e-10;0.7461538461538462;1.0;True;1.0
4;1365;0.015625;0.027063293868263706;0.07024151308438703;1.7953490226187587e-10;8.563397314862963e-09;0.6399610344292804;-0.927734375;True;0.927734375
5;705;0.015625;0.027063293868263706;0.05135368621081576;6.192161239458065e-11;3.432465595169863e-09;0.6735295828163772;0.951171875;True;0.951171875
6;1934;0.010416666666666666;0.018042195912175808;0.0;2.1394477206693785e-06;3.156839766253881e-05;0.3462187887717121;0.689453125;True;0.689453125
7;1345;0.0;0.0;0.028377343357214112;7.75604315257066e-09;2.525022937448004e-07;0.5215376861042184;-0.83984375;True;0.83984375
8;1385;0.0;0.0;0.026003974480380155;3.355175078324666e-07;8.392029372736452e-06;0.4037686104218362;-0.7421875;True;0.7421875
9;1375;0.0;0.0;0.023742662358784358;1.4594891509357258e-08;4.605249613183344e-07;0.5017175868486352;-0.82421875;True;0.82421875
10;1944;0.0;0.0;0.019805233334261936;6.436358807385795e-06;7.543412522256151e-05;0.3121588089330025;0.65625;True;0.65625
11;1954;0.0;0.0;0.019423913906347613;7.054576857787515e-05;0.000524236852729;0.2386476426799007;0.578125;True;0.578125
12;405;0.0;0.0;0.018825063902122262;0.000161276729747;0.0007639228007188;0.2134799550248139;-0.548828125;True;0.548828125
13;545;0.0;0.0;0.018325561566044615;3.3876888488163136e-06;4.425573139440929e-05;0.3319905397022332;0.67578125;True;0.67578125
14;735;0.0;0.0;0.018130395657181077;4.294830837146e-08;1.258385435283778e-06;0.4679280397022333;0.796875;True;0.796875
15;1575;0.0;0.0;0.01759015559015559;0.0075399834195881;0.0151464309437564;0.0990258607320099;-0.388671875;True;0.388671875
16;1924;0.0;0.0;0.016632591775448916;2.285823180339581e-06;3.2332574778458486e-05;0.3441687344913152;0.6875;True;0.6875
17;1485;0.0;0.0;0.015970811134326152;0.1193399945156368;0.1465666639230965;0.0229993796526054;-0.2265625;False;0.2265625
18;1585;0.0;0.0;0.015852562382705045;0.0046094712250839;0.0104579927905389;0.1133326225186104;-0.412109375;True;0.412109375
