seed;fold;n_treino;n_teste;accuracy;f1;kappa;auc_roc
42;1;48;16;0.9375;0.9333333333333333;0.875;0.984375
42;2;48;16;0.875;0.8571428571428571;0.75;0.9375
42;3;48;16;0.8125;0.8;0.625;0.953125
42;4;48;16;0.8125;0.7692307692307693;0.625;0.90625
43;1;48;16;0.8125;0.7692307692307693;0.625;0.8125
43;2;48;16;0.75;0.7777777777777778;0.5;0.84375
43;3;48;16;0.8125;0.7692307692307693;0.625;1.0
43;4;48;16;0.9375;0.9333333333333333;0.875;0.9375
44;1;48;16;0.625;0.5;0.25;0.578125
44;2;48;16;0.9375;0.9333333333333333;0.875;0.984375
44;3;48;16;0.875;0.8571428571428571;0.75;0.90625
44;4;48;16;0.75;0.6666666666666666;0.5;0.859375
45;1;48;16;0.875;0.8571428571428571;0.75;0.90625
45;2;48;16;0.875;0.8571428571428571;0.75;0.859375
45;3;48;16;0.8125;0.8;0.625;0.921875
45;4;48;16;0.75;0.75;0.5;0.796875
46;1;48;16;0.8125;0.7692307692307693;0.625;0.953125
46;2;48;16;0.75;0.7777777777777778;0.5;0.875
46;3;48;16;0.75;0.6666666666666666;0.5;0.90625
46;4;48;16;0.9375;0.9333333333333333;0.875;0.890625
