seed;fold;classe_real_nirrig;classe_predita_nirrig;score_plsda
42;1;1;1;0.5575517600355084
42;1;1;1;0.6450193390714575
42;1;1;1;0.7171293138061904
42;1;0;0;0.23028581827566208
42;1;0;0;0.20376180899037155
42;1;0;0;0.3190308280283455
42;1;1;1;1.0506846576663729
42;1;1;1;1.0649766463422023
42;1;0;0;0.08917150310823885
42;1;0;0;0.0431861545964774
42;1;0;0;-0.040147380761119233
42;1;1;1;1.0925275371214966
42;1;1;1;0.8441074137545019
42;1;1;1;0.8778934586575973
42;1;0;0;0.21288879624215706
42;1;0;0;0.32697883422069934
42;2;0;0;-0.16355734040285097
42;2;0;0;-0.13280167925403163
42;2;0;0;-0.12777280758070952
42;2;1;1;0.5266633603252873
42;2;1;1;0.7314947083209069
42;2;0;0;0.2634503531381586
42;2;0;0;0.24902705248984736
42;2;0;0;0.22361327545214987
42;2;1;1;0.9929644132875484
42;2;1;1;1.0962008208091274
42;2;0;0;0.1534714067570852
42;2;0;1;0.506877330527676
42;2;1;1;0.6937114788063454
42;2;1;1;0.7251499720964465
42;2;1;1;1.0551016428853148
42;2;1;1;1.117446516055288
42;3;0;0;-0.14980773951349513
42;3;1;1;0.6671297978269437
42;3;1;1;0.7309724283429284
42;3;0;0;0.15762969360980705
42;3;0;0;0.24218756702756683
42;3;1;1;0.9365410548059971
42;3;1;1;1.0284324387331556
42;3;0;0;0.01780096347014809
42;3;0;0;-0.08335608606844747
42;3;0;0;-0.12174987986524022
42;3;1;1;1.0170201480296357
42;3;1;1;0.8756739587031643
42;3;1;1;0.9134583725860692
42;3;0;0;0.24546854417896513
42;3;0;0;0.36571491664641476
42;3;1;1;0.7525868103576702
42;4;0;0;-0.2347131222716602
42;4;0;0;-0.19868770504457578
42;4;0;0;-0.19919065457531415
42;4;0;0;-0.191533437717738
42;4;1;1;0.7737235976264987
42;4;1;1;1.056376295403279
42;4;1;1;1.0988722887861018
42;4;1;1;1.0937566620785675
42;4;0;0;-0.07534156474613418
42;4;0;0;-0.07209535819106738
42;4;1;1;1.1971230544540046
42;4;0;0;0.3254695792909832
42;4;0;0;0.4358754897027922
42;4;1;1;0.79726658765417
42;4;1;1;1.1859282587155768
42;4;1;1;1.2056904967108548
43;1;0;0;-0.16079615570798855
43;1;0;0;-0.14170023360782946
43;1;1;1;0.6514951593451506
43;1;0;0;0.15774093457587174
43;1;1;1;0.9910898265784701
43;1;1;1;1.078697116324054
43;1;0;0;0.015136618554628667
43;1;0;0;0.013693520439841456
43;1;0;0;-0.13076737505856317
43;1;1;1;1.0988225777444522
43;1;1;1;1.117017771005082
43;1;1;1;0.9008132956184505
43;1;0;0;0.3671904285277109
43;1;0;0;0.3173455225011333
43;1;1;1;0.7599520261613322
43;1;1;1;1.0755154156946705
43;2;0;0;-0.11839639997135587
43;2;0;0;-0.10679067912928175
43;2;0;0;0.04610981666162706
43;2;0;0;0.03350501876829659
43;2;1;1;0.5148274937937858
43;2;1;1;0.8270205236706483
43;2;0;0;0.12270765615415996
43;2;1;1;0.9741901364943741
43;2;1;1;1.0340875961267337
43;2;1;1;1.1387354712175863
43;2;0;0;0.01773866247020711
43;2;0;0;-0.08431516364557501
43;2;0;0;-0.17842306679588715
43;2;1;1;1.0712923856805658
43;2;1;1;0.9363159861373125
43;2;1;1;1.0889881734667906
43;3;0;0;-0.17489578714348442
43;3;1;1;0.7431446252514358
43;3;1;1;0.8134495987816582
43;3;1;1;0.8484159145536098
43;3;0;0;0.24211271040644827
43;3;0;0;0.19916852901155968
43;3;1;1;0.8844451607747958
43;3;1;1;0.8895459357155521
43;3;1;1;0.9104890651317581
43;3;0;0;0.0829740575579927
43;3;0;0;0.4630230463554041
43;3;0;0;0.4449083898967862
43;3;0;0;0.42883177708590586
43;3;0;0;0.40376023266625805
43;3;1;1;1.045468472799867
43;3;1;1;1.3848375742249552
43;4;0;0;-0.1699505130114517
43;4;1;1;0.5535300230550191
43;4;1;1;0.7206805188501844
43;4;0;0;0.27338332722164305
43;4;0;0;0.20495737192057417
43;4;0;0;0.26112193857825283
43;4;0;0;0.23683056542198877
43;4;0;0;-0.001342959151045875
43;4;1;1;1.032771717715586
43;4;1;1;0.8748279935729385
43;4;1;1;0.9215255591888208
43;4;0;0;0.3022173625752339
43;4;0;0;0.1638230813249152
43;4;1;1;0.6902603487256146
43;4;1;1;0.7220266729653758
43;4;1;1;1.0914850612731541
44;1;0;0;-0.14604799364567056
44;1;1;1;0.5067129863045159
44;1;1;1;0.5284798138979431
44;1;1;1;0.6162938378000471
44;1;1;1;0.6431234289205401
44;1;1;1;0.689320047644868
44;1;1;1;0.7059063275692843
44;1;0;0;0.17845710578349971
44;1;0;0;0.23581408721494201
44;1;0;0;0.21062630178940345
44;1;1;1;1.0495412635822319
44;1;0;0;0.07051735559468386
44;1;0;0;-0.06086999174372587
44;1;1;1;1.0478225516815929
44;1;0;0;0.22100468568932297
44;1;0;0;0.35755689285831627
44;2;0;0;-0.16473894488765217
44;2;0;0;-0.15399162327575522
44;2;1;1;0.7634704223145523
44;2;0;0;0.21781389293155673
44;2;0;0;0.16196012393082765
44;2;0;0;0.314831855777722
44;2;1;1;1.0901417522135972
44;2;1;1;1.0837811586104416
44;2;1;1;1.0988570297658966
44;2;0;0;-0.03165628569024337
44;2;0;0;-0.09129863314907172
44;2;1;1;1.0639422579232187
44;2;0;1;0.5334588325077322
44;2;1;1;0.7625472422092074
44;2;1;1;1.1664825456869101
44;2;1;1;1.168928762680812
44;3;0;0;-0.19050334413040104
44;3;0;0;-0.13276781285480377
44;3;0;0;-0.1459015429157322
44;3;0;0;0.2547470276535268
44;3;1;1;0.9796970418825716
44;3;1;1;1.02588587146202
44;3;0;0;0.016418421313507126
44;3;0;0;0.01480875998661857
44;3;1;1;0.8486894391887907
44;3;1;1;0.890838512359853
44;3;1;1;0.929960436515725
44;3;0;0;0.43085501715776164
44;3;0;0;0.3165208533187303
44;3;1;1;0.70946083052401
44;3;1;1;0.7586373432019164
44;3;1;1;1.144217487991428
44;4;0;0;-0.19638653603119594
44;4;0;0;-0.1737249838505197
44;4;1;1;0.8010757065024268
44;4;0;0;0.27645325079412625
44;4;1;1;0.891599095023679
44;4;1;1;0.9979486863107552
44;4;0;0;-0.05567561832662382
44;4;0;0;-0.11475797927053988
44;4;1;1;1.1606885633921662
