seed;fold;n_treino;n_teste;accuracy;f1;kappa;auc_roc
42;1;336;112;0.8303571428571429;0.8403361344537815;0.6607142857142857;0.9164540816326531
42;2;336;112;0.7946428571428571;0.8034188034188035;0.5892857142857143;0.9059311224489797
42;3;336;112;0.75;0.7777777777777778;0.5;0.8880739795918368
42;4;336;112;0.7678571428571429;0.7868852459016393;0.5357142857142857;0.8772321428571429
43;1;336;112;0.7946428571428571;0.8034188034188035;0.5892857142857143;0.8985969387755102
43;2;336;112;0.7321428571428571;0.765625;0.4642857142857143;0.8485331632653061
43;3;336;112;0.8125;0.8264462809917356;0.625;0.9116709183673469
43;4;336;112;0.8303571428571429;0.8455284552845529;0.6607142857142857;0.9362244897959184
44;1;336;112;0.7767857142857143;0.7863247863247863;0.5535714285714286;0.8670280612244898
44;2;336;112;0.7946428571428571;0.8099173553719008;0.5892857142857143;0.9065688775510203
44;3;336;112;0.8303571428571429;0.848;0.6607142857142857;0.9212372448979591
44;4;336;112;0.7589285714285714;0.7804878048780488;0.5178571428571428;0.8775510204081632
45;1;336;112;0.75;0.7666666666666667;0.5;0.8596938775510203
45;2;336;112;0.8303571428571429;0.848;0.6607142857142857;0.9196428571428572
45;3;336;112;0.7678571428571429;0.7833333333333333;0.5357142857142857;0.8896683673469388
45;4;336;112;0.8035714285714286;0.8135593220338984;0.6071428571428572;0.895408163265306
46;1;336;112;0.8214285714285714;0.8275862068965517;0.6428571428571428;0.9129464285714285
46;2;336;112;0.8482142857142857;0.864;0.6964285714285714;0.9276147959183674
46;3;336;112;0.7321428571428571;0.7727272727272727;0.4642857142857143;0.833545918367347
46;4;336;112;0.7678571428571429;0.7758620689655172;0.5357142857142857;0.8934948979591837
