posicao;banda_nm;vip
1;1480;1.2738938957117383
2;1997;1.2736281070122375
3;2007;1.2732809116824768
4;1987;1.2732177214702367
5;1470;1.2405648088168015
6;1345;1.217818107438442
7;1952;1.2126106297988875
8;1950;1.203434632214408
9;1946;1.182146026691411
10;1942;1.1576545748659486
11;1940;1.1447250761764296
12;1938;1.1312513517663956
13;1936;1.1171190084695404
14;1935;1.1100305223097582
15;1932;1.0892435229053339
16;1930;1.0760600225957624
17;1928;1.0635566777102314
18;1926;1.0521077715177973
19;1355;1.0388634977365476
20;1922;1.0330889610470333
21;1920;1.026127131981843
22;1912;1.0239044248883147
23;1916;1.0197985085329406
24;1357;0.9831867266758941
25;1360;0.8883968886260784
26;720;0.7959190248259964
27;710;0.7600694231824757
28;1365;0.7039379634723105
29;1367;0.620288666347211
30;1836;0.6087559800438872
31;1368;0.5749571843085491
32;1388;0.5259179832586146
33;1375;0.20617081689620861
34;1377;0.11869555036627862
35;1378;0.11004645739969891
