seed;fold;banda_nm;vip
42;1;405;1.2037853061556498
42;1;415;1.1460700004525395
42;1;702;0.6883206652922234
42;1;711;1.0200201232136306
42;1;712;1.0318375475046055
42;1;715;1.044618572174323
42;1;721;0.9719753770670635
42;1;722;0.9463672665400342
42;1;731;0.5181964804997484
42;1;739;0.3081969316158113
42;1;749;0.5693820000561347
42;1;1345;0.8181168353428647
42;1;1355;0.972908926273131
42;1;1369;0.948179665230197
42;1;1372;0.8966596671323647
42;1;1376;0.7956222924073514
42;1;1381;0.6269537866448149
42;1;1709;0.24033418093976444
42;1;1719;0.27030692012423646
42;1;1918;1.155381713488144
42;1;1919;1.1611781860251782
42;1;1928;1.2063138582598958
42;1;1929;1.2103765599663592
42;1;1933;1.2244803168062892
42;1;1938;1.235440854793342
42;1;1939;1.2366817044895095
42;1;1943;1.2384521093584628
42;1;1948;1.2341785142534247
42;1;1953;1.2226773737450887
42;1;1958;1.2048988538884842
42;1;1963;1.1837346052086182
42;2;405;1.202386241916153
42;2;415;1.1427590953769724
42;2;702;0.6689099659377135
42;2;711;0.9626479386833716
42;2;712;0.9716918045924792
42;2;715;0.9768443761437644
42;2;721;0.8904542215170513
42;2;722;0.8623136531000829
42;2;731;0.4218720806305279
42;2;739;0.34280852147974034
42;2;749;0.5927098916056996
42;2;1345;0.797447113002526
42;2;1355;0.9523650893143523
42;2;1369;0.9140601815289948
42;2;1372;0.8608525546208039
42;2;1376;0.7605899635337172
42;2;1381;0.6047440409480103
42;2;1709;0.21638776065130486
42;2;1719;0.2511608369589943
42;2;1918;1.2054529388368702
42;2;1919;1.2108956174778516
42;2;1928;1.251502297765216
42;2;1929;1.2550030220104746
42;2;1933;1.2660851700128184
42;2;1938;1.2728999282369975
42;2;1939;1.273285221269701
42;2;1943;1.271934881807869
42;2;1948;1.2636191181800673
42;2;1953;1.2474807605388618
42;2;1958;1.2256944278503639
42;2;1963;1.2002747979394455
42;3;405;1.2213390629926353
42;3;415;1.16405215787363
42;3;702;0.6609613043983308
42;3;711;0.9981389945829785
42;3;712;1.010291435411796
42;3;715;1.0238415263589098
42;3;721;0.9520264437589047
42;3;722;0.9262585790374963
42;3;731;0.4956489411170074
42;3;739;0.28303638225302363
42;3;749;0.5333259414878595
42;3;1345;0.8824253304445507
42;3;1355;0.9989680590809088
42;3;1369;0.9379170756046001
42;3;1372;0.8817304591374868
42;3;1376;0.7735057862901054
42;3;1381;0.5964628210576953
42;3;1709;0.135845950942782
42;3;1719;0.16214719007834433
42;3;1918;1.169895371827222
42;3;1919;1.1758685010656138
42;3;1928;1.2205783688162717
42;3;1929;1.2244134082657527
42;3;1933;1.2374104983721097
42;3;1938;1.2467198395316585
42;3;1939;1.247571793139961
42;3;1943;1.2481417571570737
42;3;1948;1.2412747734404297
42;3;1953;1.2269613953283778
42;3;1958;1.2068603386439944
42;3;1963;1.1837676154892087
42;4;405;1.2245634043505744
42;4;415;1.1689862077489614
42;4;702;0.6807490712055685
42;4;711;0.9995436387942164
42;4;712;1.0099485554882173
42;4;715;1.0183793298203838
42;4;721;0.9355813992365641
42;4;722;0.907824012054597
42;4;731;0.47460144456513903
42;4;739;0.3414083095425503
42;4;749;0.5814588200997325
42;4;1345;0.838693612949289
42;4;1355;0.9765314082622817
42;4;1369;0.923675708466525
42;4;1372;0.8596408118744524
42;4;1376;0.7402502284648623
42;4;1381;0.5605738954769007
42;4;1709;0.1753224841185167
42;4;1719;0.20830414591181418
42;4;1918;1.1801465365039292
42;4;1919;1.1858619406003927
42;4;1928;1.228136359001615
42;4;1929;1.2318681849772457
42;4;1933;1.2442465814891863
42;4;1938;1.2527752326341803
42;4;1939;1.2534381244196156
42;4;1943;1.2532030102131861
42;4;1948;1.246505731121611
42;4;1953;1.2325527558084617
42;4;1958;1.213689693594563
42;4;1963;1.1913768450528708
43;1;405;1.1983749094009635
43;1;415;1.1367705649051287
43;1;702;0.6827219921179173
43;1;711;0.991662131058652
43;1;712;1.0018237000662158
43;1;715;1.0105738566358884
43;1;721;0.9334860364041525
43;1;722;0.9071882868768042
43;1;731;0.47455266562186316
43;1;739;0.3046333817487764
43;1;749;0.5491079949700095
43;1;1345;0.8249718239360304
43;1;1355;0.964763417506619
43;1;1369;0.9138458766781499
43;1;1372;0.8551741025759627
43;1;1376;0.7466499719797047
43;1;1381;0.5823104180835852
43;1;1709;0.1948021373682661
43;1;1719;0.22535718361057833
43;1;1918;1.191485518903469
43;1;1919;1.1975670305444603
43;1;1928;1.2416143196400355
43;1;1929;1.2453554147145298
43;1;1933;1.257326118583721
43;1;1938;1.2643590937564337
43;1;1939;1.2647022406149884
43;1;1943;1.2631015958264793
43;1;1948;1.2541289745515707
43;1;1953;1.2376290270197723
43;1;1958;1.215579893138439
43;1;1963;1.1905246226090638
43;2;405;1.196480354345198
43;2;415;1.1417648750464393
43;2;702;0.6739192758868877
43;2;711;1.0125318487811925
43;2;712;1.0240573061773308
43;2;715;1.0352792708624865
43;2;721;0.9555410963781193
43;2;722;0.9278343305319975
43;2;731;0.4728979756009066
43;2;739;0.3125497237858576
43;2;749;0.5774221846219437
43;2;1345;0.8539203490850266
43;2;1355;1.0140949883441273
43;2;1369;0.9743039560902109
43;2;1372;0.9180041241192424
43;2;1376;0.8071123999695825
43;2;1381;0.6266913720670079
43;2;1709;0.2158121512867123
43;2;1719;0.23973332205951073
43;2;1918;1.1569475810711936
43;2;1919;1.1624034756312438
43;2;1928;1.2054825600962642
43;2;1929;1.2094180558758407
43;2;1933;1.2229543867224903
43;2;1938;1.233820827793304
43;2;1939;1.2350159680336468
43;2;1943;1.2368757631573224
43;2;1948;1.2328379083994752
43;2;1953;1.2212629634667134
43;2;1958;1.2038927716328711
43;2;1963;1.1828298315316719
43;3;405;1.2106261679234247
43;3;415;1.1530860342668139
43;3;702;0.6175991933177881
43;3;711;0.9282182956886237
43;3;712;0.9390512348682544
43;3;715;0.9488053706813843
43;3;721;0.8694338968925786
43;3;722;0.8426495803366718
43;3;731;0.42993528780102175
43;3;739;0.33964501935889224
43;3;749;0.5763999214085351
