genotipo;fold;split;nomenclaura;bloco;condicao;dia
BR16;1;treino;B1_BR16_IRRIG_REPROD00000.asd;B1;IRRIG;D02
BR16;1;treino;B1_BR16_IRRIG_REPROD00001.asd;B1;IRRIG;D02
BR16;1;treino;B1_BR16_IRRIG_REPROD00003.asd;B1;IRRIG;D02
BR16;1;treino;B1_BR16_IRRIG_REPROD00004.asd;B1;IRRIG;D02
BR16;1;treino;B1_BR16_IRRIG_REPROD00005.asd;B1;IRRIG;D02
BR16;1;treino;B1_BR16_IRRIG_REPROD00006.asd;B1;IRRIG;D02
BR16;1;treino;B1_BR16_NIRRIG_REPROD00000.asd;B1;NIRRIG;D02
BR16;1;treino;B1_BR16_NIRRIG_REPROD00001.asd;B1;NIRRIG;D02
BR16;1;treino;B1_BR16_NIRRIG_REPROD00002.asd;B1;NIRRIG;D02
BR16;1;treino;B1_BR16_NIRRIG_REPROD00004.asd;B1;NIRRIG;D02
BR16;1;treino;B1_BR16_NIRRIG_REPROD00005.asd;B1;NIRRIG;D02
BR16;1;treino;B1_BR16_NIRRIG_REPROD00006.asd;B1;NIRRIG;D02
BR16;1;treino;B1_BR16_NIRRIG_REPROD00007.asd;B1;NIRRIG;D02
BR16;1;treino;B2_BR16_IRRIG_REPROD00000.asd;B2;IRRIG;D02
BR16;1;treino;B2_BR16_IRRIG_REPROD00001.asd;B2;IRRIG;D02
BR16;1;treino;B2_BR16_IRRIG_REPROD00002.asd;B2;IRRIG;D02
BR16;1;treino;B2_BR16_IRRIG_REPROD00003.asd;B2;IRRIG;D02
BR16;1;treino;B2_BR16_IRRIG_REPROD00004.asd;B2;IRRIG;D02
BR16;1;treino;B2_BR16_IRRIG_REPROD00006.asd;B2;IRRIG;D02
BR16;1;treino;B2_BR16_IRRIG_REPROD00007.asd;B2;IRRIG;D02
BR16;1;treino;B2_BR16_NIRRIG_REPROD00001.asd;B2;NIRRIG;D02
BR16;1;treino;B2_BR16_NIRRIG_REPROD00002.asd;B2;NIRRIG;D02
BR16;1;treino;B2_BR16_NIRRIG_REPROD00004.asd;B2;NIRRIG;D02
BR16;1;treino;B2_BR16_NIRRIG_REPROD00005.asd;B2;NIRRIG;D02
BR16;1;treino;B2_BR16_NIRRIG_REPROD00006.asd;B2;NIRRIG;D02
