posicao;banda_nm;vip
1;714;2.028317051166343
2;1380;2.018755887499589
3;405;1.9857010705327627
4;1370;1.9791923375998448
5;1390;1.948702251061188
6;415;1.9100312127174404
7;1360;1.9052249204579208
8;704;1.871516473479749
9;1400;1.8612443144760795
10;724;1.855407357955788
11;1946;1.8370061019489128
12;425;1.8368196041655023
13;1956;1.823030226425708
14;1936;1.8228405553805056
15;1966;1.7768298109390501
16;1926;1.7758300089550447
17;1410;1.7708926393002076
18;435;1.7463353327711737
19;1350;1.7252199127762102
20;1976;1.7030313125606307
21;1916;1.6720444678430988
22;445;1.637537786836721
23;1420;1.6135627598874023
24;1986;1.5929198115366308
25;1860;1.579914518828422
26;1870;1.559779702825629
27;1850;1.5528045730113167
28;455;1.5255980895502756
29;1840;1.5058010937454733
30;1996;1.4580913803486204
31;1906;1.416531021716705
32;1880;1.406843773888806
33;1830;1.3932050902744102
34;465;1.392858402930803
35;1430;1.3528056553922627
36;2006;1.3316257518097772
37;732;1.3017474159813012
38;1340;1.2801401073631389
39;475;1.2656670026601633
40;1820;1.2232904101810294
41;2016;1.2134091346138713
42;1810;1.1497498196015337
43;2026;1.137766499830412
44;485;1.127585850517388
45;760;1.1111570535816944
46;2036;1.08263692459429
47;1800;1.0762256189965018
48;555;1.072421190907928
49;2046;1.069075760252707
50;2056;1.0478100472405796
51;1580;1.0346995139571429
52;1440;1.0312549435827751
53;770;1.021524056274732
54;1570;1.0188277513098523
55;1590;1.017830135670055
56;565;1.0024429372536976
57;545;1.0003516857176569
58;495;0.9930543182103011
59;2446;0.987808291824185
60;1600;0.9812960251198682
61;2066;0.9798376865985214
62;1560;0.9770798248221152
63;750;0.9749431781378243
64;1790;0.9704291506446717
65;2236;0.9620882083128794
66;2226;0.9445811580339758
67;2246;0.9248374624340806
68;1550;0.9178528246678366
69;780;0.9142525571908675
70;1610;0.8992347968786036
71;2076;0.8953452457019913
72;2216;0.8871904265657369
73;535;0.8864518356982031
74;694;0.8741878946956441
75;790;0.8588902437282351
76;1050;0.8514865982352798
77;1540;0.851167258093609
78;575;0.8504960720686859
79;1780;0.8503657803086839
80;1040;0.8425402247839421
81;1030;0.8382513267501662
82;2256;0.8329195262193501
83;1020;0.8309005742384347
84;1070;0.8306594319858511
85;1060;0.8304886863121254
86;2086;0.8283234776598287
87;1330;0.8252342767579244
88;505;0.8218247276391042
89;1080;0.8216031523013174
90;2206;0.8207908729166142
91;1620;0.8170503566391745
92;800;0.8122644865929542
93;1010;0.8104765989559419
94;1090;0.8069848844733696
95;1889;0.7993253761140603
96;1100;0.7902081058676953
97;1000;0.7894198991576789
98;1110;0.7828104081168349
99;1120;0.7781455717463484
100;585;0.7768723346752224
101;1230;0.7746167974223357
102;1220;0.7725147491133045
103;2096;0.7718014329637088
104;1210;0.7701945325528298
105;1250;0.768377605420003
106;1240;0.7678630989354595
107;810;0.7671695159559054
108;1770;0.7631142027158241
109;1530;0.7624554060291958
110;990;0.7584185957024542
111;1450;0.7551696385514487
112;2436;0.7534357395937767
113;1260;0.7510836322007781
114;1130;0.7494947655258998
115;1200;0.7493778030771859
116;2196;0.7483835290860007
117;595;0.7449974228957763
118;2266;0.7402564756698041
119;1270;0.7324243868827526
120;1630;0.7273695619763607
121;605;0.7270098343691014
122;980;0.7194539540531409
123;2106;0.7182707423915352
124;1280;0.7162803047499803
125;920;0.707019483656908
126;940;0.7069921790992503
127;930;0.7037040676989877
128;1190;0.6996137032794509
129;635;0.6961923868905912
130;1290;0.6950432510678144
131;820;0.6930823360946993
132;910;0.6890039885970433
133;615;0.6884450949495227
134;625;0.6855562451768841
135;1760;0.6821092252403689
136;950;0.6765385091416491
137;970;0.6761941609591949
138;2116;0.6759184780326689
139;2186;0.6758839270875978
140;1520;0.6729564970879753
141;1300;0.6714375585318139
142;1140;0.6681427800511008
143;900;0.6673932385061545
144;2276;0.666542558504237
145;960;0.6593012717349045
146;2296;0.6582127820051412
147;2306;0.6533014337478142
148;1640;0.6477621928689045
149;645;0.6475508339016802
150;1320;0.6473862090100376
151;1180;0.6463966855391428
152;2126;0.6419506004380027
153;2346;0.6401857335251312
154;1310;0.6388222434778511
155;890;0.6385476486077617
156;2336;0.6368895613939827
157;2286;0.6358847214245157
158;2316;0.6327628112470547
159;2176;0.6314914866884412
160;2326;0.6304208055327117
161;525;0.6302984465345667
162;655;0.6301144349747096
163;665;0.6254111455591677
164;2356;0.6182252454118956
165;2136;0.6174265314493853
166;2166;0.6129383397685719
167;675;0.6115587811909335
168;880;0.606796966097308
169;2146;0.6065474613434355
170;2156;0.6037382178673177
171;830;0.6031315049006363
172;1170;0.6025454448510104
173;1150;0.6002445913076785
174;2366;0.5960224339640087
175;1750;0.5880098099552069
176;685;0.5862395905290311
177;1160;0.5848523838860545
178;1510;0.5762444205534847
179;1460;0.5706599823036962
180;1897;0.5703673986212944
181;870;0.5609560524904483
182;2376;0.559280416482042
183;1650;0.5224653561544176
184;860;0.5183424588475342
185;840;0.5104989165199821
186;2386;0.5076629308210311
187;515;0.5068479849838025
188;2426;0.49949879185348856
189;1740;0.4968346207928339
190;1500;0.49199900946734837
191;850;0.484698702273316
192;1700;0.46165021548215956
193;1470;0.44566165127241264
194;1730;0.4451608864183234
195;1690;0.42589787678224883
196;1490;0.42582680408316864
197;1660;0.4110337992879688
198;2396;0.41102768958237385
199;1710;0.40506944492860597
200;1480;0.3965384074808178
201;1720;0.38686662127839166
202;2416;0.36497845789487043
203;1670;0.35089951984336537
204;1680;0.3471047036177557
205;2406;0.3301589592731571
206;740;0.06359715732236633
