posicao;banda_nm;vip
1;1928;1.9399292705330544
2;1938;1.9106230112388642
3;1918;1.853249988915046
4;1948;1.8265233525189475
5;1958;1.7206951125127499
6;1968;1.6184472672965797
7;1908;1.598457511075218
8;405;1.54196125186029
9;1978;1.5279790541002336
10;1988;1.4518430550387138
11;415;1.4389882340251827
12;1998;1.3865779236737699
13;1828;1.3782148186924241
14;425;1.3657624818718606
15;1818;1.3582546117268344
16;711;1.34222515002208
17;2008;1.321993101064268
18;1728;1.3170663753272036
19;1808;1.3097574931679845
20;1718;1.30381923123158
21;435;1.2984002261233953
22;1738;1.2710209223677638
23;1798;1.2637518323453012
24;2018;1.2609711882846855
25;1748;1.2524952498630422
26;1838;1.2451768024796905
27;445;1.2343586684832997
28;1708;1.2340436297511739
29;1758;1.229409391608881
30;721;1.2253564944980588
31;1788;1.2187883488652178
32;2447;1.2176576890561783
33;2028;1.1992380750298954
34;1768;1.1956133752488813
35;2268;1.194443821361732
36;2258;1.1899115168138918
37;1778;1.1881372512474768
38;1848;1.1794190382117118
39;2278;1.178584188154236
40;455;1.1765970885293264
41;1498;1.1666951079370775
42;1488;1.1645926914920401
43;1508;1.1585687898913588
44;2248;1.1569460600996977
45;1898;1.1518808234159956
46;1478;1.1511023761072474
47;2288;1.145255229411114
48;1698;1.1380462271223402
49;1518;1.136789875497248
50;2038;1.135706847158091
51;465;1.128249249318145
52;1468;1.1263107281595712
53;2298;1.1207100561540992
54;2238;1.1163082693531905
55;2438;1.1066645955020076
56;1528;1.0976279236237536
57;1458;1.0919677790066291
58;475;1.0856383406570345
59;2228;1.0839795872080638
60;2308;1.072055916741335
61;2048;1.0709001977667103
62;2218;1.0571611541526837
63;1858;1.0531438605299526
64;1371;1.045991267672598
65;1538;1.0440012205776152
66;2208;1.0388866367472183
67;485;1.03768255188355
68;1448;1.0335769749223713
69;1688;1.0285414810161808
70;2198;1.025234546887878
71;2428;1.0061034350602818
72;2188;0.9997709039013178
73;2318;0.9982502883425572
74;2058;0.9975285182007414
75;555;0.996887067845142
76;1379;0.9921023190781922
77;565;0.9861043059867257
