posicao;banda_nm;vip
1;1925;1.6828462423819652
2;1935;1.6689618234564545
3;1915;1.6614461626750927
4;1945;1.6222743322834674
5;1905;1.568738114786117
6;1955;1.5607402726640924
7;1965;1.4961994724880034
8;1975;1.4355866441915954
9;1985;1.3813815618624439
10;1895;1.3500760567197723
11;1995;1.3356161128179191
12;2005;1.2935480508137653
13;2015;1.2531383460158871
14;745;1.2170402485638205
15;2025;1.214383561037157
16;735;1.2048883026319235
17;2035;1.1720308942275064
18;2450;1.160378076221563
19;1715;1.1568201889415777
20;1725;1.1568199121504146
21;405;1.1541343620887248
22;2445;1.1498498820433536
23;415;1.1274583743502025
24;2045;1.126366518094244
25;755;1.1203582225592077
26;1735;1.118291569066954
27;1885;1.1172267879823385
28;1705;1.1126039279774147
29;2435;1.112522800121298
30;425;1.1041790471492996
31;2055;1.0842246091673753
32;2425;1.0811558081674548
33;1465;1.0794489108516039
34;1475;1.076535056322449
35;1455;1.0746837653260721
36;435;1.0746012327961028
37;1485;1.0683900290068127
38;1745;1.0631777493603831
39;1445;1.0579098537089626
40;1495;1.0563524696311042
41;2415;1.055348379077232
42;765;1.0551490924725975
43;445;1.0548790661386516
44;1695;1.0533791299239084
45;535;1.0479033726151294
46;2065;1.0471328820623518
47;525;1.0408619104396224
48;1505;1.0396193613662739
49;455;1.0352359788785006
50;2405;1.030854834941697
51;1435;1.028523884981759
52;695;1.0254780367460945
53;545;1.0251365187270778
54;1515;1.0211987189978904
55;465;1.0186106398341503
56;1755;1.0168788243923692
57;775;1.0159106924091375
58;2075;1.0124255722971387
59;2395;1.0092246172641532
60;555;1.0078852567264536
61;515;1.0048106774303365
62;475;1.0046415149143115
63;1525;0.9990645282207916
64;565;0.9962301243035533
65;785;0.995842288728769
66;1425;0.9928947106425045
67;485;0.9900671138618761
68;795;0.9867968284683751
69;1875;0.9864790842332651
70;2385;0.9844076388467281
71;575;0.9838153175992306
72;805;0.9810106443139183
73;495;0.9802005809986066
74;2085;0.9795620336673964
75;505;0.9785725740078048
76;1535;0.974975652538576
77;1685;0.9739835533644813
78;1765;0.9733714672185818
79;585;0.9723213555631628
80;815;0.9713330903443235
81;2375;0.9644216947695093
82;595;0.9642723627759401
83;605;0.961574845299493
84;1415;0.9610014792229931
85;1815;0.9588722258524043
86;1825;0.9578711121845164
87;825;0.9576721910297031
88;1805;0.9559350554925345
89;2095;0.9525507170438363
90;615;0.9516717397123905
91;685;0.9505743831401696
92;1545;0.9490731896641961
93;1795;0.9477707342101894
94;1775;0.9476923154442399
95;1785;0.9447637940734506
96;625;0.9442777578220984
97;835;0.9431095651056932
98;2365;0.9423607094983315
99;635;0.9392887305793887
100;1405;0.9384791723693731
101;2265;0.9308790363339948
102;2105;0.9304777632388503
103;675;0.9295713504387256
104;645;0.9285568163616288
105;845;0.9275560063309335
106;2275;0.9261041049071187
107;2255;0.9254214015785563
108;1555;0.9243277675013726
109;655;0.9242805647341438
110;2355;0.923761381408999
111;665;0.9216008293443224
112;995;0.921287141841005
113;1065;0.9210031276346813
114;1055;0.9209737351258132
115;1045;0.9200507044928689
116;1015;0.9197736572081558
117;1035;0.9193486267473455
118;1005;0.9193445718261494
119;1865;0.9190741181757958
120;2285;0.9190670485418128
121;1075;0.918874913102523
122;1025;0.9188661891601253
123;1315;0.9187833615278512
124;1835;0.9183908868055728
125;2245;0.9178418057323864
126;855;0.9160019961350347
127;985;0.9156917269706901
128;1305;0.9153722236857174
129;1155;0.9153680036378202
130;1165;0.9151931693937186
131;1085;0.9151703475137657
132;2295;0.9150457112022315
133;2195;0.9134735922412289
134;2115;0.9131688466956353
135;2235;0.9128422630861223
136;975;0.9128405526151557
137;1145;0.9119637107655175
138;2185;0.9118200871063497
139;1175;0.9117992169437388
140;2225;0.9116594271655538
141;2205;0.9115297823790877
142;2215;0.9103780815225491
143;2175;0.9098557961327817
144;865;0.9095724123470325
145;1185;0.9095342704156882
146;2345;0.9094362580296818
147;1135;0.9088089942080965
148;1395;0.9088063155946835
149;1325;0.9084172622616626
150;2305;0.9081682624609264
151;965;0.9081235857748471
152;955;0.9079687881414739
153;1095;0.9078441533472456
154;1845;0.9074152264319569
155;875;0.9064697748996048
156;945;0.9058063599749088
157;2165;0.9057308216584076
158;1195;0.905664997472205
159;1125;0.9050340282372613
160;885;0.9045899856698926
161;935;0.9038413195183047
162;895;0.9036126491499508
163;925;0.9035389442375549
164;2335;0.9034182207338542
165;905;0.9033737756597066
166;915;0.9031044247653491
167;2125;0.9026695538424212
168;1105;0.9021695173015277
169;1115;0.9014336701733532
170;1565;0.9009495644584425
171;2155;0.9005625908992735
