genotipo;dia;n_dobras;accuracy;accuracy_dp;accuracy_variancia;accuracy_ic95_inf;accuracy_ic95_sup;f1;f1_dp;f1_variancia;f1_ic95_inf;f1_ic95_sup;kappa;kappa_dp;kappa_variancia;kappa_ic95_inf;kappa_ic95_sup;auc_roc;auc_roc_dp;auc_roc_variancia;auc_roc_ic95_inf;auc_roc_ic95_sup
BR16;D02;20;0.85;0.07140507132218492;0.005098684210526315;0.8165813979297764;0.8834186020702236;0.8172283272283272;0.10019321816947493;0.010038680967156002;0.7703364576994399;0.8641201967572144;0.7;0.14281014264436984;0.02039473684210526;0.6331627958595526;0.7668372041404473;0.90703125;0.05400181032235961;0.002916195518092105;0.8817576247963803;0.9323048752036196
BR16;D03;20;0.828125;0.08809711671606632;0.007761101973684211;0.7868942802128247;0.8693557197871753;0.7995724292047821;0.1260528281023651;0.0158893154726044;0.7405778896829028;0.8585669687266614;0.65625;0.17619423343213264;0.031044407894736843;0.5737885604256495;0.7387114395743505;0.953125;0.059767573390153365;0.0035721628289473685;0.925152914616649;0.981097085383351
BR16;D04;20;0.859375;0.10314742579128391;0.010639391447368422;0.8111005187445506;0.9076494812554494;0.8636707577767948;0.10195566459065177;0.010394957542121483;0.8159540379322535;0.9113874776213361;0.71875;0.20629485158256783;0.042557565789473686;0.6222010374891012;0.8152989625108988;0.9234375;0.08866413099444441;0.007861328124999999;0.881941409361898;0.964933590638102
BR16;D05;20;0.971875;0.062417708983403444;0.0038959703947368434;0.9426626129800418;1.0;0.9720700695932895;0.06423208419743805;0.00412576064034677;0.9420085288345118;1.0;0.94375;0.12483541796680687;0.01558388157894737;0.8853252259600836;1.0;0.99375;0.015542545598588753;0.00024157072368421063;0.9864758647474221;1.0
BR16;D06;20;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0
BR16;D09;20;0.896875;0.08428052703229913;0.007103207236842104;0.8574304991682213;0.9363195008317786;0.9114516683866529;0.06820062927188417;0.004651325833080984;0.8795327913605078;0.9433705454127981;0.79375;0.16856105406459826;0.028412828947368417;0.7148609983364427;0.8726390016635572;0.93359375;0.07652556842882817;0.005856162623355263;0.8977786815158358;0.9694088184841642
BR16;D10;20;0.65625;0.11198713506940265;0.012541118421052632;0.6038384074538273;0.7086615925461727;0.6956313578062805;0.11845019025885718;0.014030447572359465;0.6401949623219562;0.7510677532906048;0.3125;0.2239742701388053;0.05016447368421053;0.2076768149076546;0.4173231850923454;0.72109375;0.11794165229909014;0.013910233347039473;0.665895357607058;0.776292142392942
CD202;D02;20;0.790625;0.10590113003223933;0.011215049342105262;0.7410617454887639;0.8401882545112361;0.7865379228614523;0.0975364326433355;0.009513355692787924;0.7408894672335662;0.8321863784893384;0.58125;0.21180226006447866;0.04486019736842105;0.48212349097752777;0.6803765090224723;0.81875;0.11475266594770364;0.013168174342105262;0.7650440991613833;0.8724559008386167
CD202;D03;20;0.984375;0.056904091750020376;0.003238075657894737;0.9577430652767501;1.0;0.9803921568627452;0.07500244503862383;0.005625366761771789;0.9452899320679518;1.0;0.96875;0.11380818350004075;0.012952302631578948;0.9154861305535003;1.0;0.975;0.11180339887498951;0.012500000000000004;0.9226743986397934;1.0
CD202;D04;20;0.88125;0.06995064049215817;0.004893092105263158;0.84851209251137;0.9139879074886299;0.8942212762297901;0.05792996900898768;0.0033558813093822735;0.8671092161701249;0.9213333362894552;0.7625;0.13990128098431634;0.019572368421052633;0.6970241850227402;0.8279758149772597;0.91171875;0.12625551626171888;0.015940455386513157;0.8526293494995324;0.9708081505004676
CD202;D05;20;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0
CD202;D06;20;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0
CD202;D09;20;0.9882352941176471;0.030773433163564536;0.0009470041886723736;0.9738328840620987;1.0;0.9861904761904763;0.03662253634413977;0.001341210168277838;0.9690506015817821;1.0;0.9761400571259727;0.06249606229109114;0.003905757801891944;0.9468909996292261;1.0;1.0;0.0;0.0;1.0;1.0
CD202;D10;20;0.8625;0.09203474744270289;0.008470394736842106;0.8194264123055972;0.9055735876944029;0.8695693986096463;0.09218545381009867;0.008498157894173835;0.826425278164163;0.9127135190551297;0.725;0.18406949488540578;0.03388157894736842;0.6388528246111942;0.8111471753888058;0.9703125;0.05117352284912065;0.0026187294407894733;0.9463625540793531;0.9942624459206469
EMB48;D02;20;0.725;0.10219627658270346;0.010444078947368424;0.6771706702768211;0.7728293297231789;0.7377616836208167;0.11268591923877305;0.012698116394687282;0.6850230500164005;0.790500317225233;0.45;0.2043925531654069;0.04177631578947368;0.3543413405536423;0.5456586594463577;0.7875;0.13483130907876975;0.01817948190789474;0.7243970049146802;0.8506029950853198
EMB48;D03;20;0.990625;0.0228967217832827;0.0005242598684210525;0.9799090043456351;1.0;0.99;0.02442316990216821;0.0005964912280701752;0.9785696046353441;1.0;0.98125;0.0457934435665654;0.00209703947368421;0.9598180086912702;1.0;1.0;0.0;0.0;1.0;1.0
EMB48;D04;20;0.88125;0.04925430785327577;0.002425986842105263;0.8581982743464256;0.9043017256535744;0.8819747899159663;0.05076315264570702;0.0025768976665313517;0.8582169031624826;0.9057326766694501;0.7625;0.09850861570655153;0.009703947368421052;0.7163965486928513;0.8086034513071486;0.975;0.019237094101596644;0.00037006578947368433;0.9659967628227972;0.9840032371772027
EMB48;D05;20;0.775;0.08458489973486931;0.007154605263157894;0.7354130483584976;0.8145869516415024;0.7550501034053666;0.10965364452763181;0.012023921758192238;0.7037306180499873;0.8063695887607459;0.55;0.16916979946973862;0.028618421052631578;0.4708260967169952;0.6291739032830048;0.82578125;0.09254641327570383;0.00856483861019737;0.7824681953244799;0.8690943046755202
EMB48;D06;20;0.996875;0.013975424859373684;0.00019531249999999996;0.9903342998299741;1.0;0.9970588235294118;0.013153341044116413;0.00017301038062283742;0.990902870428211;1.0;0.99375;0.027950849718747367;0.0007812499999999998;0.9806685996599483;1.0;1.0;0.0;0.0;1.0;1.0
EMB48;D09;20;0.896875;0.0866855896177007;0.0075143914473684206;0.8563048952299119;0.937445104770088;0.8875805322128851;0.09776367704424813;0.009557736549212048;0.8418257229315936;0.9333353414941766;0.79375;0.1733711792354014;0.030057565789473682;0.7126097904598239;0.874890209540176;0.971875;0.04259519138291749;0.001814350328947368;0.9519398367885815;0.9918101632114186
EMB48;D10;20;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0
