seed;fold;n_treino;n_teste;accuracy;f1;kappa;auc_roc
42;1;51;17;1.0;1.0;1.0;1.0
42;2;51;17;1.0;1.0;1.0;1.0
42;3;51;17;1.0;1.0;1.0;1.0
42;4;51;17;0.9411764705882353;0.9333333333333333;0.8811188811188811;1.0
43;1;51;17;1.0;1.0;1.0;1.0
43;2;51;17;1.0;1.0;1.0;1.0
43;3;51;17;1.0;1.0;1.0;1.0
43;4;51;17;1.0;1.0;1.0;1.0
44;1;51;17;1.0;1.0;1.0;1.0
44;2;51;17;1.0;1.0;1.0;1.0
44;3;51;17;1.0;1.0;1.0;1.0
44;4;51;17;0.8235294117647058;0.7692307692307693;0.6382978723404256;1.0
45;1;51;17;1.0;1.0;1.0;1.0
45;2;51;17;1.0;1.0;1.0;1.0
45;3;51;17;1.0;1.0;1.0;1.0
45;4;51;17;0.9411764705882353;0.9333333333333333;0.8811188811188811;1.0
46;1;51;17;1.0;1.0;1.0;1.0
46;2;51;17;1.0;1.0;1.0;1.0
46;3;51;17;1.0;1.0;1.0;1.0
46;4;51;17;1.0;1.0;1.0;1.0
