posicao;banda_nm;vip
1;1945;1.7097324473197912
2;1935;1.7000719659334824
3;1955;1.6816430975782442
4;1965;1.620112162314308
5;2255;1.6198935803685104
6;1925;1.6175590762558805
7;2265;1.6080736158779965
8;2245;1.5609735197719652
9;1975;1.5483839381726037
10;2275;1.5068741481190338
11;2235;1.4861419065816728
12;1985;1.4847195657923897
13;1835;1.4544190259678336
14;2295;1.4477439631131943
15;2225;1.4450468901776288
16;2215;1.4321369735684706
17;1915;1.4255380952424321
18;1995;1.4174715431895997
19;2285;1.413398707240048
20;2305;1.4125764040008668
21;2205;1.40969425270531
22;1845;1.3931451904508696
23;2195;1.3876664481791063
24;2185;1.3667629647649784
25;2005;1.352466331123789
26;2175;1.3231573044130747
27;2450;1.2873629155420554
28;1855;1.2778668462133418
29;2015;1.2750054192533358
30;1725;1.2658510223138464
31;2315;1.261819970938385
32;2165;1.2590970046435388
33;2445;1.229265272423592
34;735;1.2237845128363731
35;1735;1.2104586897769793
36;1715;1.1963901822907868
37;2025;1.1825496193739484
38;1825;1.1638501448638494
39;405;1.1597499760348344
40;1505;1.1459580545178605
41;1495;1.1457934123648488
42;2325;1.145220850864816
43;745;1.1385751944320472
44;2155;1.137915833043596
45;1515;1.1349729303752503
46;1815;1.1313427681321078
47;1745;1.128607142487174
48;1485;1.1285398583138693
49;415;1.1112626793278901
50;1385;1.1106847954150085
51;1905;1.1026128033776261
52;1805;1.0993076501746266
53;1375;1.0969904064447986
54;1755;1.0912208722253576
55;1525;1.089608499598727
56;1865;1.0877590003536364
57;1475;1.0834798781691493
58;1705;1.0689014314922505
59;2035;1.0681235282959372
60;2335;1.06116529419766
61;1535;1.0544732938491534
62;1795;1.0462062071328624
63;1765;1.044544584359177
64;2435;1.0397416799714183
65;1005;1.027913733176126
66;995;1.0261649447728614
67;985;1.021943265768569
68;1015;1.01735049556172
69;2145;1.016538011772895
70;1465;1.0159870611787412
71;1395;1.014967129589253
72;1025;1.0135290914558408
73;1785;1.0107213606595706
74;975;1.0061810637812127
75;645;1.0054004367982077
76;1775;1.0053156504705052
77;425;1.0002076760114063
78;1545;0.9991598151100145
79;2345;0.9988697943610884
80;1045;0.9907976136221844
81;1055;0.9879592657880958
82;655;0.9859611791549403
83;965;0.9856002490242131
84;955;0.9844592040697515
85;1035;0.9842136464096555
86;945;0.9827457847816351
87;925;0.9754008229223529
88;635;0.974621956761456
89;935;0.9715374890470343
90;915;0.9692986444172477
91;545;0.9688428912053413
92;1065;0.9677833925457987
93;725;0.9651981359581382
94;535;0.9633064131518807
95;705;0.9627384790766287
96;905;0.9617382949834408
97;895;0.9590489231720342
98;665;0.9564200090436955
99;1555;0.9537350662078689
100;885;0.953106319396674
101;1075;0.9512612423770467
102;1405;0.9499579044115237
103;625;0.9473778141449709
104;1695;0.9395511156996973
105;2045;0.9339416854303106
106;875;0.9337638505619226
107;1455;0.929228627715331
108;1365;0.927185427898976
109;1085;0.9264295705131196
110;555;0.9249718107996269
111;1095;0.9093763011871753
112;865;0.9074389868857422
113;2135;0.9060150256459619
114;1565;0.9054681338502377
115;675;0.9047897174653801
116;615;0.9044347465239776
117;2425;0.9039178755290216
118;2355;0.8952027146871872
119;435;0.8939861919188331
120;1105;0.8808696294826165
121;1875;0.873405512752976
122;1125;0.8661299588161475
123;1115;0.8658750579858775
124;855;0.8552838789241848
125;755;0.85248459375379
126;1135;0.85034736548241
127;1575;0.8455673675725842
128;685;0.8405762531571153
129;1415;0.840161620031084
130;605;0.8395327551027516
131;715;0.8342993098402632
132;2055;0.8219127404941458
133;445;0.819345359065383
134;1445;0.8083502198696877
135;2125;0.8037742995685745
136;1585;0.8035067444729942
137;2415;0.8030176874589828
138;595;0.8023673795961371
139;1145;0.7884866901062397
140;845;0.7878862275020716
141;525;0.7784680114597635
142;2365;0.7773612583588658
143;1595;0.7738256309597458
144;1685;0.7714635384563698
145;455;0.7617960557033568
146;1235;0.7446877774394326
147;565;0.7445367759725983
148;1245;0.7427346811751497
149;585;0.7385628754260828
150;1605;0.7366678495339151
151;2065;0.7331603796148176
152;1315;0.7324800993140743
153;1225;0.731544098347469
154;1255;0.7310416648039693
155;1305;0.7288180882894884
156;835;0.7287050761035149
157;1215;0.7276424905232294
158;1265;0.7235059866161416
159;2115;0.721949868073739
160;1155;0.7205068072574156
161;1355;0.7167423977804651
162;2405;0.7151237668679902
163;465;0.7151078927051036
164;1205;0.7131552921690819
165;1295;0.7100135024213304
166;1175;0.7097097114043263
167;2375;0.7084565454109092
168;765;0.7079436955654435
169;1275;0.70775229207218
170;1895;0.7074686803217289
171;1165;0.7037277442922341
172;1195;0.703556492389234
173;1285;0.7032563583027418
174;1185;0.702409105416406
175;1325;0.7010132950238361
176;1615;0.6991453514932939
177;825;0.6958350263562351
178;695;0.6929544200886084
179;1425;0.6910526318276464
180;475;0.6846559738163149
181;1885;0.6824183089347468
182;815;0.6806746611813757
183;1435;0.678777185914418
184;515;0.678502625340671
185;805;0.6772847926785419
186;505;0.6770624211367204
187;795;0.674972323031039
188;2395;0.6748261907810215
189;2075;0.6747884766611386
190;2385;0.6737309440170147
191;775;0.6723772300426081
192;785;0.6717061349320148
193;575;0.6673064147510555
194;2105;0.667302040755168
195;485;0.6672164922074363
196;495;0.6639836293544431
197;1625;0.6504755785229378
198;2085;0.6418870090881592
199;1335;0.6416913042670795
200;2095;0.6381047055233939
201;1675;0.61706210885879
202;1635;0.6041002952368172
203;1645;0.5729532207878347
204;1345;0.568400567748457
205;1655;0.542406488930522
206;1665;0.5388780790209059
