seed;fold;classe_real_nirrig;classe_predita_nirrig;score_plsda
42;1;1;0;0.4973383051358522
42;1;1;0;0.4899296072255685
42;1;1;1;0.6002252330199009
42;1;0;0;0.28316175341027194
42;1;0;0;0.27537305373967425
42;1;0;0;0.04658750001792866
42;1;1;0;0.4762054951053655
42;1;1;0;0.47405700430453923
42;1;0;0;0.33611880360732205
42;1;0;0;0.3060536684108217
42;1;0;0;0.27683710041398457
42;1;1;0;0.4903729066358887
42;1;1;1;0.7013898812808308
42;1;1;1;0.6945818192281747
42;1;0;1;0.6546897056419085
42;1;0;0;0.018567947813938113
42;2;0;1;0.7370164557740344
42;2;0;1;0.6328953557538821
42;2;0;1;0.6281341150888475
42;2;1;1;0.6162054159569434
42;2;1;1;0.6479381876728338
42;2;0;0;0.28421121093772234
42;2;0;0;-0.09848329034022962
42;2;0;0;-0.13563059391809018
42;2;1;1;0.8333750320832175
42;2;1;1;0.5182365185911075
42;2;0;1;0.6822106673015844
42;2;0;0;0.11838932315978262
42;2;1;1;0.735842439817729
42;2;1;1;0.7166033459731319
42;2;1;1;0.6533497082270369
42;2;1;1;0.61804914289752
42;3;0;1;0.6928109033812873
42;3;1;1;0.5723126107975872
42;3;1;1;0.6711183928550399
42;3;0;0;0.37782902399079654
42;3;0;0;-0.12006488113745806
42;3;1;1;0.7612085765951466
42;3;1;1;0.549939212256576
42;3;0;1;0.5847828936712108
42;3;0;1;0.550446789595311
42;3;0;1;0.521799117336745
42;3;1;1;0.5277795438020699
42;3;1;1;0.7515157737562346
42;3;1;1;0.7486378918980982
42;3;0;1;0.7121291934562326
42;3;0;0;0.001427317110753057
42;3;1;1;0.6460751447886584
42;4;0;1;0.8566894939447045
42;4;0;1;0.8374078858428684
42;4;0;1;0.7015353602056984
42;4;0;1;0.6912174346473144
42;4;1;1;0.694481555222109
42;4;1;1;0.8586393341051629
42;4;1;1;0.8625169202960379
42;4;1;0;0.4222807044094852
42;4;0;0;0.1472359407437565
42;4;0;1;0.5466361404085953
42;4;1;0;0.472759538234533
42;4;0;1;0.644724426493462
42;4;0;0;0.0742228438554075
42;4;1;1;0.7427399060379862
42;4;1;1;0.6477253427423368
42;4;1;1;0.6443719532091237
43;1;0;1;0.6298832135831709
43;1;0;1;0.6261096219175197
43;1;1;1;0.5653381928158622
43;1;0;0;0.47716876212806714
43;1;1;1;0.6286495503433409
43;1;1;1;0.6392058824160407
43;1;0;0;0.1539016973427263
43;1;0;1;0.5998108510827741
43;1;0;1;0.5240976346478652
43;1;1;0;0.37965696580615166
43;1;1;0;0.3286175137437741
43;1;1;1;0.7320818834433505
43;1;0;0;0.006543053050998782
43;1;0;0;-0.025125276439663446
43;1;1;1;0.5922322082329625
43;1;1;1;0.5822724148154578
43;2;0;1;0.6681317284486157
43;2;0;1;0.6480465710834182
43;2;0;1;0.5975121523665998
43;2;0;1;0.5750426338824605
43;2;1;1;0.71291129051371
43;2;1;1;0.6447970070117416
43;2;0;0;0.40498094550899644
43;2;1;1;0.7819598036981941
43;2;1;1;0.7432506511950487
43;2;1;1;0.5443082279743054
43;2;0;0;0.24011418686851888
43;2;0;0;0.16297403493856388
43;2;0;1;0.5608266615119957
43;2;1;0;0.3903889499077206
43;2;1;1;0.6883772062302533
43;2;1;1;0.6115289573576924
43;3;0;0;0.07230181819098186
43;3;1;1;0.542676042208017
43;3;1;0;0.3212249000740562
43;3;1;0;0.2863189525111012
43;3;0;0;0.1199721917678021
43;3;0;0;0.09137708697599989
43;3;1;0;0.18952115403147557
