posicao;banda_nm;vip
1;745;1.5575169036326593
2;1925;1.4937616532496605
3;1935;1.4913163384598715
4;1945;1.4616961921961
5;755;1.4571003560763185
6;1915;1.4540669973264682
7;1955;1.4137387362818945
8;2265;1.3725971672705124
9;1965;1.3650013570047466
10;2275;1.3629646733547758
11;405;1.3511108389527344
12;1905;1.347518015226256
13;765;1.34353687550439
14;1975;1.3190702527697096
15;2285;1.3189518435837522
16;735;1.3154882023736039
17;2255;1.3141118212322636
18;2295;1.2892513628007645
19;415;1.278497703282665
20;1985;1.2771160696125345
21;1505;1.2586470069990157
22;1515;1.2573950511287373
23;2305;1.2560754941627934
24;1495;1.2540205202351813
25;425;1.250555057371397
26;775;1.248560089413054
27;1485;1.2450462319366327
28;1525;1.240400618887743
29;1995;1.2381700860148062
30;2450;1.2380271623560652
31;1475;1.2327261545608743
32;2245;1.224595943861613
33;2445;1.2210244670780224
34;1465;1.2185605800409498
35;2175;1.2091576624291076
36;1535;1.2055424326127429
37;2185;1.2005406697290877
38;2005;1.1999009234641946
39;2165;1.199872702659234
40;1455;1.1981277913904131
41;785;1.194217718742225
42;435;1.1938069731516305
43;2195;1.183789692216274
44;2155;1.179594883366596
45;2205;1.1661983704570529
46;795;1.164283852602009
47;2235;1.1616149818518977
48;2015;1.1571186860294516
49;1895;1.15694764705976
50;1445;1.1556364421395402
51;445;1.1540326082315933
52;2315;1.1516331304025735
53;2215;1.1486839398244602
54;1545;1.1439124425561413
55;2225;1.143185636199331
56;805;1.142137348516941
57;2145;1.1399355044126362
58;2435;1.1305196213269113
59;815;1.1153956894428805
60;455;1.1147506906050637
61;1835;1.109576517527507
62;2025;1.1079812125263817
63;1305;1.0984497547236634
64;2135;1.0979249465804573
65;1435;1.0875653231498605
66;465;1.0825750531598495
67;1295;1.0799033063437056
68;2425;1.0771379822104916
69;825;1.0728272207096232
70;2325;1.0670607505171852
71;1555;1.0582528683923187
72;2035;1.0524783621641192
73;475;1.0523694159737689
74;2125;1.0480423667857413
75;2415;1.0381621635972922
76;1845;1.0364223063610691
77;1285;1.027505751039804
78;1315;1.0250082770081343
79;485;1.0233465760576084
80;1425;1.0185791084384477
81;835;1.0148823322844982
82;2335;1.001774350009816
83;2045;0.9976470457799417
84;495;0.9940015105105127
85;2115;0.9937908741353484
86;1275;0.9923001784473299
87;2405;0.9909995230880033
88;1265;0.9761037077981923
89;1415;0.9704785794305141
90;1885;0.9676364568847678
91;845;0.9585473979714048
92;1405;0.9561283006118501
93;1255;0.954202746731308
94;505;0.9532665382717476
95;2395;0.9522578108995492
96;2345;0.9502936834603265
97;1565;0.9498786229657549
98;685;0.9491039746326958
99;2055;0.9468535873828973
100;2105;0.94647189131548
101;1335;0.9448610314001661
102;1325;0.9448207839552207
103;595;0.9430003998184514
104;1245;0.9420577658139359
105;1395;0.9364820838798613
106;585;0.9333713705350021
107;605;0.9332546171042326
108;1345;0.9285535526629541
109;1855;0.9280291383109129
110;1045;0.9279002470029487
111;2385;0.9248907311619299
112;1235;0.9247397626329937
113;1015;0.9232227468122083
114;675;0.9228341237360435
115;995;0.9222098867655721
116;1025;0.9219051024558661
117;1035;0.9203658471864479
118;1055;0.9180194257275905
119;855;0.9174327021351193
120;615;0.9154202359460317
121;635;0.9149527603413466
122;575;0.9135351056913806
123;985;0.912461818976413
124;625;0.9111985358116694
125;2065;0.9096087786610868
126;2355;0.9093094087526706
127;2095;0.9078271453138999
128;1005;0.9074658129003078
129;1065;0.9046750447433857
130;515;0.9042337849970017
131;645;0.9039669453904547
132;1225;0.9032993331324686
133;665;0.9026007754727599
134;2375;0.9013503013815645
135;1155;0.8970619185192884
136;1165;0.8960913927452443
137;655;0.8956175756924623
138;2365;0.8945377868721006
139;975;0.893145601517361
140;1175;0.8929949299885387
141;1215;0.8909475916834292
142;1145;0.8894893326714306
143;955;0.8891988377338289
144;1185;0.8882797195610965
145;2075;0.8880116474045167
146;2085;0.8868618023918173
147;965;0.8859987365147016
148;1205;0.8856632458695244
149;865;0.8851990277563685
150;1195;0.8847635690107791
151;945;0.8767988598263547
152;1075;0.8716993146515787
153;875;0.8705972928431694
154;935;0.8685485751885056
155;1135;0.8677538182585551
156;925;0.8636531717246805
157;885;0.8631286791183991
158;1875;0.8622251657593931
159;695;0.8616564542092516
160;915;0.8615896797523093
161;905;0.8596600050923868
162;895;0.8591583939586259
163;1865;0.8542434433509486
164;1575;0.8511236094381831
165;565;0.8508206068047758
166;1125;0.8282841570429457
167;1085;0.8109132508398881
168;1355;0.8065931451165583
169;525;0.805424727213423
170;715;0.7881087591900866
171;555;0.7791923954484203
172;1115;0.7789352887217343
173;1585;0.7707336332886855
174;1095;0.7591048941756496
175;1105;0.7519430866183774
176;545;0.7327097055600995
177;535;0.7218448338405284
178;1385;0.7203514716193993
179;1805;0.6976133084033534
180;1595;0.6964154163893584
181;705;0.6915440630021412
182;1815;0.6861084119111617
183;1795;0.6822613249526399
184;1365;0.6796751399447972
185;1785;0.6758107359158898
186;1825;0.6755070219631083
187;1775;0.666887028085271
188;1605;0.6561896156684092
189;1765;0.6512005296522894
190;1755;0.6367934237334504
191;1615;0.6187515072417646
192;1745;0.5984721768323213
193;1375;0.5961198308808988
194;1735;0.5879379296825058
195;1625;0.5840791545481465
196;1725;0.5670521146357992
197;1635;0.5509593144906941
198;1645;0.5229410185353331
199;1715;0.4973789323774618
200;1655;0.47215948196942054
201;1665;0.3767935671764748
202;1705;0.34845263128145515
203;1675;0.22882469126798977
204;1695;0.1761211033247436
205;725;0.1416503091048227
206;1685;0.04157183380193235
