genotipo;dia;posicao;banda_nm;importancia_permutacao_media;importancia_permutacao_dp;importancia_gini;p_valor;q_fdr;epsilon2;delta_cliff;significativa;abs_delta_cliff
BR16;D02;1;1941;0.0208333333333333;0.0360843918243516;0.0770894957747679;7.836135331371369e-08;1.1479938260459052e-05;0.4491315136476427;0.78125;True;0.78125
BR16;D02;2;1951;0.0208333333333333;0.0360843918243516;0.066392435553693;2.5144297021468853e-08;6.962397561374763e-06;0.4846803272332506;0.810546875;True;0.810546875
BR16;D02;3;1921;0.0208333333333333;0.0360843918243516;0.0614706122385013;8.348951637883459e-05;0.0032308867564715;0.2335094215260546;0.572265625;True;0.572265625
BR16;D02;4;1931;0.0208333333333333;0.0360843918243516;0.0435540345449224;2.7985078347434786e-05;0.0014717280946304;0.2669354838709677;0.609375;True;0.609375
BR16;D02;5;1961;0.0;0.0;0.0603610392206535;7.247186020243136e-07;6.125086496367872e-05;0.3798106001861042;0.720703125;True;0.720703125
BR16;D03;1;1948;0.0208333333333333;0.0360843918243516;0.0236336040533245;5.527544589706613e-10;4.0927776005372795e-09;0.6045401674937965;0.90234375;True;0.90234375
BR16;D03;2;1341;0.0;0.0;0.0514824935904406;7.407299726217156e-11;3.412504748200997e-09;0.6678766671836229;-0.947265625;True;0.947265625
BR16;D03;3;2008;0.0;0.0;0.0474338313157634;4.658418529041903e-10;3.776449171171914e-09;0.609925558312655;0.90625;True;0.90625
BR16;D03;4;751;0.0;0.0;0.0452860538524427;1.1832237171156026e-09;7.034179257403192e-09;0.5805937887717122;-0.884765625;True;0.884765625
BR16;D03;5;2028;0.0;0.0;0.0402301354222632;4.658418529041903e-10;3.776449171171914e-09;0.609925558312655;0.90625;True;0.90625
BR16;D04;1;1956;0.0208333333333333;0.0360843918243516;0.0532211281559996;1.535428098057167e-05;0.0001693227138468;0.2853714330024814;0.62890625;True;0.62890625
BR16;D04;2;1966;0.0208333333333333;0.0360843918243516;0.0178006058006057;2.0773766351563425e-05;0.0001836508395993;0.2760807614764268;0.619140625;True;0.619140625
BR16;D04;3;1906;0.0208333333333333;0.0360843918243516;0.0132577905911239;0.0002106459968163;0.0014072799331278;0.2053815136476427;0.5390625;True;0.5390625
BR16;D04;4;1976;0.0208333333333333;0.0360843918243516;0.0076487187467579;1.7336796639612595e-05;0.0001693227138468;0.2816377171215881;0.625;True;0.625
BR16;D04;5;475;0.0208333333333333;0.0360843918243516;0.0;0.0026324803420657;0.0147519595125053;0.1297766749379652;-0.4375;True;0.4375
BR16;D05;1;1458;0.0;0.0;0.05;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;1.0;True;1.0
BR16;D05;2;821;0.0;0.0;0.04;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
BR16;D05;3;1121;0.0;0.0;0.04;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
BR16;D05;4;515;0.0;0.0;0.03;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
BR16;D05;5;605;0.0;0.0;0.03;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
BR16;D06;1;1611;0.0104166666666666;0.0180421959121758;0.0;9.041260826253434e-12;1.4612786410280373e-11;0.7342897022332507;0.9921875;True;0.9921875
BR16;D06;2;1621;0.0104166666666666;0.0180421959121758;0.0;1.4396425455681949e-11;2.0113806954770888e-11;0.7195903768610422;0.982421875;True;0.982421875
BR16;D06;3;828;0.0;0.0;0.04;6.211923275036763e-12;1.1667266151190843e-11;0.7461538461538462;-1.0;True;1.0
BR16;D06;4;1098;0.0;0.0;0.03;6.211923275036763e-12;1.1667266151190843e-11;0.7461538461538462;-1.0;True;1.0
BR16;D06;5;1128;0.0;0.0;0.03;6.211923275036763e-12;1.1667266151190843e-11;0.7461538461538462;-1.0;True;1.0
BR16;D09;1;2033;0.0364583333333333;0.0631476856926153;0.0140106214588973;6.749464436755784e-08;6.853045326626787e-07;0.4537957506203474;0.78515625;True;0.78515625
BR16;D09;2;2083;0.0364583333333333;0.0631476856926153;0.0108900294992483;3.148956441844384e-05;0.0001268862409081;0.2633180831265508;0.60546875;True;0.60546875
BR16;D09;3;2053;0.0364583333333333;0.0631476856926153;0.0029072508768903;5.49047958631088e-07;3.830263139974018e-06;0.3884411833126551;0.728515625;True;0.728515625
BR16;D09;4;2043;0.0364583333333333;0.0631476856926153;0.0;1.635704831930318e-07;1.4155403418941275e-06;0.4261592741935484;0.76171875;True;0.76171875
BR16;D09;5;2073;0.0260416666666666;0.0451054897804395;0.0051631686887853;1.0622076677453249e-05;4.940108676974288e-05;0.296712158808933;0.640625;True;0.640625
BR16;D10;1;1783;0.0416666666666666;0.0607390822379718;0.0053075010486376;0.0013951013683914;0.0070303511217958;0.1485848325062034;-0.46484375;True;0.46484375
BR16;D10;2;1943;0.0416666666666666;0.0721687836487032;0.0187111580271335;0.000137117000352;0.0057568326799681;0.2184088089330025;0.5546875;True;0.5546875
BR16;D10;3;1743;0.0364583333333333;0.0631476856926153;0.0064453016065919;0.0013315590671429;0.0070303511217958;0.1499718905086849;-0.466796875;True;0.466796875
BR16;D10;4;1903;0.03125;0.0429490169335173;0.0347018253742105;0.0440018610391889;0.0645088041396543;0.0492982320099255;0.29296875;False;0.29296875
BR16;D10;5;1733;0.03125;0.0666992108065921;0.0166480363453873;0.0006172382545422;0.0061753934637368;0.1729557614764268;-0.498046875;True;0.498046875
CD202;D02;1;1325;0.0260416666666666;0.0270632938682637;0.0241110735559347;1.201848975466066e-05;0.0001304228703005;0.2929086538461539;-0.63671875;True;0.63671875
CD202;D02;2;1335;0.0208333333333333;0.0208333333333333;0.0505936231760258;2.285823180339581e-06;5.2676666773893045e-05;0.3441687344913152;-0.6875;True;0.6875
CD202;D02;3;1315;0.015625;0.0270632938682637;0.0444396348555064;4.467771099432264e-05;0.0003127439769602;0.252605459057072;-0.59375;True;0.59375
CD202;D02;4;1305;0.015625;0.0270632938682637;0.0397003926170303;7.894407298562638e-05;0.0004833262498314;0.2352163461538461;-0.57421875;True;0.57421875
CD202;D02;5;1235;0.0104166666666666;0.0180421959121758;0.0118990458639646;0.000288590960955;0.0011767396837353;0.1958553039702233;-0.52734375;True;0.52734375
CD202;D03;1;1936;0.0104166666666666;0.0180421959121758;0.0823594470046083;6.211923275036763e-12;1.7452951557671782e-10;0.7461538461538462;1.0;True;1.0
CD202;D03;2;1530;0.0052083333333333;0.0090210979560879;0.0;1.758925589356902e-07;5.281927355448032e-07;0.42389403691067;0.759765625;True;0.759765625
CD202;D03;3;1986;0.0;0.0;0.0717582417582417;6.211923275036763e-12;1.7452951557671782e-10;0.7461538461538462;1.0;True;1.0
CD202;D03;4;1966;0.0;0.0;0.0622080386406762;6.211923275036763e-12;1.7452951557671782e-10;0.7461538461538462;1.0;True;1.0
CD202;D03;5;1956;0.0;0.0;0.0617204301075268;6.211923275036763e-12;1.7452951557671782e-10;0.7461538461538462;1.0;True;1.0
CD202;D04;1;1968;0.0572916666666666;0.0992320775169669;0.0456858817238009;5.6600257038351806e-11;4.7462581345843605e-09;0.6763647642679901;0.953125;True;0.953125
CD202;D04;2;1348;0.0572916666666666;0.0992320775169669;0.0246125365390448;4.773932691857704e-07;1.9427253871032045e-06;0.3927913694168735;-0.732421875;True;0.732421875
CD202;D04;3;2447;0.015625;0.0270632938682637;0.0191860038093302;5.630269350745034e-09;1.0692298554053764e-07;0.5315873138957816;0.84765625;True;0.84765625
CD202;D04;4;2438;0.015625;0.0270632938682637;0.0073389631714754;1.7063912624987695e-08;2.2011374084182242e-07;0.4968207196029777;0.8203125;True;0.8203125
CD202;D04;5;1568;0.0104166666666666;0.0180421959121758;0.0522992587807416;1.4594891509357258e-08;2.036334862972227e-07;0.5017175868486352;0.82421875;True;0.82421875
CD202;D05;1;1960;0.0;0.0;0.0871111111111111;6.211923275036763e-12;1.7217100860946486e-10;0.7461538461538462;1.0;True;1.0
CD202;D05;2;1940;0.0;0.0;0.0758260359997332;6.211923275036763e-12;1.7217100860946486e-10;0.7461538461538462;1.0;True;1.0
CD202;D05;3;1950;0.0;0.0;0.0754825504909995;6.211923275036763e-12;1.7217100860946486e-10;0.7461538461538462;1.0;True;1.0
CD202;D05;4;1920;0.0;0.0;0.075287462638093;6.211923275036763e-12;1.7217100860946486e-10;0.7461538461538462;1.0;True;1.0
CD202;D05;5;1900;0.0;0.0;0.0647968292263835;1.8991040067982737e-11;3.5132734484348045e-10;0.710840570719603;0.9765625;True;0.9765625
CD202;D06;1;1522;0.0;0.0;0.0599999999999999;6.211923275036763e-12;3.2173370295708084e-11;0.7461538461538462;1.0;True;1.0
CD202;D06;2;1942;0.0;0.0;0.0499999999999999;6.211923275036763e-12;3.2173370295708084e-11;0.7461538461538462;1.0;True;1.0
CD202;D06;3;2432;0.0;0.0;0.0499999999999999;6.211923275036763e-12;3.2173370295708084e-11;0.7461538461538462;1.0;True;1.0
CD202;D06;4;763;0.0;0.0;0.0399999999999999;6.211923275036763e-12;3.2173370295708084e-11;0.7461538461538462;-1.0;True;1.0
CD202;D06;5;1902;0.0;0.0;0.0399999999999999;6.211923275036763e-12;3.2173370295708084e-11;0.7461538461538462;1.0;True;1.0
CD202;D09;1;771;0.0;0.0;0.05;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;-1.0;True;1.0
CD202;D09;2;1460;0.0;0.0;0.05;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;1.0;True;1.0
CD202;D09;3;675;0.0;0.0;0.04;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;-1.0;True;1.0
CD202;D09;4;821;0.0;0.0;0.04;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;-1.0;True;1.0
CD202;D09;5;2446;0.0;0.0;0.04;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;1.0;True;1.0
CD202;D10;1;1347;0.0833333333333333;0.0883883476483184;0.0263917725075868;1.1557460629092276e-10;2.3704351750268263e-09;0.6538461538461539;-0.9375;True;0.9375
CD202;D10;2;405;0.0572916666666666;0.0992320775169669;0.0302234238835919;7.496890411186199e-12;1.0167393306209838e-09;0.7402101426799007;-0.99609375;True;0.99609375
CD202;D10;3;720;0.0520833333333333;0.0598391942347711;0.0494070569119064;1.9497641198802688e-09;1.5033707555918913e-08;0.5648912453473945;0.873046875;True;0.873046875
CD202;D10;4;435;0.0520833333333333;0.090210979560879;0.0369346673660399;2.0820600627050864e-11;1.0167393306209838e-09;0.7079356001861042;-0.974609375;True;0.974609375
CD202;D10;5;1357;0.0520833333333333;0.090210979560879;0.0092611011770675;1.65189624758704e-09;1.3606583147795257e-08;0.5701021634615385;-0.876953125;True;0.876953125
EMB48;D02;1;1352;0.0364583333333333;0.0518222623493031;0.0190061357489283;0.0162407194133553;0.1441979026700947;0.0770422999379652;-0.349609375;False;0.349609375
EMB48;D02;2;712;0.0208333333333333;0.0360843918243516;0.0443514182159959;0.0010520450702098;0.1060960660947109;0.1569944168734491;0.4765625;False;0.4765625
EMB48;D02;3;732;0.0208333333333333;0.0360843918243516;0.0335351102656062;0.0016782439451431;0.1060960660947109;0.1430947580645161;0.45703125;False;0.45703125
EMB48;D02;4;545;0.0208333333333333;0.0360843918243516;0.0300873023165704;0.0046094712250839;0.1060960660947109;0.1133326225186104;0.412109375;False;0.412109375
EMB48;D02;5;565;0.0208333333333333;0.0360843918243516;0.025859552923287;0.0026324803420657;0.1060960660947109;0.1297766749379652;0.4375;False;0.4375
EMB48;D03;1;1958;0.0;0.0;0.1064683957031009;6.211923275036763e-12;2.0886319077213767e-10;0.7461538461538462;1.0;True;1.0
EMB48;D03;2;1918;0.0;0.0;0.0905618601709356;6.211923275036763e-12;2.0886319077213767e-10;0.7461538461538462;1.0;True;1.0
EMB48;D03;3;1948;0.0;0.0;0.0841375204472829;6.211923275036763e-12;2.0886319077213767e-10;0.7461538461538462;1.0;True;1.0
EMB48;D03;4;1938;0.0;0.0;0.0746980699612278;6.211923275036763e-12;2.0886319077213767e-10;0.7461538461538462;1.0;True;1.0
EMB48;D03;5;415;0.0;0.0;0.0512156261346801;2.7407301401734215e-11;5.006847391212819e-10;0.6992555831265509;-0.96875;True;0.96875
EMB48;D04;1;1923;0.03125;0.0541265877365274;0.0728678672278608;8.854639676881703e-11;1.2475974605404349e-08;0.6622470145781638;0.943359375;True;0.943359375
EMB48;D04;2;1943;0.0208333333333333;0.0607390822379718;0.0549960013382822;2.5456520062152733e-10;1.83706303464482e-08;0.6289576225186104;0.919921875;True;0.919921875
EMB48;D04;3;1375;0.015625;0.0172740874497677;0.0781448935150957;5.194701821703936e-09;1.6911640375102816e-07;0.534114260235732;-0.849609375;True;0.849609375
EMB48;D04;4;1933;0.0104166666666666;0.0429490169335172;0.012882296988824;1.0577309909764451e-10;1.2475974605404349e-08;0.6566406250000001;0.939453125;True;0.939453125
EMB48;D04;5;705;0.0052083333333333;0.0090210979560879;0.0142955439102773;2.4417887923868625e-06;3.2948084297272725e-05;0.3421244959677419;0.685546875;True;0.685546875
EMB48;D05;1;425;0.0;0.0;0.0730175716397484;2.7407301401734215e-11;1.0095774247855356e-09;0.6992555831265509;-0.96875;True;0.96875
EMB48;D05;2;1959;0.0;0.0;0.0677598881437693;2.7407301401734215e-11;1.0095774247855356e-09;0.6992555831265509;0.96875;True;0.96875
EMB48;D05;3;1969;0.0;0.0;0.0550370319044672;2.7407301401734215e-11;1.0095774247855356e-09;0.6992555831265509;0.96875;True;0.96875
EMB48;D05;4;1979;0.0;0.0;0.047657125661612;3.289005542750451e-11;1.0378077489509498e-09;0.6934979838709678;0.96484375;True;0.96484375
EMB48;D05;5;435;0.0;0.0;0.0451966121125047;6.773130231199793e-11;1.780985910793689e-09;0.6707002171215881;-0.94921875;True;0.94921875
EMB48;D06;1;779;0.0;0.0;0.0606177606177606;6.211923275036763e-12;6.328882578377402e-11;0.7461538461538462;-1.0;True;1.0
EMB48;D06;2;425;0.0;0.0;0.06;6.211923275036763e-12;6.328882578377402e-11;0.7461538461538462;-1.0;True;1.0
EMB48;D06;3;749;0.0;0.0;0.0511764705882352;6.211923275036763e-12;6.328882578377402e-11;0.7461538461538462;-1.0;True;1.0
EMB48;D06;4;1949;0.0;0.0;0.0487774493705528;7.496890411186199e-12;6.328882578377402e-11;0.7402101426799007;0.99609375;True;0.99609375
EMB48;D06;5;1939;0.0;0.0;0.0481970541970541;9.041260826253434e-12;6.328882578377402e-11;0.7342897022332507;0.9921875;True;0.9921875
EMB48;D09;1;405;0.0208333333333333;0.0360843918243516;0.0396015250698434;1.65189624758704e-09;1.3559556900098416e-07;0.5701021634615385;-0.876953125;True;0.876953125
EMB48;D09;2;721;0.015625;0.0270632938682637;0.0623465402246413;1.1832237171156026e-09;1.3559556900098416e-07;0.5805937887717122;0.884765625;True;0.884765625
EMB48;D09;3;711;0.015625;0.0270632938682637;0.0498057224243921;5.630269350745034e-09;1.7765665289812406e-07;0.5315873138957816;0.84765625;True;0.84765625
EMB48;D09;4;1928;0.015625;0.0172740874497677;0.0011890218156228;2.942002935189199e-09;1.3641764502158844e-07;0.5519657258064516;0.86328125;True;0.86328125
EMB48;D09;5;1938;0.0104166666666666;0.0180421959121758;0.0343979598180492;1.9497641198802688e-09;1.3559556900098416e-07;0.5648912453473945;0.873046875;True;0.873046875
EMB48;D10;1;1355;0.0364583333333333;0.037194939731994;0.0403931557726436;9.041260826253434e-12;7.726510814435745e-10;0.7342897022332507;-0.9921875;True;0.9921875
EMB48;D10;2;715;0.015625;0.0270632938682637;0.0964499572783809;6.211923275036763e-12;6.066978398619239e-10;0.7461538461538462;1.0;True;1.0
EMB48;D10;3;725;0.015625;0.0270632938682637;0.0830653793704651;6.211923275036763e-12;6.066978398619239e-10;0.7461538461538462;1.0;True;1.0
EMB48;D10;4;1365;0.015625;0.0270632938682637;0.070241513084387;1.7953490226187587e-10;8.563397314862963e-09;0.6399610344292804;-0.927734375;True;0.927734375
EMB48;D10;5;705;0.015625;0.0270632938682637;0.0513536862108157;6.192161239458065e-11;3.432465595169863e-09;0.6735295828163772;0.951171875;True;0.951171875
