posicao;banda_nm;importancia_gini
1;1951;0.07442550262159248
2;1941;0.06928420510525918
3;1921;0.06768840124872876
4;1961;0.05530781095113404
5;725;0.04894828482400922
6;715;0.04692107174895961
7;1931;0.0335414429381951
8;1971;0.029118795396214217
9;705;0.02685446143048762
10;1125;0.025803724145824408
11;1911;0.023152128255484853
12;1095;0.021076928728196494
13;1345;0.0177296674616419
14;1365;0.015831867054592507
15;415;0.01467721063355588
16;1205;0.014629714385893729
17;1535;0.013144662057227028
18;1335;0.012222797682385336
19;1115;0.012025682297329154
20;1555;0.011266580269100214
21;1845;0.010434086928020982
22;1085;0.010394672204294842
23;405;0.009738937208672745
24;1903;0.009718844361357693
25;445;0.009695344997281422
26;1505;0.009580319562928258
27;1575;0.008891207315957071
28;735;0.00887896567497112
29;1545;0.008836060099924875
30;1981;0.008774293693397746
31;1325;0.008229974330417087
32;2301;0.008097560242234571
33;2231;0.00790912523932132
34;425;0.007713249882052015
35;1105;0.007505121134365337
36;555;0.007332716323630077
37;1395;0.006986166173243815
38;1745;0.006821480035278244
39;1315;0.006513652329625633
40;1515;0.006511053689348263
41;1991;0.006190402919315239
42;1895;0.006018520906344741
43;815;0.0051551568819121
44;2211;0.00504921911891034
45;745;0.0050252956297290475
46;1595;0.004925953717178249
47;1225;0.0049100959777651524
48;795;0.004755279061385693
49;1265;0.004245656824993341
50;1195;0.004184615384615385
51;2251;0.004008995526388479
52;865;0.003998462222329012
53;1475;0.0039537310709724495
54;565;0.0037814451118029723
55;1565;0.0037654528478057877
56;2001;0.003714673554334065
57;2141;0.003697274472590968
58;1625;0.003623474270090812
59;2401;0.003479689437402686
60;875;0.00345056816321184
61;2131;0.003429498554780375
62;2241;0.003264132788990475
63;1065;0.0032169615239840913
64;2271;0.003200163457704517
65;1865;0.0030269391597978917
66;455;0.002866968325791855
67;2381;0.002842383850091762
68;1755;0.002785848634124496
69;1375;0.0026285403050108937
70;1465;0.002592592592592592
71;1835;0.002576440434107346
72;1855;0.0025514041514041515
73;2311;0.0024650086755349915
74;1605;0.00241357636706474
75;1525;0.0023685636856368556
76;1385;0.0023665527939411095
77;575;0.002314894599724321
78;495;0.0022758947146043922
79;635;0.0022591506462474203
80;1075;0.0022583559168925025
81;1485;0.002186234817813765
82;435;0.002164502164502164
83;1615;0.0020889965574397563
84;755;0.002088901838901839
85;2111;0.002068595204079075
86;545;0.0020581243769649564
87;895;0.002021204601849763
88;1245;0.0020140302640302634
89;1255;0.0019047619047619048
90;1425;0.0018881626724763967
91;1875;0.0017272744208507522
92;2291;0.0016952038596159302
93;2081;0.0016732026143790849
94;2161;0.0016501239576290291
95;1675;0.001563377433864907
96;765;0.0015075808865024542
97;1015;0.0015015015015015015
98;1685;0.001473214285714286
99;1415;0.0014012041598248496
100;2421;0.001293331604391512
101;955;0.0012324929971988799
102;2151;0.0012012012012012011
103;2371;0.0011873840445269016
104;1055;0.0011669362895169353
105;685;0.0011013417224597347
106;615;0.0010809289232934552
107;945;0.0010724759111855886
108;1145;0.0010088669950738913
109;1285;0.0009716599190283401
110;805;0.00093841642228739
111;675;0.0008366013071895423
112;1885;0.0007366174376752939
113;1355;0.000633356790992259
114;1035;0.0006108374384236454
115;2031;0.000601307189542484
116;1005;0.0005856209150326799
117;655;0.0005757984705353126
118;1705;0.0005714285714285716
119;1815;0.0005555555555555556
120;1025;0.0005213424568263278
121;2281;0.0005182186234817813
122;1165;0.000469208211143695
123;475;0.00045601688951442653
124;1715;0.00042328042328042324
125;1695;0.0004203612479474548
126;985;0.00028785607196401815
127;2101;0.00023448219867657172
128;625;0.0001792717086834739
129;2391;0.0
130;2441;0.0
131;2321;0.0
132;2331;0.0
133;2341;0.0
134;2431;0.0
135;2201;0.0
136;2261;0.0
137;2221;0.0
138;2011;0.0
139;2021;0.0
140;2191;0.0
141;2041;0.0
142;2181;0.0
143;2361;0.0
144;2051;0.0
145;2171;0.0
146;2061;0.0
147;2071;0.0
148;2411;0.0
149;2121;0.0
150;2091;0.0
151;2351;0.0
152;1435;0.0
153;1825;0.0
154;775;0.0
155;965;0.0
156;935;0.0
157;925;0.0
158;915;0.0
159;905;0.0
160;885;0.0
161;855;0.0
162;845;0.0
163;835;0.0
164;825;0.0
165;785;0.0
166;695;0.0
167;1805;0.0
168;665;0.0
169;645;0.0
170;605;0.0
171;595;0.0
172;585;0.0
173;535;0.0
174;525;0.0
175;515;0.0
176;505;0.0
177;485;0.0
178;465;0.0
179;975;0.0
180;995;0.0
181;1045;0.0
182;1135;0.0
183;1795;0.0
184;1785;0.0
185;1775;0.0
186;1765;0.0
187;1735;0.0
188;1725;0.0
189;1665;0.0
190;1655;0.0
191;1645;0.0
192;1635;0.0
193;1585;0.0
194;1495;0.0
195;1455;0.0
196;1445;0.0
197;1405;0.0
198;1305;0.0
199;1295;0.0
200;1275;0.0
201;1235;0.0
202;1215;0.0
203;1185;0.0
204;1175;0.0
205;1155;0.0
206;2448;0.0
