posicao;banda_nm;importancia_gini
1;1960;0.0856884817943304
2;1920;0.08036459836459836
3;1950;0.07696048079168284
4;1940;0.07475920622191673
5;1900;0.07337454921174275
6;1970;0.04691202152434031
7;1910;0.03512771220463528
8;415;0.03280920584449996
9;445;0.030018118792112598
10;1990;0.027664508853676394
11;1151;0.018780912574016023
12;2448;0.0182174688057041
13;1161;0.01818932232725336
14;2010;0.017768930681412748
15;1221;0.017114504608341293
16;495;0.015853820598006645
17;465;0.015815340101785116
18;1570;0.01569151590508654
19;1321;0.015596638655462182
20;1530;0.015585967198870425
21;405;0.015156070073717132
22;1550;0.015094474153297682
23;2090;0.014834144183989383
24;1440;0.010983958158596646
25;1520;0.010435927059542082
26;435;0.01016675291817607
27;2040;0.01
28;1980;0.009918992884510125
29;1930;0.009744961263486715
30;2440;0.009595137576561726
31;425;0.009410989010989012
32;2070;0.009393939393939394
33;2050;0.009393939393939394
34;1301;0.009368836291913214
35;1181;0.008814814814814814
36;1350;0.008618800461361016
37;1500;0.008285714285714287
38;2030;0.00817142857142857
39;1540;0.007768090671316477
40;2000;0.007736516357206013
41;1470;0.0077142857142857135
42;1311;0.007306397306397308
43;2430;0.007053560932585324
44;1261;0.006823821339950371
45;1510;0.002214532871972318
46;1241;0.002172729359381195
47;1071;0.001945915752367366
48;761;0.001668295861844249
49;565;0.0016050156739811914
50;1740;0.001568627450980392
51;841;0.0012698412698412698
52;1331;0.0012681303003883645
53;891;0.00125
54;1890;0.0011822660098522167
55;981;0.001176470588235294
56;1810;0.001120448179271709
57;1360;0.001062763913972603
58;2100;0.0010599926389400073
59;722;0.00105025641025641
60;655;0.0010370370370370368
61;1590;0.0010317957904164802
62;2330;0.0010158730158730165
63;485;0.0010088669950738913
64;741;0.0009458128078817735
65;2060;0.00093841642228739
66;2230;0.000896358543417367
67;1860;0.0008636977058029688
68;605;0.0008541875208541874
69;2340;0.0008341479309221245
70;712;0.0007032967032967038
71;1370;0.0006095238095238095
72;1800;0.0005208333333333333
73;2370;0.0005019607843137254
74;1610;0.0005004887585532746
75;1420;0.000469208211143695
76;1410;0.00046875
77;455;0.0003431372549019611
78;1380;0.0003387295341318326
79;2290;0.00018405005991212894
80;1021;0.00016112126456954023
81;2170;7.256235827664408e-05
82;1790;0.0
83;1880;0.0
84;1780;0.0
85;1770;0.0
86;1820;0.0
87;1830;0.0
88;1840;0.0
89;1760;0.0
90;1850;0.0
91;1750;0.0
92;1730;0.0
93;1720;0.0
94;1870;0.0
95;615;0.0
96;535;0.0
97;2320;0.0
98;2250;0.0
99;2260;0.0
100;2270;0.0
101;2280;0.0
102;2300;0.0
103;2310;0.0
104;2350;0.0
105;2220;0.0
106;2360;0.0
107;2380;0.0
108;2390;0.0
109;2400;0.0
110;2410;0.0
111;2420;0.0
112;2240;0.0
113;2210;0.0
114;525;0.0
115;2110;0.0
116;515;0.0
117;505;0.0
118;475;0.0
119;2020;0.0
120;1700;0.0
121;2080;0.0
122;2120;0.0
123;2200;0.0
124;2130;0.0
125;2140;0.0
126;2150;0.0
127;2160;0.0
128;2180;0.0
129;2190;0.0
130;1710;0.0
131;555;0.0
132;1690;0.0
133;861;0.0
134;881;0.0
135;901;0.0
136;911;0.0
137;921;0.0
138;931;0.0
139;941;0.0
140;951;0.0
141;961;0.0
142;971;0.0
143;991;0.0
144;1001;0.0
145;1011;0.0
146;1031;0.0
147;1041;0.0
148;1051;0.0
149;871;0.0
150;851;0.0
151;1081;0.0
152;831;0.0
153;635;0.0
154;645;0.0
155;665;0.0
156;675;0.0
157;685;0.0
158;695;0.0
159;703;0.0
160;731;0.0
161;751;0.0
162;771;0.0
163;781;0.0
164;791;0.0
165;801;0.0
166;811;0.0
167;821;0.0
168;1061;0.0
169;1091;0.0
170;1680;0.0
171;1390;0.0
172;1450;0.0
173;1460;0.0
174;1480;0.0
175;1490;0.0
176;625;0.0
177;1560;0.0
178;545;0.0
179;1580;0.0
180;1600;0.0
181;1620;0.0
182;1630;0.0
183;1640;0.0
184;1650;0.0
185;1660;0.0
186;1670;0.0
187;1400;0.0
188;1341;0.0
189;1101;0.0
190;575;0.0
191;1111;0.0
192;1121;0.0
193;1131;0.0
194;1141;0.0
195;595;0.0
196;1171;0.0
197;1191;0.0
198;1201;0.0
199;1211;0.0
200;585;0.0
201;1231;0.0
202;1251;0.0
203;1271;0.0
204;1281;0.0
205;1291;0.0
206;1430;0.0
