seed;fold;condicao_real;classe_real_nirrig;classe_predita_nirrig;probabilidade_nirrig
42;1;NIRRIG;1;1;0.97
42;1;NIRRIG;1;1;0.97
42;1;NIRRIG;1;1;0.92
42;1;IRRIG;0;0;0.32
42;1;IRRIG;0;0;0.31
42;1;IRRIG;0;0;0.06
42;1;NIRRIG;1;1;0.98
42;1;NIRRIG;1;1;0.98
42;1;IRRIG;0;0;0.02
42;1;IRRIG;0;0;0.0
42;1;IRRIG;0;0;0.01
42;1;NIRRIG;1;1;0.99
42;1;NIRRIG;1;1;0.99
42;1;NIRRIG;1;1;1.0
42;1;IRRIG;0;0;0.0
42;1;IRRIG;0;0;0.0
42;2;IRRIG;0;0;0.0
42;2;IRRIG;0;0;0.0
42;2;IRRIG;0;0;0.0
42;2;NIRRIG;1;1;0.98
42;2;NIRRIG;1;1;0.98
42;2;IRRIG;0;1;0.72
42;2;IRRIG;0;0;0.01
42;2;IRRIG;0;0;0.01
42;2;NIRRIG;1;1;1.0
42;2;NIRRIG;1;1;0.99
42;2;IRRIG;0;0;0.0
42;2;IRRIG;0;0;0.01
42;2;NIRRIG;1;1;0.99
42;2;NIRRIG;1;1;0.97
42;2;NIRRIG;1;1;0.94
42;2;NIRRIG;1;1;1.0
42;3;IRRIG;0;0;0.0
42;3;NIRRIG;1;1;0.97
42;3;NIRRIG;1;1;0.9
42;3;IRRIG;0;0;0.02
42;3;IRRIG;0;0;0.01
42;3;NIRRIG;1;1;0.99
42;3;NIRRIG;1;1;0.99
42;3;IRRIG;0;0;0.02
42;3;IRRIG;0;0;0.0
42;3;IRRIG;0;0;0.0
42;3;NIRRIG;1;1;0.97
42;3;NIRRIG;1;1;0.95
42;3;NIRRIG;1;1;0.94
42;3;IRRIG;0;0;0.0
42;3;IRRIG;0;0;0.02
42;3;NIRRIG;1;1;1.0
42;4;IRRIG;0;0;0.0
42;4;IRRIG;0;0;0.0
42;4;IRRIG;0;0;0.0
42;4;IRRIG;0;0;0.0
42;4;NIRRIG;1;1;0.88
42;4;NIRRIG;1;1;0.95
42;4;NIRRIG;1;1;0.96
42;4;NIRRIG;1;1;0.99
42;4;IRRIG;0;0;0.0
42;4;IRRIG;0;0;0.0
42;4;NIRRIG;1;1;1.0
42;4;IRRIG;0;0;0.0
42;4;IRRIG;0;0;0.01
42;4;NIRRIG;1;1;0.9
42;4;NIRRIG;1;1;0.98
42;4;NIRRIG;1;1;0.97
43;1;IRRIG;0;0;0.0
43;1;IRRIG;0;0;0.0
43;1;NIRRIG;1;1;0.97
43;1;IRRIG;0;0;0.1
43;1;NIRRIG;1;1;1.0
43;1;NIRRIG;1;1;1.0
43;1;IRRIG;0;0;0.0
43;1;IRRIG;0;0;0.02
43;1;IRRIG;0;0;0.0
43;1;NIRRIG;1;1;1.0
43;1;NIRRIG;1;1;1.0
43;1;NIRRIG;1;1;1.0
43;1;IRRIG;0;0;0.02
43;1;IRRIG;0;0;0.02
43;1;NIRRIG;1;1;0.99
43;1;NIRRIG;1;1;0.97
43;2;IRRIG;0;0;0.0
43;2;IRRIG;0;0;0.0
43;2;IRRIG;0;0;0.0
43;2;IRRIG;0;0;0.0
43;2;NIRRIG;1;1;0.97
43;2;NIRRIG;1;1;0.96
43;2;IRRIG;0;0;0.23
43;2;NIRRIG;1;1;0.99
43;2;NIRRIG;1;1;0.96
43;2;NIRRIG;1;1;1.0
43;2;IRRIG;0;0;0.03
43;2;IRRIG;0;0;0.01
43;2;IRRIG;0;0;0.0
43;2;NIRRIG;1;1;0.98
43;2;NIRRIG;1;1;0.99
43;2;NIRRIG;1;1;1.0
43;3;IRRIG;0;0;0.0
43;3;NIRRIG;1;1;0.98
43;3;NIRRIG;1;1;0.86
43;3;NIRRIG;1;1;0.88
43;3;IRRIG;0;0;0.07
43;3;IRRIG;0;0;0.0
43;3;NIRRIG;1;1;0.96
43;3;NIRRIG;1;1;0.95
43;3;NIRRIG;1;1;0.97
43;3;IRRIG;0;0;0.0
43;3;IRRIG;0;0;0.0
43;3;IRRIG;0;0;0.0
43;3;IRRIG;0;0;0.05
43;3;IRRIG;0;0;0.03
43;3;NIRRIG;1;1;0.91
43;3;NIRRIG;1;1;0.99
43;4;IRRIG;0;0;0.0
43;4;NIRRIG;1;1;0.96
43;4;NIRRIG;1;1;0.95
43;4;IRRIG;0;1;0.77
43;4;IRRIG;0;0;0.21
43;4;IRRIG;0;0;0.06
43;4;IRRIG;0;0;0.05
43;4;IRRIG;0;0;0.0
43;4;NIRRIG;1;1;0.93
43;4;NIRRIG;1;1;0.99
43;4;NIRRIG;1;1;0.96
43;4;IRRIG;0;0;0.01
43;4;IRRIG;0;0;0.02
43;4;NIRRIG;1;1;1.0
43;4;NIRRIG;1;1;1.0
43;4;NIRRIG;1;1;1.0
44;1;IRRIG;0;0;0.0
44;1;NIRRIG;1;0;0.38
44;1;NIRRIG;1;0;0.38
44;1;NIRRIG;1;0;0.38
44;1;NIRRIG;1;0;0.38
44;1;NIRRIG;1;1;0.93
44;1;NIRRIG;1;1;0.94
44;1;IRRIG;0;0;0.07
44;1;IRRIG;0;0;0.01
44;1;IRRIG;0;0;0.01
44;1;NIRRIG;1;1;1.0
44;1;IRRIG;0;0;0.07
