seed;fold;condicao_real;classe_real_nirrig;classe_predita_nirrig;probabilidade_nirrig
42;1;NIRRIG;1;1;0.96
42;1;NIRRIG;1;1;0.96
42;1;NIRRIG;1;1;0.97
42;1;IRRIG;0;0;0.04
42;1;IRRIG;0;0;0.01
42;1;IRRIG;0;0;0.29
42;1;NIRRIG;1;1;0.99
42;1;NIRRIG;1;1;0.99
42;1;IRRIG;0;0;0.02
42;1;IRRIG;0;0;0.02
42;1;IRRIG;0;0;0.01
42;1;NIRRIG;1;1;0.84
42;1;NIRRIG;1;1;0.99
42;1;NIRRIG;1;1;1.0
42;1;IRRIG;0;0;0.01
42;1;IRRIG;0;0;0.09
42;2;IRRIG;0;0;0.06
42;2;IRRIG;0;0;0.07
42;2;IRRIG;0;0;0.05
42;2;NIRRIG;1;1;0.94
42;2;NIRRIG;1;1;0.98
42;2;IRRIG;0;0;0.0
42;2;IRRIG;0;0;0.07
42;2;IRRIG;0;0;0.05
42;2;NIRRIG;1;1;0.92
42;2;NIRRIG;1;1;0.98
42;2;IRRIG;0;0;0.06
42;2;IRRIG;0;0;0.48
42;2;NIRRIG;1;1;0.92
42;2;NIRRIG;1;1;0.89
42;2;NIRRIG;1;1;0.98
42;2;NIRRIG;1;1;0.98
42;3;IRRIG;0;0;0.07
42;3;NIRRIG;1;1;0.98
42;3;NIRRIG;1;1;0.99
42;3;IRRIG;0;0;0.04
42;3;IRRIG;0;0;0.01
42;3;NIRRIG;1;1;0.95
42;3;NIRRIG;1;1;0.92
42;3;IRRIG;0;0;0.12
42;3;IRRIG;0;0;0.1
42;3;IRRIG;0;0;0.16
42;3;NIRRIG;1;1;0.98
42;3;NIRRIG;1;1;0.98
42;3;NIRRIG;1;1;0.98
42;3;IRRIG;0;0;0.0
42;3;IRRIG;0;0;0.11
42;3;NIRRIG;1;1;0.96
42;4;IRRIG;0;0;0.17
42;4;IRRIG;0;0;0.1
42;4;IRRIG;0;0;0.03
42;4;IRRIG;0;0;0.03
42;4;NIRRIG;1;1;0.97
42;4;NIRRIG;1;1;0.78
42;4;NIRRIG;1;1;0.65
42;4;NIRRIG;1;1;0.98
42;4;IRRIG;0;0;0.0
42;4;IRRIG;0;0;0.04
42;4;NIRRIG;1;1;0.77
42;4;IRRIG;0;0;0.13
42;4;IRRIG;0;0;0.15
42;4;NIRRIG;1;1;0.96
42;4;NIRRIG;1;1;1.0
42;4;NIRRIG;1;1;0.99
43;1;IRRIG;0;0;0.01
43;1;IRRIG;0;0;0.08
43;1;NIRRIG;1;1;1.0
43;1;IRRIG;0;0;0.0
43;1;NIRRIG;1;1;0.88
43;1;NIRRIG;1;1;0.75
43;1;IRRIG;0;0;0.0
43;1;IRRIG;0;0;0.03
43;1;IRRIG;0;0;0.07
43;1;NIRRIG;1;1;0.92
43;1;NIRRIG;1;1;0.83
43;1;NIRRIG;1;1;1.0
43;1;IRRIG;0;0;0.17
43;1;IRRIG;0;0;0.2
43;1;NIRRIG;1;1;0.92
43;1;NIRRIG;1;1;0.95
43;2;IRRIG;0;0;0.08
43;2;IRRIG;0;0;0.09
43;2;IRRIG;0;0;0.02
43;2;IRRIG;0;0;0.01
43;2;NIRRIG;1;1;0.97
43;2;NIRRIG;1;1;0.99
43;2;IRRIG;0;0;0.0
43;2;NIRRIG;1;1;0.89
43;2;NIRRIG;1;1;0.86
43;2;NIRRIG;1;1;1.0
43;2;IRRIG;0;0;0.0
43;2;IRRIG;0;0;0.01
43;2;IRRIG;0;0;0.02
43;2;NIRRIG;1;1;0.7
43;2;NIRRIG;1;1;0.99
43;2;NIRRIG;1;1;0.96
43;3;IRRIG;0;0;0.01
43;3;NIRRIG;1;1;0.99
43;3;NIRRIG;1;1;0.97
43;3;NIRRIG;1;1;0.97
43;3;IRRIG;0;0;0.26
43;3;IRRIG;0;0;0.1
43;3;NIRRIG;1;1;0.83
43;3;NIRRIG;1;1;0.82
43;3;NIRRIG;1;1;0.92
43;3;IRRIG;0;0;0.01
43;3;IRRIG;0;0;0.09
43;3;IRRIG;0;0;0.1
43;3;IRRIG;0;1;0.67
43;3;IRRIG;0;0;0.35
43;3;NIRRIG;1;1;0.9
43;3;NIRRIG;1;1;1.0
43;4;IRRIG;0;0;0.11
43;4;NIRRIG;1;1;0.98
43;4;NIRRIG;1;1;0.97
43;4;IRRIG;0;0;0.01
43;4;IRRIG;0;0;0.0
43;4;IRRIG;0;0;0.12
43;4;IRRIG;0;0;0.08
43;4;IRRIG;0;0;0.0
43;4;NIRRIG;1;1;0.98
43;4;NIRRIG;1;1;1.0
43;4;NIRRIG;1;1;1.0
43;4;IRRIG;0;0;0.14
43;4;IRRIG;0;0;0.09
43;4;NIRRIG;1;1;0.91
43;4;NIRRIG;1;1;0.83
43;4;NIRRIG;1;1;0.99
44;1;IRRIG;0;0;0.03
44;1;NIRRIG;1;1;0.83
44;1;NIRRIG;1;1;0.84
44;1;NIRRIG;1;1;0.84
44;1;NIRRIG;1;1;0.81
44;1;NIRRIG;1;1;0.96
44;1;NIRRIG;1;1;0.95
44;1;IRRIG;0;0;0.0
44;1;IRRIG;0;0;0.18
44;1;IRRIG;0;0;0.16
44;1;NIRRIG;1;1;0.96
44;1;IRRIG;0;0;0.0
44;1;IRRIG;0;0;0.0
44;1;NIRRIG;1;1;0.96
44;1;IRRIG;0;0;0.0
44;1;IRRIG;0;0;0.16
44;2;IRRIG;0;0;0.01
44;2;IRRIG;0;0;0.01
44;2;NIRRIG;1;1;0.98
44;2;IRRIG;0;0;0.01
44;2;IRRIG;0;0;0.01
44;2;IRRIG;0;0;0.27
44;2;NIRRIG;1;1;0.87
44;2;NIRRIG;1;1;0.87
44;2;NIRRIG;1;1;0.92
44;2;IRRIG;0;0;0.04
44;2;IRRIG;0;0;0.05
44;2;NIRRIG;1;1;0.98
44;2;IRRIG;0;1;0.53
44;2;NIRRIG;1;1;0.87
44;2;NIRRIG;1;1;1.0
44;2;NIRRIG;1;1;0.99
44;3;IRRIG;0;0;0.06
44;3;IRRIG;0;0;0.04
44;3;IRRIG;0;0;0.01
44;3;IRRIG;0;0;0.01
44;3;NIRRIG;1;1;0.88
44;3;NIRRIG;1;1;0.88
44;3;IRRIG;0;0;0.01
44;3;IRRIG;0;0;0.03
44;3;NIRRIG;1;1;0.98
44;3;NIRRIG;1;1;0.98
44;3;NIRRIG;1;1;0.98
44;3;IRRIG;0;0;0.15
44;3;IRRIG;0;0;0.13
44;3;NIRRIG;1;1;0.85
44;3;NIRRIG;1;1;0.87
44;3;NIRRIG;1;1;0.98
44;4;IRRIG;0;0;0.15
44;4;IRRIG;0;0;0.01
44;4;NIRRIG;1;1;0.99
44;4;IRRIG;0;0;0.03
44;4;NIRRIG;1;1;0.87
44;4;NIRRIG;1;1;0.74
44;4;IRRIG;0;0;0.0
44;4;IRRIG;0;0;0.07
44;4;NIRRIG;1;1;0.71
44;4;NIRRIG;1;1;0.67
44;4;NIRRIG;1;1;1.0
44;4;IRRIG;0;0;0.2
44;4;IRRIG;0;0;0.19
44;4;IRRIG;0;0;0.22
44;4;NIRRIG;1;1;0.98
44;4;NIRRIG;1;1;0.95
45;1;IRRIG;0;0;0.03
45;1;IRRIG;0;0;0.01
45;1;NIRRIG;1;1;0.96
45;1;NIRRIG;1;1;0.97
45;1;NIRRIG;1;1;0.97
45;1;NIRRIG;1;1;0.99
45;1;IRRIG;0;0;0.01
45;1;NIRRIG;1;1;0.89
45;1;NIRRIG;1;1;0.92
45;1;NIRRIG;1;1;0.9
45;1;IRRIG;0;0;0.01
45;1;IRRIG;0;0;0.06
45;1;NIRRIG;1;1;0.96
45;1;IRRIG;0;0;0.12
45;1;IRRIG;0;0;0.08
45;1;IRRIG;0;0;0.2
45;2;IRRIG;0;0;0.16
45;2;IRRIG;0;0;0.13
45;2;NIRRIG;1;1;0.97
45;2;IRRIG;0;0;0.08
45;2;IRRIG;0;0;0.01
45;2;IRRIG;0;0;0.13
45;2;IRRIG;0;0;0.13
45;2;IRRIG;0;0;0.14
45;2;NIRRIG;1;1;0.91
45;2;NIRRIG;1;1;0.69
45;2;IRRIG;0;0;0.19
45;2;NIRRIG;1;1;0.95
45;2;NIRRIG;1;1;0.88
45;2;NIRRIG;1;1;0.87
45;2;NIRRIG;1;1;0.94
45;2;NIRRIG;1;1;0.92
45;3;IRRIG;0;0;0.06
45;3;NIRRIG;1;1;0.99
45;3;IRRIG;0;0;0.0
45;3;IRRIG;0;1;0.55
45;3;IRRIG;0;1;0.51
45;3;IRRIG;0;0;0.46
45;3;IRRIG;0;0;0.44
45;3;NIRRIG;1;1;0.89
45;3;NIRRIG;1;1;0.87
45;3;IRRIG;0;0;0.0
45;3;NIRRIG;1;1;0.88
45;3;NIRRIG;1;1;0.98
