posicao;banda_nm;importancia_gini
1;1945;0.0721337779723034
2;1925;0.06888917963045953
3;1955;0.05735002059451503
4;715;0.04960439057852825
5;1965;0.048298108371353204
6;725;0.04654743118552504
7;1915;0.0409799692276405
8;1935;0.03459184639314261
9;705;0.03030038737466109
10;1975;0.027654483958901972
11;1125;0.021701517168075637
12;1095;0.018854706505974275
13;1115;0.016193508399032067
14;415;0.01576564600770554
15;1345;0.014230258971203624
16;1535;0.014134148760999445
17;1335;0.013702824357836946
18;1205;0.013029706115478726
19;1905;0.012782363331130865
20;1325;0.012440520192575853
21;735;0.012313112016434537
22;1555;0.011098070850590796
23;1575;0.01064408221677413
24;1085;0.010394672204294842
25;1505;0.009580319562928258
26;405;0.009523727665648074
27;1545;0.008836060099924875
28;1365;0.00882117212814506
29;1845;0.008770795549359583
30;445;0.00858794170967791
31;1985;0.00801831626868967
32;2235;0.00790912523932132
33;2215;0.007623213166293044
34;555;0.007332716323630077
35;1105;0.007009984087504152
36;1745;0.006986617495662444
37;1395;0.006986166173243815
38;675;0.0069668684047769006
39;1895;0.0068997603251462515
40;1315;0.006513652329625633
41;1515;0.006511053689348263
42;755;0.006462975602753931
43;425;0.00645216613820965
44;2255;0.006076797427207458
45;1625;0.006014007765745602
46;565;0.005658277956377752
47;815;0.0051551568819121
48;795;0.004755279061385693
49;1195;0.004184615384615385
50;1475;0.0039537310709724495
51;1835;0.0037527983852944724
52;2145;0.0036761104514269473
53;2285;0.0034857572943247763
54;2405;0.003479689437402686
55;875;0.00345056816321184
56;1265;0.003278679995947547
57;1065;0.0032169615239840913
58;2275;0.003200163457704517
59;745;0.0031901701817003735
60;1865;0.0030269391597978917
61;1605;0.002851183204671577
62;2385;0.0028423838500917613
63;1595;0.002819118225368226
64;2135;0.0027987007811254585
65;1755;0.002785848634124496
66;2005;0.0026432449829054934
67;905;0.002629940865234982
68;1465;0.002592592592592592
69;2305;0.0025505530783308562
70;2245;0.002421280788177339
71;1525;0.0023685636856368556
72;1385;0.0023665527939411095
73;2425;0.0023200695723059506
74;1375;0.002314814814814815
75;635;0.0022591506462474203
76;2315;0.0022566753422016577
77;2165;0.002243873957629029
78;1485;0.002186234817813765
79;2175;0.0021801823907087073
80;1665;0.002097478991596639
81;1615;0.0020889965574397563
82;2115;0.002068595204079075
83;1285;0.0020430884904569114
84;895;0.002021204601849763
85;1245;0.0020140302640302634
86;655;0.0019945176823579725
87;1425;0.001888162672476397
88;1355;0.0018696068201359017
89;1855;0.0018683760683760684
90;455;0.001863358147229115
91;1255;0.0018197875641484667
92;2445;0.0017810760667903525
93;1075;0.0017777777777777783
94;1995;0.0017045454545454547
95;2295;0.0016952038596159302
96;2085;0.0016732026143790849
97;545;0.0015501878690284486
98;575;0.0015386458031488462
99;765;0.0015075808865024542
100;1675;0.001479289940828403
101;1685;0.001473214285714286
102;1415;0.0014012041598248496
103;1875;0.0013333333333333333
104;1055;0.0011669362895169353
105;1705;0.0011071428571428573
106;885;0.0010884353741496598
107;1715;0.0010820328131252504
108;615;0.0010809289232934552
109;495;0.0010724759111855886
110;945;0.0010724759111855886
111;1405;0.0010696397713275776
112;1145;0.0010088669950738913
113;2155;0.0009609609609609609
114;2225;0.0009007741027445461
115;1015;0.0007687687687687691
116;1885;0.0007366174376752939
117;955;0.0006984126984126985
118;915;0.000631994733377222
119;2035;0.0006013071895424841
120;1005;0.0005856209150326799
121;825;0.0005829959514170042
122;1775;0.000580357142857143
123;1035;0.0005682124455013881
124;1215;0.0005647058823529413
125;1815;0.0005555555555555556
126;595;0.0005333333333333333
127;1155;0.000469208211143695
128;475;0.00045601688951442653
129;1695;0.0004203612479474548
130;985;0.00028785607196401815
131;625;0.0001746031746031748
132;2055;0.00010865874363327645
133;2415;9.824561403508818e-05
134;2435;0.0
135;2345;0.0
136;2015;0.0
137;2025;0.0
138;2335;0.0
139;2325;0.0
140;2355;0.0
141;2265;0.0
142;2205;0.0
143;2195;0.0
144;2185;0.0
145;2365;0.0
146;2375;0.0
147;2125;0.0
148;2095;0.0
149;2395;0.0
150;2075;0.0
151;2065;0.0
152;2045;0.0
153;2105;0.0
154;1435;0.0
155;1825;0.0
156;1805;0.0
157;965;0.0
158;935;0.0
159;925;0.0
160;865;0.0
161;855;0.0
162;845;0.0
163;835;0.0
164;805;0.0
165;785;0.0
166;775;0.0
167;695;0.0
168;685;0.0
169;665;0.0
170;645;0.0
171;605;0.0
172;585;0.0
173;535;0.0
174;525;0.0
175;515;0.0
176;505;0.0
177;485;0.0
178;465;0.0
179;435;0.0
180;975;0.0
181;995;0.0
182;1025;0.0
183;1495;0.0
184;1795;0.0
185;1785;0.0
186;1765;0.0
187;1735;0.0
188;1725;0.0
189;1655;0.0
190;1645;0.0
191;1635;0.0
192;1585;0.0
193;1565;0.0
194;1455;0.0
195;1045;0.0
196;1445;0.0
197;1305;0.0
198;1295;0.0
199;1275;0.0
200;1235;0.0
201;1225;0.0
202;1185;0.0
203;1175;0.0
204;1165;0.0
205;1135;0.0
206;2450;0.0
