posicao;banda_nm;importancia_gini
1;1904;0.13271646859083192
2;1964;0.09223190932868353
3;1954;0.08
4;1944;0.06
5;1974;0.041961707980683306
6;1574;0.03999096153906074
7;1994;0.038656052637077304
8;2434;0.03364569316123331
9;1924;0.028145430885902756
10;1524;0.0221832031719332
11;1984;0.02
12;1474;0.016992977753953364
13;2014;0.016489313180920867
14;445;0.016128633271490417
15;1534;0.0160631196760229
16;1504;0.016001094547783853
17;1584;0.015623529411764708
18;2450;0.015555555555555555
19;755;0.015034173669467785
20;1554;0.014617321676145205
21;1934;0.012441598248494801
22;1514;0.01
23;885;0.009393939393939394
24;465;0.008823529411764706
25;745;0.008285714285714287
26;765;0.00827027027027027
27;1594;0.008222222222222223
28;815;0.008222222222222221
29;1744;0.008154529634765127
30;425;0.007783549783549784
31;1544;0.007768090671316477
32;1444;0.007655677655677656
33;825;0.007655677655677656
34;2034;0.007618604651162791
35;1424;0.007575757575757576
36;1464;0.007306397306397306
37;2074;0.007297297297297298
38;2444;0.007283531409168082
39;405;0.007283531409168082
40;795;0.007264957264957264
41;415;0.007241379310344828
42;1494;0.00641025641025641
43;1814;0.006278819219995691
44;1914;0.005037925037925038
45;2144;0.0048484848484848485
46;1374;0.00458075258075258
47;1724;0.004488350419384902
48;1794;0.0034982078853046604
49;2214;0.0033929208046855107
50;1734;0.0032653061224489806
51;905;0.0031999999999999997
52;1394;0.0031999999999999997
53;835;0.0029072027692717346
54;1225;0.002758620689655172
55;2194;0.002758620689655172
56;1414;0.0027350427350427355
57;1185;0.002716468590831919
58;2164;0.0027164685908319186
59;955;0.002693602693602693
60;1085;0.0024242424242424247
61;2224;0.002381395348837209
62;1365;0.0023443223443223443
63;1145;0.0022634836427939875
64;1784;0.0022222222222222222
65;895;0.0022164502164502163
66;1864;0.001855991113990836
67;1684;0.0018285714285714292
68;925;0.0017777777777777776
69;2254;0.00172972972972973
70;625;0.001720430107526882
71;1434;0.0017142857142857142
72;1205;0.001294236602628918
73;1125;0.001179723502304147
74;595;0.001176470588235294
75;1235;0.0006060606060606061
76;1265;0.00019193282351177065
77;1115;0.0
78;505;0.0
79;2004;0.0
80;495;0.0
81;2024;0.0
82;485;0.0
83;2054;0.0
84;2044;0.0
85;525;0.0
86;2064;0.0
87;475;0.0
88;2084;0.0
89;2094;0.0
90;2104;0.0
91;515;0.0
92;555;0.0
93;535;0.0
94;545;0.0
95;2124;0.0
96;565;0.0
97;575;0.0
98;735;0.0
99;585;0.0
100;1894;0.0
101;1884;0.0
102;1874;0.0
103;915;0.0
104;1854;0.0
105;1844;0.0
106;1834;0.0
107;2114;0.0
108;875;0.0
109;2134;0.0
110;2304;0.0
111;435;0.0
112;455;0.0
113;2424;0.0
114;2414;0.0
115;2404;0.0
116;2394;0.0
117;2384;0.0
118;2374;0.0
119;2364;0.0
120;2354;0.0
121;2344;0.0
122;2334;0.0
123;2324;0.0
124;2314;0.0
125;2294;0.0
126;935;0.0
127;2284;0.0
128;2274;0.0
129;2264;0.0
130;785;0.0
131;2244;0.0
132;2234;0.0
133;775;0.0
134;845;0.0
135;2204;0.0
136;855;0.0
137;2184;0.0
138;2174;0.0
139;865;0.0
140;2154;0.0
141;1824;0.0
142;965;0.0
143;1804;0.0
144;945;0.0
145;715;0.0
146;1025;0.0
147;725;0.0
148;1035;0.0
149;1404;0.0
150;1045;0.0
151;1384;0.0
152;1055;0.0
153;1065;0.0
154;1355;0.0
155;1345;0.0
156;1335;0.0
157;1325;0.0
158;1315;0.0
159;1305;0.0
160;1295;0.0
161;1285;0.0
162;1275;0.0
163;1255;0.0
164;1245;0.0
165;1075;0.0
166;1215;0.0
167;1195;0.0
168;1095;0.0
169;1175;0.0
170;1165;0.0
171;1155;0.0
172;1105;0.0
173;1135;0.0
174;1454;0.0
175;705;0.0
176;695;0.0
177;1634;0.0
178;1774;0.0
179;1764;0.0
180;1754;0.0
181;975;0.0
182;985;0.0
183;1714;0.0
184;1704;0.0
185;1694;0.0
186;995;0.0
187;1674;0.0
188;1664;0.0
189;1654;0.0
190;1644;0.0
191;805;0.0
192;1484;0.0
193;1614;0.0
194;1604;0.0
195;605;0.0
196;615;0.0
197;1005;0.0
198;1564;0.0
199;635;0.0
200;645;0.0
201;655;0.0
202;665;0.0
203;675;0.0
204;685;0.0
205;1015;0.0
206;1624;0.0
