posicao;banda_nm;importancia_gini
1;715;0.05704953278552174
2;1315;0.053257834559044835
3;1925;0.044892304679818536
4;1945;0.04467911584046655
5;405;0.04347213908506795
6;725;0.03736705346778538
7;415;0.03712246889452536
8;1955;0.03472751646658634
9;1335;0.028689689725637436
10;445;0.027764417066725198
11;465;0.025651344655508654
12;1325;0.020895117102634874
13;1345;0.019501143842607257
14;1965;0.019080550001178587
15;1975;0.016863056943056943
16;1305;0.016525630228939766
17;425;0.013299912826669287
18;1355;0.012960421929209978
19;2450;0.012365738172189786
20;2005;0.011936266518555958
21;1575;0.010694026219570765
22;1055;0.010016521955800894
23;1365;0.009713301402384725
24;1065;0.009075052549755533
25;1905;0.008995153495153497
26;435;0.008652999500564333
27;1745;0.008297940624379684
28;1535;0.00826605092219793
29;485;0.008061013101013101
30;2035;0.00776
31;575;0.0073289596972708915
32;1505;0.007153781890623996
33;565;0.006768331707000375
34;1125;0.0067597338377484726
35;475;0.00673509286412512
36;735;0.00671924879697989
37;1415;0.0066149454301142
38;2235;0.006595767266182492
39;1525;0.006526248305022805
40;1555;0.006463653053006894
41;1515;0.006162131519274377
42;835;0.005945181426214569
43;1375;0.005761251837438816
44;2335;0.005645362865384869
45;1805;0.005621348702360442
46;1815;0.005431777001586251
47;455;0.0054058242923566355
48;765;0.005343072814119074
49;855;0.005335952101937716
50;1565;0.0051925165634843055
51;1845;0.005107526881720431
52;1935;0.00482684860778167
53;2445;0.004749271162098709
54;1085;0.0046119233010222995
55;1715;0.004583333333333333
56;2285;0.004546265734616983
57;745;0.004363867500686188
58;2375;0.004296959407315944
59;1735;0.004282587139729997
60;995;0.004139038566179834
61;1775;0.004110122187591306
62;1395;0.004048467792370232
63;2115;0.004038197732201171
64;1785;0.004005008340968049
65;2205;0.003907122389185559
66;1405;0.0037811516133766775
67;1015;0.00355442133219911
68;1035;0.003550230414746543
69;885;0.0034401016753957936
70;1145;0.003414776749188723
71;2245;0.003382499829742798
72;1605;0.003357275809203425
73;1625;0.0033383284348222054
74;1425;0.0032247852071898998
75;905;0.0031999999999999997
76;1075;0.003154213036565977
77;1995;0.0030839684051758355
78;2185;0.002952836637047163
79;2165;0.0029434162328899173
80;2255;0.0028576837631604374
81;1985;0.002777777777777778
82;1005;0.002721797934494157
83;525;0.002714833059660645
84;1615;0.002705344640828511
85;625;0.0026541070529340323
86;2315;0.002612967814206205
87;805;0.0025591310624793677
88;1285;0.002418353576248313
89;2155;0.0023546711546711552
90;1865;0.0023528675227599953
91;895;0.0023170764749712107
92;1635;0.0022778333889445
93;955;0.0022164502164502163
94;935;0.0022080386406762116
95;1585;0.002205882352941176
96;985;0.002196078431372549
97;1875;0.0021795478195061964
98;2305;0.0020056564501008942
99;1545;0.0019047619047619048
100;1595;0.0018554574820352399
101;2295;0.0018333333333333333
102;2355;0.001821538461538462
103;1825;0.0017738359201773834
104;695;0.001746031746031746
105;1685;0.0017413953488372095
106;795;0.0017123745819397987
107;1795;0.0017083750417083749
108;785;0.0016952038596159305
109;2145;0.0016935483870967746
110;2215;0.001668295861844249
111;495;0.0016
112;2435;0.001546730613076269
113;1485;0.001544494720965309
114;2105;0.0014133235185866764
115;1675;0.0013784615384615385
116;1265;0.0012698412698412698
117;2025;0.0012610837438423645
118;585;0.0012254239634171956
119;2425;0.0011757789535567313
120;945;0.0011730205278592375
121;595;0.0011712418300653597
122;2085;0.0011682539682539683
123;2345;0.0011649307311153803
124;1135;0.001162566017850985
125;1095;0.0011482567611599873
126;865;0.001132614861032331
127;1465;0.0009846153846153846
128;845;0.0009553664726078516
129;665;0.0008988073686404878
130;1495;0.0008944514207672102
131;915;0.0007700534759358291
132;505;0.0007529411764705882
133;1445;0.00060546875
134;2065;0.0006024401723326452
135;685;0.0005937499999999999
136;2395;0.0005555555555555556
137;615;0.0005254515599343187
138;1835;0.000469208211143695
139;2055;0.00013622173871913687
140;825;9.135264195992888e-05
141;635;0.0
142;925;0.0
143;965;0.0
144;975;0.0
145;2135;0.0
146;2365;0.0
147;645;0.0
148;2125;0.0
149;1025;0.0
150;1045;0.0
151;2095;0.0
152;2175;0.0
153;2415;0.0
154;2195;0.0
155;875;0.0
156;655;0.0
157;2225;0.0
158;2405;0.0
159;815;0.0
160;2265;0.0
161;775;0.0
162;755;0.0
163;705;0.0
164;2325;0.0
165;675;0.0
166;2385;0.0
167;2275;0.0
168;605;0.0
169;2075;0.0
170;1385;0.0
171;1295;0.0
172;555;0.0
173;545;0.0
174;535;0.0
175;515;0.0
176;1765;0.0
177;1755;0.0
178;1725;0.0
179;2045;0.0
180;1705;0.0
181;1695;0.0
182;1455;0.0
183;1665;0.0
184;1655;0.0
185;1645;0.0
186;1475;0.0
187;1275;0.0
188;1255;0.0
189;1855;0.0
190;1245;0.0
191;1105;0.0
192;2015;0.0
193;1115;0.0
194;1155;0.0
195;1165;0.0
196;1175;0.0
197;1185;0.0
198;1195;0.0
199;1205;0.0
200;1215;0.0
201;1915;0.0
202;1225;0.0
203;1895;0.0
204;1885;0.0
205;1235;0.0
206;1435;0.0
