seed;fold;condicao_real;classe_real_nirrig;classe_predita_nirrig;probabilidade_nirrig
42;1;NIRRIG;1;1;0.88
42;1;NIRRIG;1;1;0.84
42;1;NIRRIG;1;1;0.93
42;1;IRRIG;0;0;0.01
42;1;IRRIG;0;0;0.0
42;1;IRRIG;0;0;0.14
42;1;NIRRIG;1;1;0.95
42;1;NIRRIG;1;1;0.97
42;1;IRRIG;0;0;0.0
42;1;IRRIG;0;0;0.0
42;1;IRRIG;0;0;0.06
42;1;NIRRIG;1;1;0.9
42;1;NIRRIG;1;1;1.0
42;1;NIRRIG;1;1;1.0
42;1;IRRIG;0;0;0.04
42;1;IRRIG;0;0;0.0
42;2;IRRIG;0;0;0.02
42;2;IRRIG;0;0;0.23
42;2;IRRIG;0;0;0.13
42;2;NIRRIG;1;1;0.89
42;2;NIRRIG;1;1;0.94
42;2;IRRIG;0;0;0.01
42;2;IRRIG;0;0;0.11
42;2;IRRIG;0;0;0.07
42;2;NIRRIG;1;1;0.97
42;2;NIRRIG;1;1;0.96
42;2;IRRIG;0;0;0.01
42;2;IRRIG;0;0;0.01
42;2;NIRRIG;1;1;0.93
42;2;NIRRIG;1;1;0.95
42;2;NIRRIG;1;1;0.94
42;2;NIRRIG;1;1;0.76
42;3;IRRIG;0;0;0.05
42;3;NIRRIG;1;1;0.88
42;3;NIRRIG;1;1;0.99
42;3;IRRIG;0;0;0.0
42;3;IRRIG;0;0;0.01
42;3;NIRRIG;1;1;0.94
42;3;NIRRIG;1;1;0.86
42;3;IRRIG;0;0;0.05
42;3;IRRIG;0;0;0.08
42;3;IRRIG;0;0;0.07
42;3;NIRRIG;1;1;0.89
42;3;NIRRIG;1;1;0.98
42;3;NIRRIG;1;1;0.99
42;3;IRRIG;0;0;0.14
42;3;IRRIG;0;0;0.0
42;3;NIRRIG;1;1;0.97
42;4;IRRIG;0;0;0.06
42;4;IRRIG;0;0;0.08
42;4;IRRIG;0;0;0.15
42;4;IRRIG;0;0;0.18
42;4;NIRRIG;1;1;1.0
42;4;NIRRIG;1;1;0.92
42;4;NIRRIG;1;1;0.95
42;4;NIRRIG;1;1;0.9
42;4;IRRIG;0;0;0.0
42;4;IRRIG;0;0;0.0
42;4;NIRRIG;1;1;0.94
42;4;IRRIG;0;0;0.35
42;4;IRRIG;0;0;0.01
42;4;NIRRIG;1;1;0.98
42;4;NIRRIG;1;1;0.91
42;4;NIRRIG;1;1;0.88
43;1;IRRIG;0;0;0.03
43;1;IRRIG;0;0;0.18
43;1;NIRRIG;1;1;0.79
43;1;IRRIG;0;0;0.0
43;1;NIRRIG;1;1;0.99
43;1;NIRRIG;1;1;0.98
43;1;IRRIG;0;0;0.0
43;1;IRRIG;0;0;0.0
43;1;IRRIG;0;0;0.02
43;1;NIRRIG;1;1;0.86
43;1;NIRRIG;1;1;0.87
43;1;NIRRIG;1;1;0.99
43;1;IRRIG;0;0;0.0
43;1;IRRIG;0;0;0.0
43;1;NIRRIG;1;1;0.98
43;1;NIRRIG;1;1;0.97
43;2;IRRIG;0;0;0.06
43;2;IRRIG;0;0;0.07
43;2;IRRIG;0;0;0.14
43;2;IRRIG;0;0;0.15
43;2;NIRRIG;1;1;0.91
43;2;NIRRIG;1;1;1.0
43;2;IRRIG;0;0;0.0
43;2;NIRRIG;1;1;0.91
43;2;NIRRIG;1;1;0.95
43;2;NIRRIG;1;1;0.99
43;2;IRRIG;0;0;0.02
43;2;IRRIG;0;0;0.01
43;2;IRRIG;0;0;0.03
43;2;NIRRIG;1;1;0.87
43;2;NIRRIG;1;1;0.99
43;2;NIRRIG;1;1;0.98
43;3;IRRIG;0;0;0.06
43;3;NIRRIG;1;1;0.95
43;3;NIRRIG;1;1;0.97
43;3;NIRRIG;1;1;0.92
43;3;IRRIG;0;0;0.18
43;3;IRRIG;0;0;0.12
43;3;NIRRIG;1;1;0.87
43;3;NIRRIG;1;1;0.8
43;3;NIRRIG;1;1;0.92
43;3;IRRIG;0;0;0.0
43;3;IRRIG;0;0;0.17
43;3;IRRIG;0;0;0.11
43;3;IRRIG;0;0;0.07
43;3;IRRIG;0;0;0.03
43;3;NIRRIG;1;1;0.89
43;3;NIRRIG;1;1;0.99
43;4;IRRIG;0;0;0.02
43;4;NIRRIG;1;1;0.93
43;4;NIRRIG;1;1;0.99
43;4;IRRIG;0;0;0.05
43;4;IRRIG;0;0;0.02
43;4;IRRIG;0;0;0.14
43;4;IRRIG;0;0;0.12
43;4;IRRIG;0;0;0.02
43;4;NIRRIG;1;1;0.91
43;4;NIRRIG;1;1;1.0
43;4;NIRRIG;1;1;0.99
43;4;IRRIG;0;0;0.33
43;4;IRRIG;0;0;0.06
43;4;NIRRIG;1;1;0.91
43;4;NIRRIG;1;1;0.94
43;4;NIRRIG;1;1;0.79
44;1;IRRIG;0;0;0.03
44;1;NIRRIG;1;1;0.59
44;1;NIRRIG;1;1;0.54
44;1;NIRRIG;1;0;0.48
44;1;NIRRIG;1;1;0.51
44;1;NIRRIG;1;1;0.85
44;1;NIRRIG;1;1;0.98
44;1;IRRIG;0;0;0.01
44;1;IRRIG;0;0;0.17
44;1;IRRIG;0;0;0.14
44;1;NIRRIG;1;1;0.96
44;1;IRRIG;0;0;0.01
44;1;IRRIG;0;0;0.02
44;1;NIRRIG;1;1;0.93
44;1;IRRIG;0;0;0.1
44;1;IRRIG;0;0;0.0
44;2;IRRIG;0;0;0.02
44;2;IRRIG;0;0;0.08
44;2;NIRRIG;1;1;0.91
44;2;IRRIG;0;0;0.0
44;2;IRRIG;0;0;0.0
44;2;IRRIG;0;0;0.11
44;2;NIRRIG;1;1;0.82
44;2;NIRRIG;1;1;0.79
44;2;NIRRIG;1;1;0.9
44;2;IRRIG;0;0;0.01
44;2;IRRIG;0;0;0.04
44;2;NIRRIG;1;1;0.84
44;2;IRRIG;0;0;0.01
44;2;NIRRIG;1;1;0.94
44;2;NIRRIG;1;1;0.93
44;2;NIRRIG;1;1;0.82
44;3;IRRIG;0;0;0.01
44;3;IRRIG;0;0;0.19
44;3;IRRIG;0;0;0.23
44;3;IRRIG;0;0;0.0
44;3;NIRRIG;1;1;0.97
44;3;NIRRIG;1;1;0.94
44;3;IRRIG;0;0;0.01
44;3;IRRIG;0;0;0.03
44;3;NIRRIG;1;1;1.0
44;3;NIRRIG;1;1;0.99
44;3;NIRRIG;1;1;0.99
44;3;IRRIG;0;0;0.0
44;3;IRRIG;0;0;0.0
44;3;NIRRIG;1;1;0.9
44;3;NIRRIG;1;1;0.91
44;3;NIRRIG;1;1;1.0
44;4;IRRIG;0;0;0.03
44;4;IRRIG;0;0;0.09
44;4;NIRRIG;1;1;1.0
44;4;IRRIG;0;0;0.09
44;4;NIRRIG;1;1;0.96
44;4;NIRRIG;1;1;0.97
44;4;IRRIG;0;0;0.0
44;4;IRRIG;0;0;0.01
44;4;NIRRIG;1;1;0.86
44;4;NIRRIG;1;1;0.87
44;4;NIRRIG;1;1;1.0
44;4;IRRIG;0;0;0.47
44;4;IRRIG;0;0;0.3
44;4;IRRIG;0;0;0.28
44;4;NIRRIG;1;1;0.99
44;4;NIRRIG;1;1;0.98
45;1;IRRIG;0;0;0.09
45;1;IRRIG;0;0;0.1
45;1;NIRRIG;1;1;0.81
45;1;NIRRIG;1;1;0.72
45;1;NIRRIG;1;1;0.74
45;1;NIRRIG;1;1;0.96
45;1;IRRIG;0;0;0.01
45;1;NIRRIG;1;1;0.85
45;1;NIRRIG;1;1;0.85
45;1;NIRRIG;1;1;0.87
45;1;IRRIG;0;0;0.03
45;1;IRRIG;0;0;0.03
45;1;NIRRIG;1;1;0.89
45;1;IRRIG;0;0;0.35
45;1;IRRIG;0;0;0.13
45;1;IRRIG;0;0;0.01
45;2;IRRIG;0;0;0.23
45;2;IRRIG;0;0;0.16
45;2;NIRRIG;1;1;0.94
45;2;IRRIG;0;0;0.0
45;2;IRRIG;0;0;0.01
45;2;IRRIG;0;0;0.01
45;2;IRRIG;0;0;0.0
45;2;IRRIG;0;0;0.02
45;2;NIRRIG;1;1;0.85
45;2;NIRRIG;1;1;0.85
45;2;IRRIG;0;0;0.0
45;2;NIRRIG;1;1;0.95
45;2;NIRRIG;1;1;0.56
45;2;NIRRIG;1;1;0.55
45;2;NIRRIG;1;1;0.6
45;2;NIRRIG;1;0;0.5
45;3;IRRIG;0;0;0.01
45;3;NIRRIG;1;1;0.92
45;3;IRRIG;0;0;0.0
45;3;IRRIG;0;1;0.54
45;3;IRRIG;0;1;0.53
45;3;IRRIG;0;0;0.5
45;3;IRRIG;0;0;0.5
45;3;NIRRIG;1;1;0.96
45;3;NIRRIG;1;1;0.96
45;3;IRRIG;0;0;0.01
45;3;NIRRIG;1;1;0.92
45;3;NIRRIG;1;1;0.99
45;3;NIRRIG;1;1;0.99
45;3;NIRRIG;1;1;0.99
45;3;IRRIG;0;0;0.05
45;3;NIRRIG;1;1;0.93
45;4;IRRIG;0;0;0.07
45;4;IRRIG;0;0;0.07
45;4;IRRIG;0;0;0.11
45;4;NIRRIG;1;1;0.88
45;4;NIRRIG;1;1;0.98
45;4;IRRIG;0;0;0.01
45;4;NIRRIG;1;1;0.95
45;4;NIRRIG;1;1;0.98
45;4;NIRRIG;1;1;0.92
45;4;IRRIG;0;0;0.05
45;4;NIRRIG;1;1;0.98
45;4;IRRIG;0;0;0.14
45;4;IRRIG;0;0;0.04
45;4;IRRIG;0;0;0.01
45;4;NIRRIG;1;1;0.88
45;4;NIRRIG;1;1;0.93
46;1;IRRIG;0;0;0.01
46;1;IRRIG;0;0;0.25
46;1;IRRIG;0;0;0.2
46;1;IRRIG;0;0;0.24
46;1;IRRIG;0;0;0.24
46;1;NIRRIG;1;1;0.97
46;1;NIRRIG;1;1;0.97
46;1;NIRRIG;1;1;0.98
46;1;NIRRIG;1;1;0.97
46;1;IRRIG;0;0;0.04
46;1;IRRIG;0;0;0.02
46;1;NIRRIG;1;1;0.94
46;1;NIRRIG;1;1;0.99
46;1;NIRRIG;1;1;0.99
46;1;IRRIG;0;0;0.0
46;1;NIRRIG;1;1;0.8
46;2;IRRIG;0;0;0.02
46;2;IRRIG;0;0;0.06
46;2;IRRIG;0;0;0.13
46;2;IRRIG;0;0;0.13
46;2;NIRRIG;1;1;0.85
46;2;NIRRIG;1;1;0.78
46;2;NIRRIG;1;1;0.78
46;2;NIRRIG;1;1;0.87
46;2;IRRIG;0;0;0.01
46;2;NIRRIG;1;1;0.96
46;2;NIRRIG;1;1;0.83
46;2;NIRRIG;1;1;0.76
46;2;IRRIG;0;0;0.01
46;2;NIRRIG;1;1;0.94
46;2;IRRIG;0;0;0.35
46;2;IRRIG;0;0;0.0
46;3;NIRRIG;1;1;0.94
46;3;NIRRIG;1;1;0.96
46;3;IRRIG;0;0;0.0
46;3;IRRIG;0;0;0.06
46;3;IRRIG;0;0;0.06
46;3;NIRRIG;1;1;0.92
46;3;IRRIG;0;0;0.01
46;3;IRRIG;0;0;0.02
46;3;NIRRIG;1;1;0.86
46;3;NIRRIG;1;1;1.0
46;3;IRRIG;0;0;0.2
46;3;IRRIG;0;0;0.18
46;3;IRRIG;0;0;0.02
46;3;NIRRIG;1;1;0.8
46;3;NIRRIG;1;1;0.79
46;3;NIRRIG;1;1;0.81
46;4;IRRIG;0;0;0.01
46;4;NIRRIG;1;1;0.96
46;4;NIRRIG;1;1;1.0
46;4;IRRIG;0;0;0.02
46;4;IRRIG;0;0;0.01
46;4;IRRIG;0;0;0.02
46;4;IRRIG;0;0;0.03
46;4;IRRIG;0;0;0.03
46;4;NIRRIG;1;1;0.86
46;4;NIRRIG;1;1;1.0
46;4;IRRIG;0;0;0.09
46;4;IRRIG;0;0;0.0
46;4;NIRRIG;1;1;0.9
46;4;NIRRIG;1;1;0.85
46;4;NIRRIG;1;1;0.85
46;4;NIRRIG;1;1;0.87
