genotipo;dia;n_dobras;accuracy;accuracy_dp;accuracy_variancia;accuracy_ic95_inf;accuracy_ic95_sup;f1;f1_dp;f1_variancia;f1_ic95_inf;f1_ic95_sup;kappa;kappa_dp;kappa_variancia;kappa_ic95_inf;kappa_ic95_sup;auc_roc;auc_roc_dp;auc_roc_variancia;auc_roc_ic95_inf;auc_roc_ic95_sup
BR16;D02;20;0.975;0.047121064682815746;0.0022203947368421052;0.9529466628825978;0.9970533371174022;0.9758636788048551;0.046094123668291444;0.0021246682367477457;0.9542909648767938;0.9974363927329165;0.95;0.09424212936563149;0.008881578947368421;0.9058933257651957;0.9941066742348043;0.99921875;0.0034938562148434213;1.220703125e-05;0.9975835749574936;1.0
BR16;D03;20;0.934375;0.07714850256076537;0.005951891447368422;0.8982683893678385;0.9704816106321614;0.9311278195488721;0.07366067856042753;0.005425895565982629;0.8966535607959258;0.9656020783018184;0.86875;0.15429700512153072;0.02380756578947368;0.7965367787356771;0.940963221264323;0.994921875;0.019349483144106953;0.00037440249794407906;0.9858660381317786;1.0
BR16;D04;20;0.98125;0.06117006061619911;0.0037417763157894736;0.9526215303900396;1.0;0.976190476190476;0.07953198823369641;0.006325337152404824;0.9389683599258875;1.0;0.9625;0.12234012123239822;0.014967105263157894;0.9052430607800794;1.0;1.0;0.0;0.0;1.0;1.0
BR16;D05;20;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0
BR16;D06;20;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0
BR16;D09;20;0.959375;0.10194449921919589;0.010392680921052633;0.9116635057101531;1.0;0.9593522408963586;0.09771802041470956;0.009548811513769594;0.9136187995754397;1.0;0.91875;0.20388899843839178;0.04157072368421053;0.8233270114203062;1.0;0.98828125;0.04267806881251528;0.0018214175575657894;0.9683072989575626;1.0
BR16;D10;20;0.95625;0.08626954393368681;0.007442434210526318;0.9158746106037593;0.9966253893962408;0.9447237076648841;0.1207143343929984;0.014571950527944638;0.8882276601075705;1.0;0.9125;0.17253908786737363;0.029769736842105276;0.8317492212075185;0.9932507787924815;0.9921875;0.025220043133545485;0.0006360505756578947;0.9803841564829692;1.0
CD202;D02;20;0.96875;0.05169813699178195;0.0026726973684210527;0.944554527102776;0.992945472897224;0.9647619047619047;0.05879808215182926;0.003457214464733263;0.9372435552449873;0.9922802542788222;0.9375;0.1033962739835639;0.01069078947368421;0.889109054205552;0.985890945794448;1.0;0.0;0.0;1.0;1.0
CD202;D03;20;0.98125;0.061170060616199104;0.0037417763157894727;0.9526215303900396;1.0;0.9761904761904763;0.07953198823369641;0.0063253371524048235;0.9389683599258877;1.0;0.9625;0.12234012123239822;0.014967105263157894;0.9052430607800794;1.0;1.0;0.0;0.0;1.0;1.0
CD202;D04;20;0.96875;0.0625;0.00390625;0.9394990995987557;0.9980009004012443;0.9726797385620914;0.051940540783851186;0.0026978197769189083;0.9483708171980082;0.9969886599261747;0.9375;0.125;0.015625;0.8789981991975113;0.9960018008024887;0.983203125;0.07511790861913356;0.005642700195312499;0.9480468615861112;1.0
CD202;D05;20;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0
CD202;D06;20;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0
CD202;D09;20;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0
CD202;D10;20;0.971875;0.059032077586770794;0.0034847861842105267;0.9442471372484935;0.9995028627515066;0.968627450980392;0.07564717705577265;0.0057224953965074165;0.9332234823132928;1.0;0.94375;0.11806415517354159;0.013939144736842107;0.8884942744969868;0.9990057255030131;1.0;0.0;0.0;1.0;1.0
EMB48;D02;20;0.971875;0.0686901653498481;0.004718338815789474;0.9397270130369054;1.0;0.9651282051282051;0.08853592678984876;0.007838610332537459;0.9236921159048175;1.0;0.94375;0.1373803306996962;0.018873355263157896;0.8794540260738108;1.0;1.0;0.0;0.0;1.0;1.0
EMB48;D03;20;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0
EMB48;D04;20;0.990625;0.0228967217832827;0.0005242598684210525;0.9799090043456351;1.0;0.9911764705882353;0.021549855796030786;0.0004643962848297216;0.9810908276194213;1.0;0.98125;0.0457934435665654;0.00209703947368421;0.9598180086912702;1.0;1.0;0.0;0.0;1.0;1.0
EMB48;D05;20;0.99375;0.01923709410159664;0.0003700657894736843;0.9847467628227974;1.0;0.9937254901960785;0.019354399188911516;0.00037459276796373875;0.984667352548066;1.0;0.9875;0.03847418820319328;0.001480263157894737;0.9694935256455947;1.0;1.0;0.0;0.0;1.0;1.0
EMB48;D06;20;0.98125;0.061170060616199104;0.0037417763157894727;0.9526215303900396;1.0;0.9828571428571429;0.05357268168960447;0.002870032223415682;0.9577843560358599;1.0;0.9625;0.12234012123239822;0.014967105263157894;0.9052430607800794;1.0;1.0;0.0;0.0;1.0;1.0
EMB48;D09;20;0.9875;0.032696772736287315;0.0010690789473684213;0.9721974393159799;1.0;0.9877777777777779;0.030989738182898133;0.0009603638726445745;0.9732741338570003;1.0;0.975;0.06539354547257462;0.004276315789473684;0.9443948786319596;1.0;1.0;0.0;0.0;1.0;1.0
EMB48;D10;20;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0
