genotipo;dia;posicao;banda_nm;importancia_gini
BR16;D02;1;1945;0.0721337779723034
BR16;D02;2;1925;0.06888917963045953
BR16;D02;3;1955;0.05735002059451503
BR16;D02;4;715;0.04960439057852825
BR16;D02;5;1965;0.048298108371353204
BR16;D03;1;1955;0.06019250413225101
BR16;D03;2;415;0.057041799541194524
BR16;D03;3;2015;0.04444943113574212
BR16;D03;4;1525;0.0444183469317211
BR16;D03;5;405;0.038468135037487736
BR16;D04;1;1965;0.05778141831270466
BR16;D04;2;1905;0.05374889829840483
BR16;D04;3;1955;0.04672692994491709
BR16;D04;4;715;0.045723421339558395
BR16;D04;5;1385;0.03388831136060773
BR16;D05;1;1515;0.04
BR16;D05;2;2435;0.04
BR16;D05;3;765;0.04
BR16;D05;4;2450;0.03
BR16;D05;5;955;0.03
BR16;D06;1;765;0.04
BR16;D06;2;2434;0.04
BR16;D06;3;1884;0.03
BR16;D06;4;505;0.03
BR16;D06;5;1994;0.03
BR16;D09;1;1955;0.06684031036999627
BR16;D09;2;1945;0.06211470726003549
BR16;D09;3;1965;0.054748410962716765
BR16;D09;4;1525;0.046301373520926246
BR16;D09;5;1995;0.0409823695481888
BR16;D10;1;1815;0.028695148506727688
BR16;D10;2;1685;0.027850351850636203
BR16;D10;3;1865;0.026210152376364274
BR16;D10;4;1905;0.025709770234576955
BR16;D10;5;1855;0.025531090446333362
CD202;D02;1;1315;0.052608542943507676
CD202;D02;2;1575;0.04572469114881089
CD202;D02;3;1335;0.040389218906532215
CD202;D02;4;1305;0.03639701143330243
CD202;D02;5;1265;0.03210752630155124
CD202;D03;1;1904;0.13271646859083192
CD202;D03;2;1964;0.09223190932868353
CD202;D03;3;1954;0.08
CD202;D03;4;1944;0.06
CD202;D03;5;1974;0.041961707980683306
CD202;D04;1;1965;0.06208713642995207
CD202;D04;2;1345;0.058386887262564954
CD202;D04;3;1335;0.057839652464514196
CD202;D04;4;1955;0.05324114515653409
CD202;D04;5;1945;0.04899311657932939
CD202;D05;1;1905;0.1269045967034582
CD202;D05;2;1965;0.08568848179433042
CD202;D05;3;1925;0.08036459836459837
CD202;D05;4;1955;0.07696048079168286
CD202;D05;5;1945;0.06475920622191673
CD202;D06;1;1945;0.04999999999999999
CD202;D06;2;1975;0.039999999999999994
CD202;D06;3;765;0.039999999999999994
CD202;D06;4;1525;0.039999999999999994
CD202;D06;5;1955;0.039999999999999994
CD202;D09;1;2413;0.04999999999999999
CD202;D09;2;1533;0.039999999999999994
CD202;D09;3;1513;0.039999999999999994
CD202;D09;4;2423;0.029999999999999992
CD202;D09;5;1453;0.029999999999999992
CD202;D10;1;415;0.09456531169114003
CD202;D10;2;405;0.07113714844262303
CD202;D10;3;465;0.042568126715527434
CD202;D10;4;425;0.03583208017166476
CD202;D10;5;1345;0.03337361717627372
EMB48;D02;1;705;0.05495514963739985
EMB48;D02;2;725;0.046602608549694356
EMB48;D02;3;715;0.04546087365422928
EMB48;D02;4;545;0.03660774779279332
EMB48;D02;5;1385;0.03388108791155837
EMB48;D03;1;1965;0.10181106522774216
EMB48;D03;2;1925;0.09602668521692913
EMB48;D03;3;1955;0.08732093793689795
EMB48;D03;4;1905;0.07991249379907109
EMB48;D03;5;1945;0.07765717836679667
EMB48;D04;1;1925;0.0678819363284692
EMB48;D04;2;1375;0.06599246091550022
EMB48;D04;3;1945;0.05204618593675283
EMB48;D04;4;715;0.050231953024603815
EMB48;D04;5;1955;0.0472803803500401
EMB48;D05;1;1965;0.07132059801355829
EMB48;D05;2;1955;0.07034757436718814
EMB48;D05;3;415;0.0587255255022096
EMB48;D05;4;405;0.053238712129313324
EMB48;D05;5;1945;0.052868979014102854
EMB48;D06;1;755;0.07117972350230416
EMB48;D06;2;2450;0.05
EMB48;D06;3;2435;0.05
EMB48;D06;4;415;0.05
EMB48;D06;5;765;0.05
EMB48;D09;1;715;0.05704953278552174
EMB48;D09;2;1315;0.053257834559044835
EMB48;D09;3;1925;0.044892304679818536
EMB48;D09;4;1945;0.04467911584046655
EMB48;D09;5;405;0.04347213908506795
EMB48;D10;1;715;0.09699666563383103
EMB48;D10;2;725;0.07891943338710522
EMB48;D10;3;1365;0.0728281335335482
EMB48;D10;4;705;0.0494436426997975
EMB48;D10;5;1355;0.047352223220000884
