fold;condicao_real;classe_real_nirrig;classe_predita_nirrig;probabilidade_nirrig
1;NIRRIG;1;1;0.88
1;NIRRIG;1;1;0.92
1;NIRRIG;1;1;0.9
1;IRRIG;0;0;0.18
1;IRRIG;0;0;0.02
1;IRRIG;0;0;0.11
1;NIRRIG;1;1;0.95
1;NIRRIG;1;1;0.95
1;IRRIG;0;0;0.04
1;IRRIG;0;0;0.04
1;IRRIG;0;0;0.06
1;NIRRIG;1;1;0.92
1;NIRRIG;1;1;0.85
1;NIRRIG;1;1;0.85
1;IRRIG;0;0;0.15
1;IRRIG;0;0;0.04
2;IRRIG;0;0;0.05
2;IRRIG;0;0;0.09
2;IRRIG;0;0;0.08
2;NIRRIG;1;1;0.89
2;NIRRIG;1;1;0.76
2;IRRIG;0;0;0.16
2;IRRIG;0;0;0.07
2;IRRIG;0;0;0.1
2;NIRRIG;1;1;0.93
2;NIRRIG;1;1;0.81
2;IRRIG;0;1;0.6
2;IRRIG;0;0;0.05
2;NIRRIG;1;1;0.56
2;NIRRIG;1;1;0.85
2;NIRRIG;1;1;0.97
2;NIRRIG;1;1;0.95
3;IRRIG;0;0;0.02
3;NIRRIG;1;1;0.93
3;NIRRIG;1;1;0.93
3;IRRIG;0;0;0.07
3;IRRIG;0;0;0.05
3;NIRRIG;1;1;0.93
3;NIRRIG;1;1;1.0
3;IRRIG;0;0;0.07
3;IRRIG;0;0;0.1
3;IRRIG;0;0;0.08
3;NIRRIG;1;1;0.7
3;NIRRIG;1;1;0.97
3;NIRRIG;1;1;0.97
3;IRRIG;0;0;0.16
3;IRRIG;0;0;0.05
3;NIRRIG;1;1;0.93
4;IRRIG;0;0;0.13
4;IRRIG;0;0;0.13
4;IRRIG;0;0;0.11
4;IRRIG;0;0;0.12
4;NIRRIG;1;1;0.88
4;NIRRIG;1;1;0.82
4;NIRRIG;1;1;0.82
4;NIRRIG;1;1;0.95
4;IRRIG;0;0;0.02
4;IRRIG;0;0;0.0
4;NIRRIG;1;1;0.78
4;IRRIG;0;0;0.32
4;IRRIG;0;0;0.03
4;NIRRIG;1;1;0.97
4;NIRRIG;1;1;0.96
4;NIRRIG;1;1;0.96
