posicao;banda_nm;importancia_permutacao_media;importancia_permutacao_dp;importancia_gini
1;1823;-0.0046875;0.0081189881604791;0.0401526460284737
2;1863;0.0;0.0;0.0298098828393192
3;1903;0.0;0.0;0.027923664915028
4;1723;0.003125;0.0054126587736527;0.0243369988868897
5;1643;0.0;0.0;0.0239171251672114
6;1813;0.0;0.0;0.0223816122599775
7;1393;0.0;0.0;0.0222146363669591
8;1413;0.0;0.0;0.0218426342153799
9;1683;-0.0046875;0.0081189881604791;0.0213620488641701
10;1853;-0.003125;0.0054126587736527;0.0199832250210117
11;1843;0.0;0.0;0.0193735760778012
12;1653;0.0;0.0;0.0168050250403191
13;1693;0.0;0.0;0.0162032103907671
14;1963;0.0125;0.0216506350946109;0.0160437847136216
15;1603;0.0;0.0;0.0159296345770203
16;1713;-0.0046875;0.0081189881604791;0.0158899166835895
17;1633;0.0;0.0;0.0152328404307269
18;1783;0.0;0.0;0.0150385777037718
19;1733;-0.0046875;0.0081189881604791;0.0133252580546487
20;1663;-0.0015625;0.0027063293868263;0.0127528230915053
21;2053;0.0;0.0;0.0125870892055985
22;1403;0.0;0.0;0.0116969964838742
23;1243;0.0;0.0;0.0114294350810479
24;1613;0.0;0.0;0.0113465980964963
25;1233;-0.0015625;0.0027063293868263;0.0106499451199497
26;1673;0.0;0.0;0.0106497233675667
27;1573;0.0;0.0;0.0106042451463204
28;1893;0.0;0.0;0.010321548149865
29;1373;0.0;0.0;0.0100872177143463
30;1423;0.0;0.0;0.0096867625337278
31;1553;0.0;0.0;0.0095332573600523
32;1703;0.0;0.0;0.0095321030260409
33;405;0.0;0.0;0.0090941532836151
34;1383;0.0;0.0;0.0090586397792224
35;1313;0.0;0.0;0.0088337444304238
36;1623;0.0;0.0;0.0086325123152709
37;753;0.0;0.0;0.0084111171210628
38;1113;0.0;0.0;0.0083929010572609
39;1163;0.0;0.0;0.0080472493450821
40;1323;0.0;0.0;0.0079952267241636
41;1833;0.0;0.0;0.0076937004866829
42;2203;0.0;0.0;0.0075956684275869
43;1333;0.0;0.0;0.0072373356349
44;1923;0.0;0.0;0.0072049538785199
45;2313;0.0;0.0;0.0071978022358847
46;1873;0.0046875;0.0081189881604791;0.0071546327854257
47;1943;0.0062499999999999;0.0229639663385922;0.0069988893909872
48;1433;0.0;0.0;0.0068283687397372
49;2043;0.0109375;0.0189443057077845;0.006802273976726
50;1793;0.0;0.0;0.0066396856898404
51;2449;0.0;0.0;0.0066288299863543
52;2233;0.0;0.0;0.0064299390812621
53;1803;0.0;0.0;0.00626566454677
54;734;0.0;0.0;0.0062572378426769
55;2303;0.0;0.0;0.0059429433491933
56;1533;0.0;0.0;0.0058911150768735
57;1913;0.0;0.0;0.0058545300088068
58;2003;0.0;0.0;0.0058032047702223
59;1123;0.0;0.0;0.0057692951843406
60;2413;0.0;0.0;0.0057414688559667
61;2133;0.0;0.0;0.005727697086817
62;2433;0.0;0.0;0.0056769327782432
63;2243;0.0;0.0;0.0053538937842343
64;2263;0.0;0.0;0.0053454545454545
65;2323;0.0;0.0;0.0052442344845599
66;1593;0.0;0.0;0.0052232781094945
67;1353;0.0;0.0;0.0050491115864235
68;2173;0.0;0.0;0.004968430527563
69;585;0.0;0.0;0.0049271531880619
70;1083;0.0;0.0;0.0047675739421526
71;565;0.0;0.0;0.0047416727831952
72;1583;0.0;0.0;0.0047319859225741
73;425;0.0;0.0;0.0047027405129459
74;605;0.0;0.0;0.0044215203322708
75;1303;0.0;0.0;0.0043835629508144
76;1883;-0.003125;0.0054126587736527;0.0043765571473061
77;575;0.0;0.0;0.0043041050903119
78;1223;0.0;0.0;0.0041385954399805
79;2183;0.0;0.0;0.0041156462585034
80;625;0.0;0.0;0.0039818075880367
81;1743;0.0;0.0;0.0039328240953576
82;1183;0.0;0.0;0.0039073212920369
83;1753;0.0;0.0;0.0037843388716991
84;2023;0.0;0.0;0.0037567440999751
85;1543;0.0;0.0;0.0037068657150745
86;993;0.0;0.0;0.0037037037037037
87;2343;0.0;0.0;0.003551614668856
88;863;0.0;0.0;0.0034897323692408
89;2403;0.0;0.0;0.0034401288366805
90;694;0.0;0.0;0.0034124233537723
91;2283;0.0;0.0;0.0033790839290709
92;655;0.0;0.0;0.0033727810650887
93;763;0.0;0.0;0.0033580513261364
94;1253;0.0;0.0;0.0033348783744461
95;465;0.0;0.0;0.0032466345199791
96;2153;0.0;0.0;0.0032395673076923
97;1563;0.0;0.0;0.0032263741629867
98;435;0.0;0.0;0.0032130628451411
99;2293;0.0;0.0;0.0030752097635392
100;1453;0.0;0.0;0.0030388187663729
101;615;0.0;0.0;0.0028902986385455
102;555;0.0;0.0;0.0028517584222017
103;445;0.0;0.0;0.0028481793487244
104;2443;0.0140625;0.0243569644814373;0.0027746430811461
105;535;0.0;0.0;0.0026319413356265
106;743;0.0;0.0;0.0025645839333546
107;1263;0.0;0.0;0.0025183075521635
108;973;0.0;0.0;0.0024633431085043
109;2193;0.0;0.0;0.0024255222831055
110;1283;-0.0015625;0.0027063293868263;0.0023943848990222
111;773;0.0;0.0;0.0023775795238355
112;843;0.0;0.0;0.0023460410557184
113;1093;0.0;0.0;0.0023322775803978
114;2353;0.0;0.0;0.0022739991772249
115;2163;0.0;0.0;0.0022366571699905
116;883;0.0;0.0;0.00221554480378
117;2213;0.0;0.0;0.0022117187050773
118;1053;0.0;0.0;0.0021896383186705
119;2363;0.0;0.0;0.0021540560321435
120;2333;0.0;0.0;0.0021337736460241
121;2253;0.0;0.0;0.0019310344827586
122;1193;0.0;0.0;0.0018920674467233
123;1073;0.0;0.0;0.0018880044686496
124;2063;0.0;0.0;0.0018547023152286
125;1993;0.0;0.0;0.0017450892582738
126;793;0.0;0.0;0.0016995621952484
127;873;0.0;0.0;0.001686239084613
128;495;0.0109375;0.0189443057077845;0.0016289592760181
129;415;0.0;0.0;0.0015907699295934
130;505;0.0;0.0;0.0015743989047659
131;2033;0.0;0.0;0.0014509628302731
132;953;0.0;0.0;0.0014490681157347
133;1973;0.0125;0.0216506350946109;0.0013747975356593
134;714;0.0;0.0;0.0012610837438423
135;2423;0.015625;0.0270632938682637;0.0011941013922438
136;1363;0.0;0.0;0.0011739035773517
137;2113;0.0;0.0;0.0011273814124526
138;595;0.0140625;0.0243569644814373;0.0010980054263702
139;2103;0.0;0.0;0.0010884353741496
140;2073;0.0;0.0;0.0010671965193983
141;813;0.0;0.0;0.0010557162136109
142;2383;0.0;0.0;0.001015873015873
143;485;0.0;0.0;0.0010088669950738
144;2083;0.0;0.0;0.0009876543209876
145;1523;0.0;0.0;0.0009007741027445
146;1293;-0.0015625;0.0027063293868263;0.0008392583400335
147;1473;0.0;0.0;0.0007773279352226
148;803;0.0;0.0;0.0007626722142851
149;903;0.0;0.0;0.0007298794395568
150;1213;0.0;0.0;0.0006875789760056
151;724;0.0;0.0;0.0006842435241709
152;2223;0.0;0.0;0.0006702974444909
153;1013;0.0;0.0;0.0006153846153846
154;525;0.0078125;0.0135316469341318;0.0006150793650793
155;1463;0.0;0.0;0.0005913605913605
156;675;0.0;0.0;0.0005598611914401
157;1273;0.0;0.0;0.0005528239202657
158;1003;0.0;0.0;0.000551724137931
159;853;0.0;0.0;0.0004858299595141
160;1343;0.0;0.0;0.0004643081056874
161;2273;0.0;0.0;0.0004318488529014
162;665;0.0;0.0;0.0004203612479474
163;1143;0.0;0.0;0.0003152709359605
164;2123;0.0;0.0;0.000313725490196
165;933;0.0;0.0;0.0003128054740957
166;1033;0.0;0.0;0.0002935281127908
167;1483;0.0;0.0;0.0002510822510822
168;1043;0.0;0.0;9.561157796451944e-05
169;2093;0.009375;0.0162379763209582;0.0
170;2373;0.0;0.0;0.0
171;1513;0.0;0.0;0.0
172;1763;0.0;0.0;0.0
173;1773;0.0;0.0;0.0
174;1983;0.0;0.0;0.0
175;2013;0.0;0.0;0.0
176;2143;0.0;0.0;0.0
177;1493;0.0;0.0;0.0
178;2393;0.0;0.0;0.0
179;1953;0.0140625;0.0243569644814373;0.0
180;1153;0.0015625;0.0027063293868263;0.0
181;635;0.0015625;0.0027063293868263;0.0
182;1203;0.00625;0.0108253175473054;0.0
183;1933;-0.003125;0.0054126587736527;0.0
184;1503;0.0;0.0;0.0
185;783;0.0;0.0;0.0
186;1443;0.0;0.0;0.0
187;893;0.0;0.0;0.0
188;455;0.0;0.0;0.0
189;475;0.0;0.0;0.0
190;515;0.0;0.0;0.0
191;545;0.0;0.0;0.0
