posicao;banda_nm;importancia_permutacao_media;importancia_permutacao_dp;importancia_gini
1;1315;0.0;0.0;0.0526085429435076
2;1575;0.0;0.0;0.0457246911488108
3;1335;0.0;0.0;0.0403892189065322
4;1305;0.0;0.0;0.0363970114333024
5;1265;0.0;0.0;0.0321075263015512
6;2045;0.0140625;0.0243569644814373;0.029536188366049
7;1325;0.009375;0.0162379763209582;0.0285483102049965
8;2035;0.0;0.0;0.0259560092630477
9;2055;0.0140625;0.0243569644814373;0.0244774372169588
10;1605;0.0;0.0;0.0207834842414393
11;1565;0.0;0.0;0.0193348153172243
12;1255;0.0;0.0;0.0187803456704884
13;1595;0.0;0.0;0.0185008774388267
14;1615;0.0;0.0;0.017683938633999
15;1585;0.0;0.0;0.0155128554175315
16;1185;0.0;0.0;0.015426076923112
17;1295;0.0;0.0;0.0152363851828716
18;1235;0.0;0.0;0.0150600414078674
19;505;0.0;0.0;0.0146820267206011
20;595;0.0;0.0;0.0135811771014678
21;495;0.0;0.0;0.0121193053349697
22;1945;0.0;0.0;0.0114798730700269
23;1995;0.0;0.0;0.0106165118540077
24;1525;0.0;0.0;0.0104864157119476
25;465;0.0;0.0;0.0102704327924209
26;445;0.0;0.0;0.0102597491210335
27;2335;0.0;0.0;0.009186632852322
28;1665;0.0;0.0;0.0091717680388427
29;1225;0.0;0.0;0.0089114874332265
30;1345;0.0;0.0;0.0087849080667606
31;1625;0.0;0.0;0.0087704462478311
32;405;0.0;0.0;0.0087697760813229
33;2235;0.0;0.0;0.0086767151718455
34;485;0.0;0.0;0.0084394869915843
35;2435;0.0;0.0;0.0082477199700201
36;575;0.0;0.0;0.0081048272972285
37;1155;0.0;0.0;0.0077273379350184
38;725;0.0;0.0;0.0074900373966299
39;2185;0.0;0.0;0.0073938191353586
40;1955;0.0;0.0;0.0073360950853676
41;435;0.0;0.0;0.0067444628118145
42;605;0.0;0.0;0.0066727247096497
43;655;0.0;0.0;0.0064727111456047
44;1835;0.0;0.0;0.0064671555274892
45;2415;0.0;0.0;0.0062603877742662
46;2025;0.0;0.0;0.0062246047332153
47;635;0.0;0.0;0.0060485307795652
48;715;0.0;0.0;0.0058677161890397
49;2145;0.0;0.0;0.0057894747140271
50;645;0.0;0.0;0.0057551487414187
51;1555;0.0;0.0;0.0057337639447172
52;2155;0.0;0.0;0.0057120757120757
53;455;0.0;0.0;0.0056396513769861
54;1275;0.0;0.0;0.0056074270557029
55;1515;0.0;0.0;0.0054285714285714
56;2095;0.0;0.0;0.0053113553113553
57;1445;0.0;0.0;0.0052864157119476
58;1475;0.0;0.0;0.0050310559006211
59;2355;0.0;0.0;0.0050196976262699
60;2255;0.0;0.0;0.0049619207911037
61;1545;0.0;0.0;0.0049317011304108
62;555;0.0;0.0;0.0049187114778512
63;1455;0.0;0.0;0.0048480833193653
64;1645;0.0;0.0;0.004776548724753
65;1635;0.0;0.0;0.0046737133833908
