fold;condicao_real;classe_real_nirrig;classe_predita_nirrig;probabilidade_nirrig
1;NIRRIG;1;1;0.93
1;NIRRIG;1;1;0.93
1;NIRRIG;1;1;0.98
1;IRRIG;0;0;0.09
1;IRRIG;0;0;0.09
1;IRRIG;0;0;0.49
1;NIRRIG;1;1;0.86
1;NIRRIG;1;1;0.88
1;IRRIG;0;0;0.01
1;IRRIG;0;0;0.01
1;IRRIG;0;0;0.01
1;NIRRIG;1;1;0.98
1;NIRRIG;1;1;0.81
1;NIRRIG;1;1;0.84
1;IRRIG;0;0;0.0
1;IRRIG;0;0;0.02
2;IRRIG;0;0;0.0
2;IRRIG;0;1;0.64
2;IRRIG;0;1;0.58
2;NIRRIG;1;1;0.99
2;NIRRIG;1;1;0.99
2;IRRIG;0;0;0.13
2;IRRIG;0;0;0.38
2;IRRIG;0;0;0.41
2;NIRRIG;1;1;0.97
2;NIRRIG;1;1;0.99
2;IRRIG;0;0;0.0
2;IRRIG;0;0;0.15
2;NIRRIG;1;1;0.79
2;NIRRIG;1;1;0.95
2;NIRRIG;1;1;0.98
2;NIRRIG;1;1;0.97
3;IRRIG;0;0;0.0
3;NIRRIG;1;1;0.99
3;NIRRIG;1;1;0.98
3;IRRIG;0;0;0.0
3;IRRIG;0;0;0.18
3;NIRRIG;1;1;0.9
3;NIRRIG;1;1;0.92
3;IRRIG;0;0;0.0
3;IRRIG;0;0;0.0
3;IRRIG;0;0;0.01
3;NIRRIG;1;1;0.95
3;NIRRIG;1;1;0.94
3;NIRRIG;1;1;0.93
3;IRRIG;0;0;0.0
3;IRRIG;0;0;0.0
3;NIRRIG;1;1;0.95
4;IRRIG;0;0;0.0
4;IRRIG;0;0;0.01
4;IRRIG;0;0;0.19
4;IRRIG;0;0;0.19
4;NIRRIG;1;1;0.98
4;NIRRIG;1;1;0.76
4;NIRRIG;1;1;0.76
4;NIRRIG;1;1;0.96
4;IRRIG;0;0;0.0
4;IRRIG;0;0;0.0
4;NIRRIG;1;1;0.97
4;IRRIG;0;0;0.01
4;IRRIG;0;0;0.0
4;NIRRIG;1;1;0.99
4;NIRRIG;1;1;0.98
4;NIRRIG;1;1;0.98
