fold;condicao_real;classe_real_nirrig;classe_predita_nirrig;probabilidade_nirrig
1;NIRRIG;1;1;1.0
1;NIRRIG;1;1;1.0
1;NIRRIG;1;1;0.99
1;IRRIG;0;0;0.13
1;IRRIG;0;0;0.12
1;IRRIG;0;0;0.01
1;NIRRIG;1;1;1.0
1;NIRRIG;1;1;1.0
1;IRRIG;0;0;0.11
1;IRRIG;0;0;0.09
1;IRRIG;0;0;0.05
1;NIRRIG;1;1;0.97
1;NIRRIG;1;1;1.0
1;NIRRIG;1;1;1.0
1;IRRIG;0;0;0.0
1;IRRIG;0;0;0.0
2;IRRIG;0;0;0.0
2;IRRIG;0;0;0.0
2;IRRIG;0;0;0.0
2;NIRRIG;1;1;1.0
2;NIRRIG;1;1;1.0
2;IRRIG;0;0;0.27
2;IRRIG;0;0;0.01
2;IRRIG;0;0;0.01
2;NIRRIG;1;1;0.91
2;NIRRIG;1;1;0.96
2;IRRIG;0;0;0.0
2;IRRIG;0;0;0.01
2;NIRRIG;1;1;1.0
2;NIRRIG;1;1;0.95
2;NIRRIG;1;1;0.96
2;NIRRIG;1;1;0.93
3;IRRIG;0;0;0.0
3;NIRRIG;1;1;1.0
3;NIRRIG;1;1;1.0
3;IRRIG;0;0;0.18
3;IRRIG;0;0;0.0
3;NIRRIG;1;1;0.74
3;NIRRIG;1;1;1.0
3;IRRIG;0;0;0.02
3;IRRIG;0;0;0.02
3;IRRIG;0;0;0.02
3;NIRRIG;1;1;0.91
3;NIRRIG;1;1;1.0
3;NIRRIG;1;1;0.99
3;IRRIG;0;0;0.0
3;IRRIG;0;0;0.0
3;NIRRIG;1;1;0.97
4;IRRIG;0;0;0.0
4;IRRIG;0;0;0.0
4;IRRIG;0;0;0.11
4;IRRIG;0;0;0.1
4;NIRRIG;1;1;1.0
4;NIRRIG;1;1;0.82
4;NIRRIG;1;1;0.77
4;NIRRIG;1;1;1.0
4;IRRIG;0;0;0.02
4;IRRIG;0;0;0.0
4;NIRRIG;1;1;0.94
4;IRRIG;0;0;0.0
4;IRRIG;0;0;0.0
4;NIRRIG;1;1;1.0
4;NIRRIG;1;1;0.98
4;NIRRIG;1;1;0.97
