posicao;banda_nm;importancia_permutacao_media;importancia_permutacao_dp;importancia_gini
1;715;0.0;0.0;0.096996665633831
2;725;0.0;0.0;0.0789194333871052
3;1365;0.0;0.0;0.0723954857003453
4;705;0.0;0.0;0.0494436426997975
5;1355;0.0;0.0;0.0473522232200008
6;1944;0.0;0.0;0.0462324288690475
7;1345;0.0;0.0;0.0313780469158592
8;1725;0.0;0.0;0.0275952365857489
9;1575;0.0;0.0;0.0270363099266325
10;1924;0.0;0.0;0.0262736580348075
11;1954;0.0;0.0;0.0258451136178091
12;1375;0.0;0.0;0.0230673024513847
13;1755;0.0;0.0;0.0226627345800475
14;1385;0.0;0.0;0.0198444231452418
15;735;0.0;0.0;0.0160383529510944
16;555;0.0;0.0;0.0153411151428942
17;1485;0.0;0.0;0.0151322320379024
18;1964;0.0;0.0;0.0147159728457357
19;1315;0.0;0.0;0.014708488783169
20;1655;0.0;0.0;0.0147038938847032
21;1785;0.0;0.0;0.0138154927799653
22;1415;0.0;0.0;0.0135382552050313
23;405;0.0;0.0;0.0116190921690921
24;1555;0.0;0.0;0.0113607327760251
25;1645;0.0;0.0;0.0113150763215279
26;1904;0.0;0.0;0.0094559099437148
27;1635;0.0;0.0;0.0084174877794254
28;435;0.0;0.0;0.0081797111001263
29;1855;0.0;0.0;0.0081479811176514
30;1745;0.0;0.0;0.0077043478260869
31;2254;0.0;0.0;0.0071729664920805
32;1795;0.0;0.0;0.0069634177335183
33;1815;0.0;0.0;0.0068984156570363
34;1615;0.0;0.0;0.0068481311779595
35;1595;0.0;0.0;0.0065962139917695
36;1715;0.0;0.0;0.0064444444444444
37;1505;0.0;0.0;0.0060710499576896
38;425;0.0;0.0;0.0059522314321308
39;1395;0.0;0.0;0.0059350643605962
40;1495;0.0;0.0;0.0058904249871991
41;1675;0.0;0.0;0.0057860082304526
42;1695;0.0;0.0;0.0056097560975609
43;1325;0.0;0.0;0.005504493080112
44;485;0.0;0.0;0.0054956903828519
45;1425;0.0;0.0;0.0054797959905064
46;505;0.0;0.0;0.0052984840394453
47;1735;0.0;0.0;0.0052380952380952
48;1605;0.0;0.0;0.0049490471243822
49;575;0.0;0.0;0.0048843651277728
50;475;0.0;0.0;0.0048609050658386
51;1825;0.0;0.0;0.0048339869281045
52;1865;0.0;0.0;0.0045732307551849
53;2014;0.0;0.0;0.0045720031602384
54;1765;0.0;0.0;0.0040840336134453
55;2434;0.0;0.0;0.0039782439782439
56;2204;0.0;0.0;0.0038974358974358
57;1545;0.0;0.0;0.0038178580963493
58;1585;0.0;0.0;0.0037777777777777
59;1625;0.0;0.0;0.0037299599099259
60;445;0.0;0.0;0.0036040516327202
61;1335;0.0;0.0;0.0031047142261159
62;765;0.0;0.0;0.003095238095238
63;605;0.0;0.0;0.0028756957328385
64;635;0.0;0.0;0.0027836478933253
65;455;0.0;0.0;0.0026759581881533
66;1665;0.0;0.0;0.002485847635159
67;595;0.0;0.0;0.0020924149956408
68;1445;0.0;0.0;0.0019938461538461
69;1535;0.0;0.0;0.001935874168179
70;2124;0.0;0.0;0.00185
71;465;0.0;0.0;0.0018285714285714
72;535;0.0;0.0;0.0017483154252413
73;955;0.0;0.0;0.0016602752086623
74;1255;0.0;0.0;0.0016470588235294
75;1685;0.0;0.0;0.0014621168305378
76;1974;0.0;0.0;0.0013499973632864
77;2054;0.0;0.0;0.0012904577544433
78;825;0.0;0.0;0.0012145748987854
79;1515;0.0;0.0;0.0012030075187969
80;1984;0.0;0.0;0.0012012012012012
81;495;0.0;0.0;0.0011934731934731
82;2144;0.0;0.0;0.0011712418300653
83;805;0.0;0.0;0.0010884353741496
84;2004;0.0;0.0;0.0010227272727272
85;1565;0.0;0.0;0.0009716599190283
86;835;0.0;0.0;0.0008465608465608
87;1115;0.0;0.0;0.0007687687687687
88;2084;0.0;0.0;0.0006095238095238
89;975;0.0;0.0;0.0006072106261859
90;1185;0.0;0.0;0.0006060606060606
91;1994;0.0;0.0;0.0006031270079246
92;2034;0.0;0.0;0.0006005865102639
93;625;0.0;0.0;0.0005995438253502
94;655;0.0;0.0;0.0005958199506586
95;2134;0.0;0.0;0.0004729064039408
96;2064;0.0;0.0;0.00046875
97;2244;0.0;0.0;0.000153743315508
98;1085;0.0;0.0;0.0001366174055829
99;2104;0.0;0.0;0.0
100;2094;0.0;0.0;0.0
101;2074;0.0;0.0;0.0
102;2044;0.0;0.0;0.0
103;2024;0.0;0.0;0.0
104;1934;0.0;0.0;0.0
105;1914;0.0;0.0;0.0
106;1895;0.0;0.0;0.0
107;1885;0.0;0.0;0.0
108;1835;0.0;0.0;0.0
109;1875;0.0;0.0;0.0
110;1845;0.0;0.0;0.0
111;1305;0.0;0.0;0.0
