genotipo;dia;posicao;banda_nm;importancia_permutacao_media;importancia_permutacao_dp;importancia_gini
BR16;D02;1;1951;0.0;0.0;0.0744255026215924
BR16;D02;2;1941;0.0;0.0;0.0692842051052591
BR16;D02;3;1921;0.0;0.0;0.0676884012487287
BR16;D02;4;1961;0.0;0.0;0.055307810951134
BR16;D02;5;725;0.0;0.0;0.0489482848240092
BR16;D03;1;415;0.0;0.0;0.0567395631790157
BR16;D03;2;2008;0.0;0.0;0.051279309753856
BR16;D03;3;1968;0.0;0.0;0.049049159564475
BR16;D03;4;1958;0.00625;0.0108253175473054;0.0449415028479492
BR16;D03;5;405;0.0;0.0;0.0395629532817625
BR16;D04;1;1956;0.0;0.0;0.0528326012783289
BR16;D04;2;1946;0.0;0.0;0.0485842487214091
BR16;D04;3;714;0.0;0.0;0.0482698797655568
BR16;D04;4;1380;0.0;0.0;0.0376037854509754
BR16;D04;5;405;0.0;0.0;0.032192573373184
BR16;D05;1;1458;0.0;0.0;0.05
BR16;D05;2;951;0.0;0.0;0.04
BR16;D05;3;1121;0.0;0.0;0.04
BR16;D05;4;821;0.0;0.0;0.04
BR16;D05;5;851;0.0;0.0;0.03
BR16;D06;1;828;0.0;0.0;0.04
BR16;D06;2;1461;0.0;0.0;0.04
BR16;D06;3;1098;0.0;0.0;0.03
BR16;D06;4;1411;0.0;0.0;0.03
BR16;D06;5;1581;0.0;0.0;0.03
BR16;D09;1;1953;0.0;0.0;0.0657180503833038
BR16;D09;2;1963;0.0;0.0;0.054987439907628
BR16;D09;3;1943;0.0;0.0;0.0483981815013607
BR16;D09;4;1523;0.0;0.0;0.0463013735209262
BR16;D09;5;1993;0.0;0.0;0.0451316721608455
BR16;D10;1;1823;-0.0046875;0.0081189881604791;0.0401526460284737
BR16;D10;2;1863;0.0;0.0;0.0298098828393192
BR16;D10;3;1903;0.0;0.0;0.027923664915028
BR16;D10;4;1723;0.003125;0.0054126587736527;0.0243369988868897
BR16;D10;5;1643;0.0;0.0;0.0239171251672114
CD202;D02;1;1315;0.0;0.0;0.0526085429435076
CD202;D02;2;1575;0.0;0.0;0.0457246911488108
CD202;D02;3;1335;0.0;0.0;0.0403892189065322
CD202;D02;4;1305;0.0;0.0;0.0363970114333024
CD202;D02;5;1265;0.0;0.0;0.0321075263015512
CD202;D03;1;1936;0.0;0.0;0.0854241183652948
CD202;D03;2;1986;0.0;0.0;0.0722164502164502
CD202;D03;3;1956;0.0;0.0;0.06
