grupo;banda_nm;n_unidades;n_dias;via;p_shapiro_residuo;F_anova_mr;epsilon_gg;p_anova_mr;p_anova_mr_gg;eta2_parcial;chi2_friedman;p_friedman;w_kendall;p_tempo;efeito_tempo;q_tempo;significativa
todas;400;24;7;anova_mr;0.4077454784599431;7.335267865486319;0.4818258378059597;8.052277312764072e-07;0.00030192935929994086;0.24180659613795447;;;;0.00030192935929994086;0.24180659613795447;0.00032192946849538787;True
todas;401;24;7;anova_mr;0.396718271870677;7.308654507459331;0.482683192820056;8.510717952282393e-07;0.00030746378336713316;0.24114084330799251;;;;0.00030746378336713316;0.24114084330799251;0.0003267872828786713;True
todas;402;24;7;anova_mr;0.3895539078093602;7.292745501629554;0.483985212084613;8.797265703467335e-07;0.00030801913478674517;0.24074230911943095;;;;0.00030801913478674517;0.24074230911943095;0.00032695597765971266;True
todas;403;24;7;anova_mr;0.39076163317832346;7.2897934939820335;0.48544998233235254;8.85149855779137e-07;0.000303810936784736;0.2406683127579053;;;;0.000303810936784736;0.2406683127579053;0.0003231619518665663;True
todas;404;24;7;anova_mr;0.38268632224347754;7.301399033837373;0.4868774999926837;8.640213079021714e-07;0.00029517796536021964;0.24095913940092165;;;;0.00029517796536021964;0.24095913940092165;0.0003152340221592753;True
todas;405;24;7;anova_mr;0.3693160499699575;7.328560346866856;0.4881469464938728;8.165415589965057e-07;0.00028256531134629676;0.24163891272946444;;;;0.00028256531134629676;0.24163891272946444;0.0003034624244040615;True
todas;406;24;7;anova_mr;0.35353479421906464;7.294799289214688;0.4897873672380817;8.759732583906167e-07;0.0002874499050442163;0.24079378178325558;;;;0.0002874499050442163;0.24079378178325558;0.00030795046615315517;True
todas;407;24;7;anova_mr;0.33987428288701327;7.326464714624593;0.490190355744301;8.201091560265535e-07;0.00027656600903710587;0.24158650813958832;;;;0.00027656600903710587;0.24158650813958832;0.00029773746017209787;True
todas;408;24;7;anova_mr;0.3342771997995634;7.466064610020016;0.4911471597509944;6.136582958332203e-07;0.00023551354988657114;0.24506166797678536;;;;0.00023551354988657114;0.24506166797678536;0.00025664445566758487;True
todas;409;24;7;anova_mr;0.3318952400104208;7.628813605341925;0.49247688919747856;4.3809108357087325e-07;0.0001947845921540847;0.24907310167610916;;;;0.0001947845921540847;0.24907310167610916;0.0002184989211736836;True
todas;410;24;7;anova_mr;0.33309935117871015;7.704617885150268;0.49205607202421714;3.7459856403999585e-07;0.00018059774468869705;0.2509270075911437;;;;0.00018059774468869705;0.2509270075911437;0.00020482053217665472;True
todas;411;24;7;anova_mr;0.33344158019162307;7.746395682723086;0.491607042316216;3.4366697084942807e-07;0.00017371562724406814;0.25194483810913537;;;;0.00017371562724406814;0.25194483810913537;0.00019925608981991757;True
todas;412;24;7;anova_mr;0.3260955581536571;7.7747203929874855;0.4913695229655769;3.241762435656392e-07;0.00016907029467590296;0.2526333397576239;;;;0.00016907029467590296;0.2526333397576239;0.0001953961191064069;True
todas;413;24;7;anova_mr;0.33283358265969054;7.768293977881684;0.4916790605172218;3.284980707089895e-07;0.00016957100553347925;0.25247724113225306;;;;0.00016957100553347925;0.25247724113225306;0.00019580541347686108;True
todas;414;24;7;anova_mr;0.34192953674921006;7.728884968681657;0.49239349162352386;3.5630454381544677e-07;0.00017526083404032064;0.25151856230900677;;;;0.00017526083404032064;0.25151856230900677;0.0001999559985293496;True
todas;415;24;7;anova_mr;0.3660709650903323;7.686662538795718;0.4925439033028434;3.887429141266449e-07;0.00018298056333503193;0.2504887108227501;;;;0.00018298056333503193;0.2504887108227501;0.000206995793916683;True
