data_yield;coleta_espectral;banda_nm;vip_selecao;vip_modelo_final;rho_spearman_yield
03/03;D10M;1831;1.2650830169250191;1.5412607178071396;-0.2652173913043478
03/03;D10M;1841;1.1677842857505698;1.4577423578881392;-0.2478260869565217
03/03;D10M;739;1.2024276304811605;1.3214666693350785;-0.2069565217391304
03/03;D10M;1851;1.0315296091867512;1.2961383688435832;-0.17478260869565218
03/03;D10M;702;3.072268201658405;1.2819060318082156;0.19478260869565217
03/03;D10M;2491;2.211789216626139;1.2445275111085767;-0.050434782608695654
03/03;D10M;1893;2.026305511032002;1.2165602276742882;0.1591304347826087
03/03;D10M;1889;2.024906803411285;1.2150908784974561;0.1452173913043478
03/03;D10M;2489;2.1055162009561275;1.2105911855676903;-0.05130434782608695
03/03;D10M;2479;1.9390543550540975;1.115073934072267;-0.047826086956521734
03/03;D10M;1418;1.7951800980798815;1.089967427470478;0.04608695652173912
03/03;D10M;698;2.1103306516815943;1.080176579636745;0.2669565217391304
03/03;D10M;1422;1.6571822706722665;1.0509770305581996;0.05913043478260869
03/03;D10M;1391;1.362534891077984;1.0136084871249273;-0.11130434782608695
03/03;D10M;1401;1.821334666432316;1.0093851137802106;-0.06521739130434781
03/03;D10M;685;1.3239375587012787;0.9983047093512037;0.21391304347826084
03/03;D10M;653;1.1326865186918276;0.9933545196040378;0.18086956521739128
03/03;D10M;533;2.289571118198699;0.9923602365865204;0.21652173913043476
03/03;D10M;540;2.4839917356234973;0.9851705480839369;0.18
03/03;D10M;646;1.0795879443088732;0.9842530629999391;0.17217391304347823
03/03;D10M;1904;1.6753302920957127;0.9718631461366546;0.09130434782608696
03/03;D10M;550;2.640621917878046;0.9704368387604421;0.17130434782608694
03/03;D10M;730;1.7090404697422412;0.9679910969091066;-0.20347826086956516
03/03;D10M;669;1.20739217871763;0.9616756495638857;0.1869565217391304
03/03;D10M;679;1.2688739011973305;0.9615911153288927;0.2078260869565217
03/03;D10M;2461;1.5101679934954064;0.9564773859925353;0.013043478260869565
03/03;D10M;635;1.0394069409043383;0.9522514637961431;0.19304347826086957
03/03;D10M;693;1.053455053383862;0.9500095233515939;0.2895652173913043
03/03;D10M;620;1.022250256664363;0.9243715589809889;0.1878260869565217
03/03;D10M;619;1.0147438866806249;0.9191607244293685;0.1878260869565217
03/03;D10M;1433;1.2192415186554917;0.9160427891510404;-0.011304347826086955
03/03;D10M;2451;1.1970722813632901;0.8963149038178534;0.04347826086956521
03/03;D10M;524;1.6078768286786125;0.8900197553201926;0.22347826086956518
03/03;D10M;2448;1.1670189224066974;0.8865963015810121;0.04347826086956521
03/03;D10M;2436;1.0219838336937719;0.8628477058446361;0.03739130434782608
03/03;D10M;720;2.518894041441651;0.8558795841861723;-0.1443478260869565
03/03;D10M;608;1.0358409093245866;0.8542304240776963;0.1678260869565217
03/03;D10M;1872;1.2499054098175422;0.8510798741102327;-0.08
03/03;D10M;519;1.0742605817118283;0.8256875979759274;0.20869565217391303
03/03;D10M;392;1.0242475724035567;0.816737683365309;0.25217391304347825
03/03;D10M;1911;1.4291131408132263;0.8132945640983749;0.05739130434782608
03/03;D10M;356;1.296358076826893;0.804282051422722;0.24608695652173912
03/03;D10M;367;1.0065693088553398;0.8019947308736148;0.22869565217391302
03/03;D10M;590;1.235702821103288;0.7892325444470569;0.14608695652173911
03/03;D10M;565;2.260587331185173;0.7749317200372273;0.21826086956521737
03/03;D10M;382;1.2622703861349198;0.744782528261975;0.27043478260869563
03/03;D10M;581;1.391757416160251;0.7185103385239675;0.15217391304347824
03/03;D10M;571;1.8727971214959074;0.6979763814943024;0.1591304347826087
03/03;D10M;1923;1.1427854730134406;0.6875890954876592;0.021739130434782605
