modelo;modo;genotipo;fold;real;predito;n
pls_da;agrupado;todos;1;IRRIG;IRRIG;143
pls_da;agrupado;todos;1;NIRRIG;IRRIG;11
pls_da;agrupado;todos;1;IRRIG;NIRRIG;50
pls_da;agrupado;todos;1;NIRRIG;NIRRIG;181
pls_da;agrupado;todos;2;IRRIG;IRRIG;148
pls_da;agrupado;todos;2;NIRRIG;IRRIG;15
pls_da;agrupado;todos;2;IRRIG;NIRRIG;45
pls_da;agrupado;todos;2;NIRRIG;NIRRIG;177
pls_da;agrupado;todos;3;IRRIG;IRRIG;149
pls_da;agrupado;todos;3;NIRRIG;IRRIG;10
pls_da;agrupado;todos;3;IRRIG;NIRRIG;44
pls_da;agrupado;todos;3;NIRRIG;NIRRIG;182
pls_da;agrupado;todos;4;IRRIG;IRRIG;154
pls_da;agrupado;todos;4;NIRRIG;IRRIG;12
pls_da;agrupado;todos;4;IRRIG;NIRRIG;39
pls_da;agrupado;todos;4;NIRRIG;NIRRIG;180
pls_da;agrupado;todos;5;IRRIG;IRRIG;142
pls_da;agrupado;todos;5;NIRRIG;IRRIG;21
pls_da;agrupado;todos;5;IRRIG;NIRRIG;50
pls_da;agrupado;todos;5;NIRRIG;NIRRIG;171
