modelo;modo;genotipo_avaliado;fold;indice_amostra;nomenclaura;bloco;genotipo;condicao;data_coleta;turno;dia;classe_real;classe_predita;score_NIRRIG;acerto;1968;1347;1531;1367;1842
pls_da;agrupado;todos;1;4;B1_BR16_IRRIG_REPROD00004.asd;B1;BR16;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.45020517501768953;True;-1.3157935672717913;0.8920492367548025;0.19226471269237816;0.7782006520762033;0.3041714476510199
pls_da;agrupado;todos;1;5;B1_BR16_IRRIG_REPROD00005.asd;B1;BR16;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.44722635022371116;True;-1.316541890776206;0.8922890964601738;0.19230522019198706;0.7785555470682171;0.305780436852233
pls_da;agrupado;todos;1;8;B1_BR16_NIRRIG_REPROD00000.asd;B1;BR16;NIRRIG;D02M;manha;D02;NIRRIG;IRRIG;0.44914185418426694;False;-1.2745306995495453;0.89170317333269;0.24539490238642556;0.7988699427542834;0.3236265581753877
pls_da;agrupado;todos;1;9;B1_BR16_NIRRIG_REPROD00001.asd;B1;BR16;NIRRIG;D02M;manha;D02;NIRRIG;IRRIG;0.45331449426483145;False;-1.2734724281058512;0.8904599084141525;0.24787803275594789;0.7985252215402757;0.3240802574857206
pls_da;agrupado;todos;1;15;B1_BR16_NIRRIG_REPROD00007.asd;B1;BR16;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;0.5197033302400147;True;-1.2468273659667146;0.8779779593655266;0.24807646469395594;0.7840277607678356;0.3246589771150492
pls_da;agrupado;todos;1;18;B2_BR16_IRRIG_REPROD00002.asd;B2;BR16;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.4527041733121106;True;-1.2857221111772061;0.8868956876092142;0.2313607361678995;0.7797006707643167;0.355395522234481
pls_da;agrupado;todos;1;21;B2_BR16_IRRIG_REPROD00005.asd;B2;BR16;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.4753137468564278;True;-1.2956555439427155;0.8751622300783269;0.2563934692824175;0.7766836426108693;0.3634511140453117
pls_da;agrupado;todos;1;25;B2_BR16_NIRRIG_REPROD00001.asd;B2;BR16;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;0.5761827539230437;True;-1.2932312400032906;0.8594676844139146;0.22545296712038632;0.7498864780636041;0.3193619146289994
pls_da;agrupado;todos;1;33;B3_BR16_IRRIG_REPROD00001.asd;B3;BR16;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.4320458009923078;True;-1.295111762770541;0.8818521975507833;0.22989027975784196;0.7886642733657746;0.3566814394397327
pls_da;agrupado;todos;1;35;B3_BR16_IRRIG_REPROD00003.asd;B3;BR16;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.4351319050383415;True;-1.2989836644761117;0.8809111194913873;0.22722707656728483;0.7871919285368962;0.3532928440865206
pls_da;agrupado;todos;1;38;B3_BR16_IRRIG_REPROD00006.asd;B3;BR16;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.3706092926443831;True;-1.3023823840477065;0.8947980172884866;0.2520095574757147;0.8094298729472423;0.3674772404677805
pls_da;agrupado;todos;1;40;B3_BR16_NIRRIG_REPROD00000.asd;B3;BR16;NIRRIG;D02M;manha;D02;NIRRIG;IRRIG;0.44085417254864456;False;-1.2872667162299969;0.8835141724324114;0.2738878730305671;0.7951473553843681;0.3632549382437221
pls_da;agrupado;todos;1;42;B3_BR16_NIRRIG_REPROD00002.asd;B3;BR16;NIRRIG;D02M;manha;D02;NIRRIG;IRRIG;0.4416956261407881;False;-1.2853013634641293;0.8842652536922655;0.2762034311139588;0.7946493536751252;0.3654284629289093
pls_da;agrupado;todos;1;75;B1_CD202_NIRRIG_REPROD00003.asd;B1;CD202;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;0.5339550606755856;True;-1.2607912629283973;0.8552534794159696;0.29578861233098125;0.7707299174445325;0.3958817117804534
