modelo;modo;genotipo;fold;banda_nm;importancia
random_forest;agrupado;todos;1;1968;0.28663183214177484
random_forest;agrupado;todos;1;1347;0.20557313759819013
random_forest;agrupado;todos;1;1531;0.19816763940028462
random_forest;agrupado;todos;1;1842;0.16198095916580682
random_forest;agrupado;todos;1;1367;0.14764643169394356
random_forest;agrupado;todos;2;1968;0.292657008555054
random_forest;agrupado;todos;2;1531;0.20636432792645543
random_forest;agrupado;todos;2;1347;0.20128362987222678
random_forest;agrupado;todos;2;1842;0.1536209651105346
random_forest;agrupado;todos;2;1367;0.14607406853572905
random_forest;agrupado;todos;3;1968;0.29208356476022673
random_forest;agrupado;todos;3;1531;0.21456990301407894
random_forest;agrupado;todos;3;1347;0.20103748354900713
random_forest;agrupado;todos;3;1842;0.14919487051787525
random_forest;agrupado;todos;3;1367;0.14311417815881194
random_forest;agrupado;todos;4;1968;0.2940269551067973
random_forest;agrupado;todos;4;1531;0.20716374775596003
random_forest;agrupado;todos;4;1347;0.20156698363779393
random_forest;agrupado;todos;4;1842;0.15650152298334422
random_forest;agrupado;todos;4;1367;0.14074079051610439
random_forest;agrupado;todos;5;1968;0.28348186507053524
random_forest;agrupado;todos;5;1347;0.22149913821841508
random_forest;agrupado;todos;5;1531;0.20230377981703615
random_forest;agrupado;todos;5;1367;0.1469349655465379
random_forest;agrupado;todos;5;1842;0.1457802513474757
