modelo;modo;genotipo;fold;banda_nm;importancia_media;importancia_desvio
svm;agrupado;todos;1;1531;0.22354978354978353;0.015336166112889722
svm;agrupado;todos;1;1968;0.15376623376623372;0.015904363640803516
svm;agrupado;todos;1;1842;0.13818181818181813;0.017937755862968176
svm;agrupado;todos;1;1367;0.08233766233766229;0.014725997639053037
svm;agrupado;todos;1;1347;0.015757575757575762;0.0062529766529065955
svm;agrupado;todos;2;1531;0.21229437229437223;0.020691735023379957
svm;agrupado;todos;2;1842;0.15272727272727268;0.014851450488236587
svm;agrupado;todos;2;1968;0.1492640692640692;0.018834701365437054
svm;agrupado;todos;2;1367;0.08761904761904754;0.013628046663169528
svm;agrupado;todos;2;1347;0.013939393939393944;0.005172390313850685
svm;agrupado;todos;3;1531;0.18917748917748917;0.017693928119438932
svm;agrupado;todos;3;1842;0.14519480519480513;0.016170091572772917
svm;agrupado;todos;3;1968;0.1253679653679653;0.019482635767683325
svm;agrupado;todos;3;1367;0.09861471861471853;0.01639292827104194
svm;agrupado;todos;3;1347;0.00943722943722944;0.008033307100788657
svm;agrupado;todos;4;1531;0.22545454545454544;0.01824848630675356
svm;agrupado;todos;4;1842;0.1584415584415584;0.014708425299104369
svm;agrupado;todos;4;1968;0.1343722943722943;0.013072159549857852
svm;agrupado;todos;4;1367;0.08155844155844152;0.013655521483734941
svm;agrupado;todos;4;1347;0.021991341991342;0.006863349327309583
svm;agrupado;todos;5;1531;0.17968749999999997;0.018451030816581625
svm;agrupado;todos;5;1842;0.12777777777777774;0.01651040753884548
svm;agrupado;todos;5;1968;0.11666666666666661;0.014583333333333337
svm;agrupado;todos;5;1367;0.047569444444444414;0.014529497189519219
svm;agrupado;todos;5;1347;8.680555555552101e-05;0.006501150813664158
