modelo;modo;genotipo_avaliado;fold;indice_amostra;nomenclaura;bloco;genotipo;condicao;data_coleta;turno;dia;classe_real;classe_predita;score_NIRRIG;acerto;401;1939;1356;1843;1385
svm;agrupado;todos;1;3;B1_BR16_IRRIG_REPROD00003.asd;B1;BR16;IRRIG;D02M;manha;D02;IRRIG;IRRIG;-0.6080703539208776;True;-1.499194604155935;-1.445934573076702;0.8355914186587348;0.30713891170052166;0.49334323697710125
svm;agrupado;todos;1;7;B1_BR16_IRRIG_REPROD00007.asd;B1;BR16;IRRIG;D02M;manha;D02;IRRIG;IRRIG;-1.6545601047520349;True;-1.4505125467848639;-1.4543830104014066;0.8504421194711305;0.30869286183367567;0.49245412794764803
svm;agrupado;todos;1;18;B2_BR16_IRRIG_REPROD00002.asd;B2;BR16;IRRIG;D02M;manha;D02;IRRIG;IRRIG;-1.6406113373416085;True;-1.5102745073910722;-1.4457464018287824;0.8446529117084326;0.3496958104425331;0.511867678021796
svm;agrupado;todos;1;28;B2_BR16_NIRRIG_REPROD00004.asd;B2;BR16;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;0.9251834881470786;True;-1.44888141113113;-1.4221420218954557;0.8257929296328069;0.252228430238675;0.439580504251842
svm;agrupado;todos;1;29;B2_BR16_NIRRIG_REPROD00005.asd;B2;BR16;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;0.9938195612019833;True;-1.4497034494913865;-1.4215940012984722;0.8240177491979185;0.2502041707138149;0.43768777801103403
svm;agrupado;todos;1;33;B3_BR16_IRRIG_REPROD00001.asd;B3;BR16;IRRIG;D02M;manha;D02;IRRIG;IRRIG;-1.669640414327777;True;-1.5131863649877269;-1.4498819323913397;0.8476585816451521;0.3508928663288645;0.5092618426708082
svm;agrupado;todos;1;44;B3_BR16_NIRRIG_REPROD00004.asd;B3;BR16;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;1.74445835353778;True;-1.6346173131661037;-1.433803009239693;0.8267008594277514;0.33460116728609807;0.5151060437291051
svm;agrupado;todos;1;49;B4_BR16_IRRIG_REPROD00001.asd;B4;BR16;IRRIG;D02M;manha;D02;IRRIG;IRRIG;-0.5627621347304341;True;-1.5858489566455702;-1.4484989040291094;0.8492520028017122;0.3926316996714567;0.5479090192793695
svm;agrupado;todos;1;55;B4_BR16_IRRIG_REPROD00007.asd;B4;BR16;IRRIG;D02M;manha;D02;IRRIG;IRRIG;-0.9980882526465649;True;-1.5458977686283795;-1.452385738723829;0.8534515978640901;0.3653949339173645;0.5398637514360366
svm;agrupado;todos;1;61;B4_BR16_NIRRIG_REPROD00005.asd;B4;BR16;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;0.909309039615638;True;-1.6990139768179755;-1.3898431151064374;0.8501391870968334;0.3877521513275702;0.5532147086895667
svm;agrupado;todos;1;63;B4_BR16_NIRRIG_REPROD00007.asd;B4;BR16;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;0.9363991704276995;True;-1.7160623732600357;-1.38417251927152;0.8499093777454368;0.3939842988736148;0.5551010000582657
svm;agrupado;todos;1;67;B1_CD202_IRRIG_REPROD00003.asd;B1;CD202;IRRIG;D02M;manha;D02;IRRIG;NIRRIG;0.47394187576664704;False;-1.4687456566175825;-1.4767212636121851;0.8273069607919723;0.27068090499143155;0.45542946747555324
svm;agrupado;todos;1;68;B1_CD202_IRRIG_REPROD00004.asd;B1;CD202;IRRIG;D02M;manha;D02;IRRIG;NIRRIG;0.061662617871101055;False;-1.5438518968476602;-1.4574833863164236;0.8371478023393056;0.31609964544111074;0.4922185327935584
svm;agrupado;todos;1;70;B1_CD202_IRRIG_REPROD00006.asd;B1;CD202;IRRIG;D02M;manha;D02;IRRIG;NIRRIG;0.2092132882637877;False;-1.550296109201716;-1.4596804812698754;0.8350213903100129;0.31743556444290544;0.4909710891226917
svm;agrupado;todos;1;78;B1_CD202_NIRRIG_REPROD00006.asd;B1;CD202;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;0.8245126086214511;True;-1.4891516942649743;-1.4551360507358049;0.8357832681131594;0.2707538443873318;0.45878565943510063
svm;agrupado;todos;1;80;B2_CD202_IRRIG_REPROD00000.asd;B2;CD202;IRRIG;D02M;manha;D02;IRRIG;IRRIG;-1.1875669907979964;True;-1.521175476150283;-1.4842687459819817;0.8651079217450022;0.35735277203380295;0.5373560832138135
svm;agrupado;todos;1;81;B2_CD202_IRRIG_REPROD00001.asd;B2;CD202;IRRIG;D02M;manha;D02;IRRIG;IRRIG;-1.1676745603978413;True;-1.5241355983490639;-1.4868062257949322;0.8640069195530539;0.3560591214920138;0.5364358252934107
svm;agrupado;todos;1;86;B2_CD202_IRRIG_REPROD00006.asd;B2;CD202;IRRIG;D02M;manha;D02;IRRIG;NIRRIG;1.3506697948589261;False;-1.570781126728338;-1.4526801444719915;0.8244642208834257;0.31169242512695516;0.46441051526092614
svm;agrupado;todos;1;94;B2_CD202_NIRRIG_REPROD00006.asd;B2;CD202;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;1.6399599791556458;True;-1.5586994804007654;-1.4550680012101473;0.8224092312685717;0.29440212591708986;0.4660017008655906
